ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2561,2562,2562,2563,2561,2562,2562,2563,2561,2562,2562,2563
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  สหรัฐอเมริกา,"899,154.14","971,239.52","971,239.52","1,067,083.60",0.04,8.02,8.02,9.87,11.09,12.73,12.73,14.85
  -  จีน,"971,436.98","902,188.15","902,188.15","926,646.80",-2.66,-7.13,-7.13,2.71,11.98,11.83,11.83,12.90
  -  ญี่ปุ่น,"799,342.79","759,787.13","759,787.13","707,272.08",7.08,-4.95,-4.95,-6.91,9.86,9.96,9.96,9.85
  -  ฮ่องกง,"401,767.84","362,830.84","362,830.84","350,745.74",-3.48,-9.69,-9.69,-3.33,4.96,4.76,4.76,4.88
  -  เวียดนาม,"416,158.64","375,216.19","375,216.19","346,166.91",6.38,-9.84,-9.84,-7.74,5.13,4.92,4.92,4.82
  -  ออสเตรเลีย,"345,231.05","317,033.10","317,033.10","305,086.24",-2.81,-8.17,-8.17,-3.77,4.26,4.16,4.16,4.25
  -  สิงคโปร์,"298,484.86","274,918.76","274,918.76","295,472.54",6.18,-7.90,-7.90,7.48,3.68,3.60,3.60,4.11
  -  มาเลเซีย,"373,609.27","321,023.41","321,023.41","270,475.72",6.79,-14.08,-14.08,-15.75,4.61,4.21,4.21,3.77
  -  อินโดนีเซีย,"328,290.44","281,972.05","281,972.05","236,935.80",9.61,-14.11,-14.11,-15.97,4.05,3.70,3.70,3.30
  -  สวิตเซอร์แลนด์,"76,595.91","164,286.60","164,286.60","234,941.53",-44.71,114.48,114.48,43.01,0.94,2.15,2.15,3.27
  -  กัมพูชา,"244,618.48","221,026.31","221,026.31","188,341.59",36.60,-9.64,-9.64,-14.79,3.02,2.90,2.90,2.62
  -  อินเดีย,"244,360.04","227,875.06","227,875.06","169,685.60",11.59,-6.75,-6.75,-25.54,3.01,2.99,2.99,2.36
  -  ฟิลิปปินส์,"253,722.54","214,223.88","214,223.88","156,167.89",7.98,-15.57,-15.57,-27.10,3.13,2.81,2.81,2.17
  -  เนเธอร์แลนด์,"166,835.26","146,532.12","146,532.12","133,890.73",3.42,-12.17,-12.17,-8.63,2.06,1.92,1.92,1.86
  -  เกาหลีใต้,"158,136.77","146,628.95","146,628.95","131,746.27",0.12,-7.28,-7.28,-10.15,1.95,1.92,1.92,1.83
  -  เยอรมนี,"165,343.55","140,504.99","140,504.99","126,137.76",-3.05,-15.02,-15.02,-10.23,2.04,1.84,1.84,1.76
  -  ไต้หวัน,"127,342.27","124,171.05","124,171.05","117,804.88",-6.26,-2.49,-2.49,-5.13,1.57,1.63,1.63,1.64
  -  เมียนม่า,"148,185.57","135,139.61","135,139.61","117,554.19",1.40,-8.80,-8.80,-13.01,1.83,1.77,1.77,1.64
  -  ลาว,"132,097.41","119,121.91","119,121.91","104,003.15",-1.19,-9.82,-9.82,-12.69,1.63,1.56,1.56,1.45
  -  สหราชอาณาจักร,"130,367.51","119,331.06","119,331.06","95,562.80",-5.77,-8.47,-8.47,-19.92,1.61,1.56,1.56,1.33
  -  เม็กซิโก,"90,471.32","91,357.05","91,357.05","73,436.96",-10.42,0.98,0.98,-19.62,1.12,1.20,1.20,1.02
  -  สหรัฐอาหรับเอมิเรตส์,"83,675.94","75,516.34","75,516.34","66,563.05",-12.87,-9.75,-9.75,-11.86,1.03,0.99,0.99,0.93
  -  แอฟริกาใต้,"90,985.40","81,540.55","81,540.55","65,812.86",8.56,-10.38,-10.38,-19.29,1.12,1.07,1.07,0.92
  -  ซาอุดีอาระเบีย,"49,207.81","57,250.07","57,250.07","52,427.74",-16.13,16.34,16.34,-8.42,0.61,0.75,0.75,0.73
  -  ฝรั่งเศส,"63,094.79","57,986.45","57,986.45","48,944.29",5.00,-8.10,-8.10,-15.59,0.78,0.76,0.76,0.68
  -  แคนาดา,"50,719.92","49,217.37","49,217.37","47,907.92",4.86,-2.96,-2.96,-2.66,0.63,0.65,0.65,0.67
  -  เบลเยียม,"47,925.27","47,736.86","47,736.86","44,731.55",2.04,-0.39,-0.39,-6.30,0.59,0.63,0.63,0.62
  -  อิตาลี,"53,998.21","54,595.89","54,595.89","44,078.59",-3.57,1.11,1.11,-19.26,0.67,0.72,0.72,0.61
  -  บราซิล,"47,533.82","46,766.89","46,766.89","41,768.72",6.15,-1.61,-1.61,-10.69,0.59,0.61,0.61,0.58
  -  นิวซีแลนด์,"53,431.92","47,901.55","47,901.55","38,639.47",-3.89,-10.35,-10.35,-19.34,0.66,0.63,0.63,0.54
  -  ปากีสถาน,"47,488.87","36,587.81","36,587.81","30,298.96",-0.15,-22.95,-22.95,-17.19,0.59,0.48,0.48,0.42
  -  ตุรกี,"34,581.53","27,453.72","27,453.72","29,490.54",-18.58,-20.61,-20.61,7.42,0.43,0.36,0.36,0.41
  -  อียิปต์,"30,346.57","26,013.19","26,013.19","27,224.85",32.11,-14.28,-14.28,4.66,0.37,0.34,0.34,0.38
  -  อาร์เจนตินา,"38,960.13","32,397.24","32,397.24","27,137.09",4.02,-16.85,-16.85,-16.24,0.48,0.42,0.42,0.38
  -  บังกลาเทศ,"38,417.31","30,587.04","30,587.04","26,562.45",-9.28,-20.38,-20.38,-13.16,0.47,0.40,0.40,0.37
  -  สเปน,"35,227.02","29,663.10","29,663.10","23,053.70",6.36,-15.79,-15.79,-22.28,0.43,0.39,0.39,0.32
  -  รัสเซีย,"37,357.65","29,809.39","29,809.39","22,434.16",7.12,-20.21,-20.21,-24.74,0.46,0.39,0.39,0.31
  -  สาธารณรัฐเช็ก,"23,227.12","22,208.25","22,208.25","19,424.54",-2.04,-4.39,-4.39,-12.53,0.29,0.29,0.29,0.27
  -  อิสราเอล,"23,453.24","22,896.08","22,896.08","18,414.29",-0.26,-2.38,-2.38,-19.57,0.29,0.30,0.30,0.26
  -  ฮังการี,"14,308.60","14,474.34","14,474.34","17,080.89",-0.63,1.16,1.16,18.01,0.18,0.19,0.19,0.24
  -  ไอร์แลนด์,"12,744.32","9,254.96","9,254.96","14,794.94",7.51,-27.38,-27.38,59.86,0.16,0.12,0.12,0.21
  -  โปแลนด์,"15,055.07","14,567.86","14,567.86","13,694.44",-1.57,-3.24,-3.24,-6.00,0.19,0.19,0.19,0.19
  -  โอมาน,"18,065.86","16,543.56","16,543.56","11,293.13",2.86,-8.43,-8.43,-31.74,0.22,0.22,0.22,0.16
  -  ชิลี,"24,996.39","16,496.59","16,496.59","11,189.20",-1.64,-34.00,-34.00,-32.17,0.31,0.22,0.22,0.16
  -  เดนมาร์ก,"12,554.01","12,575.41","12,575.41","11,082.18",-5.65,0.17,0.17,-11.87,0.15,0.16,0.16,0.15
  -  สวีเดน,"15,559.93","13,555.32","13,555.32","10,775.06",-5.46,-12.88,-12.88,-20.51,0.19,0.18,0.18,0.15
  -  กาตาร์,"12,116.23","11,662.61","11,662.61","10,007.16",16.62,-3.74,-3.74,-14.19,0.15,0.15,0.15,0.14
  -  ศรีลังกา,"14,187.34","11,628.27","11,628.27","9,340.96",-5.36,-18.04,-18.04,-19.67,0.17,0.15,0.15,0.13
  -  เขตต่อเนื่องราชอาณาจักร,"11,044.34","10,263.71","10,263.71","9,201.06",-5.10,-7.07,-7.07,-10.35,0.14,0.13,0.13,0.13
  -  คูเวต,"10,586.42","10,119.12","10,119.12","8,320.68",7.37,-4.41,-4.41,-17.77,0.13,0.13,0.13,0.12
  -  เปรู,"10,086.85","9,544.90","9,544.90","8,074.58",-15.88,-5.37,-5.37,-15.40,0.12,0.13,0.13,0.11
  -  เบนิน,"21,921.96","13,518.90","13,518.90","7,229.88",-7.04,-38.33,-38.33,-46.52,0.27,0.18,0.18,0.10
  -  ออสเตรีย,"8,381.65","8,307.96","8,307.96","7,060.72",10.60,-0.88,-0.88,-15.01,0.10,0.11,0.11,0.10
  -  เยเมน,"5,381.39","6,710.19","6,710.19","7,007.20",11.61,24.69,24.69,4.43,0.07,0.09,0.09,0.10
  -  อิรัก,"5,853.12","8,734.23","8,734.23","6,676.03",-16.80,49.22,49.22,-23.56,0.07,0.11,0.11,0.09
  -  ลิเบีย,"4,313.61","6,705.08","6,705.08","5,905.40",4.04,55.44,55.44,-11.93,0.05,0.09,0.09,0.08
  -  นอร์เวย์,"6,494.40","6,444.03","6,444.03","5,817.06",-60.74,-0.78,-0.78,-9.73,0.08,0.08,0.08,0.08
  -  โคลัมเบีย,"7,082.48","6,246.14","6,246.14","5,664.19",-2.27,-11.81,-11.81,-9.32,0.09,0.08,0.08,0.08
  -  อังโกลา,"6,810.86","5,549.55","5,549.55","5,605.74",8.28,-18.52,-18.52,1.01,0.08,0.07,0.07,0.08
  -  ไนจีเรีย,"6,415.20","6,511.53","6,511.53","5,549.47",11.79,1.50,1.50,-14.77,0.08,0.09,0.09,0.08
  -  ฟินแลนด์,"6,542.40","6,047.48","6,047.48","5,126.08",-4.03,-7.56,-7.56,-15.24,0.08,0.08,0.08,0.07
  -  โปรตุเกส,"5,417.69","7,184.79","7,184.79","4,941.16",-6.25,32.62,32.62,-31.23,0.07,0.09,0.09,0.07
  -  โรมาเนีย,"6,000.68","5,588.12","5,588.12","4,847.36",30.07,-6.88,-6.88,-13.26,0.07,0.07,0.07,0.07
  -  แคเมอรูน,"6,119.86","7,371.33","7,371.33","4,473.04",-37.53,20.45,20.45,-39.32,0.08,0.10,0.10,0.06
  -  โมซัมบิก,"6,056.94","4,617.67","4,617.67","4,326.30",-10.14,-23.76,-23.76,-6.31,0.07,0.06,0.06,0.06
  -  อิหร่าน,"8,006.03","5,028.03","5,028.03","4,144.74",-45.23,-37.20,-37.20,-17.57,0.10,0.07,0.07,0.06
  -  เคนยา,"7,811.53","6,921.63","6,921.63","4,136.17",1.37,-11.39,-11.39,-40.24,0.10,0.09,0.09,0.06
  -  เอกวาดอร์,"8,820.55","7,605.04","7,605.04","4,080.15",16.13,-13.78,-13.78,-46.35,0.11,0.10,0.10,0.06
  -  ปาปัวนิวกินี,"5,464.45","4,745.89","4,745.89","3,962.19",16.37,-13.15,-13.15,-16.51,0.07,0.06,0.06,0.06
  -  กรีซ,"4,243.79","4,454.62","4,454.62","3,953.22",4.91,4.97,4.97,-11.26,0.05,0.06,0.06,0.06
  -  บาห์เรน,"8,064.79","4,467.03","4,467.03","3,899.50",53.54,-44.61,-44.61,-12.70,0.10,0.06,0.06,0.05
