ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
  -  จอร์แดน,"4,872.91","4,726.93","4,726.93","3,702.01",7.41,-3.00,-3.00,-21.68,0.06,0.06,0.06,0.05
  -  สโลวัก,"5,364.52","4,272.96","4,272.96","3,588.47",25.06,-20.35,-20.35,-16.02,0.07,0.06,0.06,0.05
  -  เซเนกัล,"4,824.77","6,124.88","6,124.88","3,552.47",-22.28,26.95,26.95,-42.00,0.06,0.08,0.08,0.05
  -  บรูไน,"3,381.53","3,605.02","3,605.02","3,551.04",22.72,6.61,6.61,-1.50,0.04,0.05,0.05,0.05
  -  กานา,"6,896.26","3,883.47","3,883.47","3,544.99",9.11,-43.69,-43.69,-8.72,0.09,0.05,0.05,0.05
  -  โกตดิวัวร์,"7,003.52","3,728.40","3,728.40","3,196.40",-15.28,-46.76,-46.76,-14.27,0.09,0.05,0.05,0.04
  -  แทนซาเนีย,"4,050.59","3,665.23","3,665.23","3,087.95",10.85,-9.51,-9.51,-15.75,0.05,0.05,0.05,0.04
  -  ยูเครน,"3,210.60","3,217.25","3,217.25","3,078.54",-8.87,0.21,0.21,-4.31,0.04,0.04,0.04,0.04
  -  โมร็อกโก,"3,427.74","3,960.26","3,960.26","2,792.05",2.49,15.54,15.54,-29.50,0.04,0.05,0.05,0.04
  -  โตโก,"3,507.72","3,054.16","3,054.16","2,695.15",17.17,-12.93,-12.93,-11.75,0.04,0.04,0.04,0.04
  -  ปานามา,"5,479.40","4,438.98","4,438.98","2,666.06",-6.15,-18.99,-18.99,-39.94,0.07,0.06,0.06,0.04
  -  อุซเบกิสถาน,517.93,"1,400.02","1,400.02","2,656.23",146.60,170.31,170.31,89.73,0.01,0.02,0.02,0.04
  -  เปอร์โตริโก,"3,403.00","2,203.87","2,203.87","2,617.46",58.95,-35.24,-35.24,18.77,0.04,0.03,0.03,0.04
  -  ตูนีเซีย,"4,506.06","1,997.54","1,997.54","2,561.16",48.43,-55.67,-55.67,28.22,0.06,0.03,0.03,0.04
  -  ลิกเตนสไตน์,"5,577.23","4,977.14","4,977.14","2,543.17",16.12,-10.76,-10.76,-48.90,0.07,0.07,0.07,0.04
  -  คอสตาริกา,"3,310.01","2,398.90","2,398.90","2,244.13",-10.91,-27.53,-27.53,-6.45,0.04,0.03,0.03,0.03
  -  กัวเตมาลา,"3,690.87","2,718.58","2,718.58","2,182.10",33.43,-26.34,-26.34,-19.73,0.05,0.04,0.04,0.03
  -  สาธารณรัฐโดมินิกัน,"2,808.39","2,107.28","2,107.28","2,169.34",29.93,-24.96,-24.96,2.95,0.03,0.03,0.03,0.03
  -  ตรินิแดดและโตเบโก,"3,135.45","3,138.53","3,138.53","2,097.50",-6.40,0.10,0.10,-33.17,0.04,0.04,0.04,0.03
  -  เลบานอน,"5,157.32","3,990.76","3,990.76","2,048.38",-10.04,-22.62,-22.62,-48.67,0.06,0.05,0.05,0.03
  -  บัลแกเรีย,"1,890.60","1,949.16","1,949.16","1,878.32",12.16,3.10,3.10,-3.63,0.02,0.03,0.03,0.03
  -  สโลวีเนีย,"2,113.68","2,245.15","2,245.15","1,866.02",-28.11,6.22,6.22,-16.89,0.03,0.03,0.03,0.03
  -  ซูดาน,"4,212.77","4,647.37","4,647.37","1,823.08",74.09,10.32,10.32,-60.77,0.05,0.06,0.06,0.03
  -  จาเมกา,"2,685.45","1,841.94","1,841.94","1,740.93",23.69,-31.41,-31.41,-5.48,0.03,0.02,0.02,0.02
  -  มัลดีฟส์,"3,862.77","3,698.09","3,698.09","1,711.77",8.29,-4.26,-4.26,-53.71,0.05,0.05,0.05,0.02
  -  เอธิโอเปีย,"1,440.10","1,665.80","1,665.80","1,689.31",-12.93,15.67,15.67,1.41,0.02,0.02,0.02,0.02
  -  มอริเชียส,"2,686.66","2,517.36","2,517.36","1,606.69",15.04,-6.30,-6.30,-36.18,0.03,0.03,0.03,0.02
  -  ภูฎาน,"1,259.39","1,331.46","1,331.46","1,597.97",-20.83,5.72,5.72,20.02,0.02,0.02,0.02,0.02
  -  ฮอนดูรัส,"2,066.27","1,686.61","1,686.61","1,569.60",1.21,-18.37,-18.37,-6.94,0.03,0.02,0.02,0.02
  -  ลัตเวีย,"1,583.16","1,836.20","1,836.20","1,498.05",-0.99,15.98,15.98,-18.42,0.02,0.02,0.02,0.02
  -  แอลจีเรีย,"3,869.57","2,244.40","2,244.40","1,495.41",5.30,-42.00,-42.00,-33.37,0.05,0.03,0.03,0.02
"  -  CONGO, THE DEMOCRATIC REPUBLIC","1,172.02","1,782.25","1,782.25","1,480.74",170.33,52.07,52.07,-16.92,0.01,0.02,0.02,0.02
  -  กาบอง,"1,164.12",850.74,850.74,"1,384.39",-20.11,-26.92,-26.92,62.73,0.01,0.01,0.01,0.02
  -  นิวแคลีโดเนีย,"1,678.05","1,259.93","1,259.93","1,307.60",6.41,-24.92,-24.92,3.78,0.02,0.02,0.02,0.02
  -  เนปาล,"2,679.96","3,175.80","3,175.80","1,259.74",19.41,18.50,18.50,-60.33,0.03,0.04,0.04,0.02
  -  ฟิจิ,"2,506.77","1,598.47","1,598.47","1,220.22",24.73,-36.23,-36.23,-23.66,0.03,0.02,0.02,0.02
  -  ซีเรีย,"2,058.88","2,612.98","2,612.98","1,178.43",55.79,26.91,26.91,-54.90,0.03,0.03,0.03,0.02
  -  เอสโตเนีย,"1,513.49","1,270.33","1,270.33","1,159.48",-13.47,-16.07,-16.07,-8.73,0.02,0.02,0.02,0.02
  -  มาเก๊า,772.93,828.76,828.76,"1,121.24",12.54,7.22,7.22,35.29,0.01,0.01,0.01,0.02
  -  นอกเขตต่อเนื่องราชอาณาจักร,"3,872.92",2.72,2.72,"1,108.05",44.29,-99.93,-99.93,"40,697.05",0.05,0.00,0.00,0.02
  -  จอร์เจีย,"1,139.52","1,184.60","1,184.60","1,031.85",5.81,3.96,3.96,-12.89,0.01,0.02,0.02,0.01
  -  เอลซัลวาดอร์,"1,335.49","1,411.41","1,411.41",978.37,-5.37,5.68,5.68,-30.68,0.02,0.02,0.02,0.01
  -  ลิทัวเนีย,"1,155.37","1,361.66","1,361.66",965.57,43.08,17.85,17.85,-29.09,0.01,0.02,0.02,0.01
  -  คาซัคสถาน,"1,680.32","2,260.69","2,260.69",929.67,-0.95,34.54,34.54,-58.88,0.02,0.03,0.03,0.01
  -  อุรุกวัย,"1,079.13",795.56,795.56,894.63,3.70,-26.28,-26.28,12.45,0.01,0.01,0.01,0.01
  -  คองโก,"1,867.90","1,378.28","1,378.28",846.45,-22.73,-26.21,-26.21,-38.59,0.02,0.02,0.02,0.01
  -  เฟรนช์โปลีนีเซีย,"1,124.82","1,227.46","1,227.46",827.29,18.49,9.12,9.12,-32.60,0.01,0.02,0.02,0.01
  -  จิบูตี,"2,205.26","1,326.71","1,326.71",774.35,-0.19,-39.84,-39.84,-41.63,0.03,0.02,0.02,0.01
  -  กินี,453.89,750.45,750.45,718.71,-23.03,65.34,65.34,-4.23,0.01,0.01,0.01,0.01
  -  มาดากัสการ์,"1,246.33",985.21,985.21,710.21,-9.36,-20.95,-20.95,-27.91,0.02,0.01,0.01,0.01
  -  มอลตา,900.69,"1,361.11","1,361.11",682.27,8.57,51.12,51.12,-49.87,0.01,0.02,0.02,0.01
  -  ปารากวัย,"1,264.48",881.42,881.42,626.60,-6.50,-30.29,-30.29,-28.91,0.02,0.01,0.01,0.01
  -  มอริเตเนีย,544.55,"1,197.14","1,197.14",615.24,-9.57,119.84,119.84,-48.61,0.01,0.02,0.02,0.01
  -  ไซปรัส,864.66,974.47,974.47,611.70,-6.78,12.70,12.70,-37.23,0.01,0.01,0.01,0.01
  -  ยูกันดา,611.02,710.14,710.14,581.21,6.94,16.22,16.22,-18.16,0.01,0.01,0.01,0.01
  -  มาลี,310.37,460.80,460.80,575.88,6.32,48.47,48.47,24.98,0.00,0.01,0.01,0.01
  -  โครเอเชีย,859.84,876.12,876.12,564.94,-33.51,1.89,1.89,-35.52,0.01,0.01,0.01,0.01
  -  เซอร์เบีย,743.03,516.76,516.76,534.73,82.24,-30.45,-30.45,3.48,0.01,0.01,0.01,0.01
  -  โบลิเวีย,"1,309.48",943.20,943.20,522.78,36.53,-27.97,-27.97,-44.57,0.02,0.01,0.01,0.01
  -  เรอูนียง,600.69,620.80,620.80,512.27,8.49,3.35,3.35,-17.48,0.01,0.01,0.01,0.01
  -  ซิมบับเว,482.08,250.21,250.21,505.86,31.03,-48.10,-48.10,102.17,0.01,0.00,0.00,0.01
  -  อัฟกานิสถาน,460.05,379.37,379.37,480.21,-26.42,-17.54,-17.54,26.58,0.01,0.00,0.00,0.01
  -  นิการากัว,646.92,380.41,380.41,458.58,-32.08,-41.20,-41.20,20.55,0.01,0.00,0.00,0.01
  -  บาร์เบโดส,640.12,506.89,506.89,446.43,-8.76,-20.81,-20.81,-11.93,0.01,0.01,0.01,0.01
  -  แกมเบีย,677.69,765.82,765.82,426.17,-20.16,13.00,13.00,-44.35,0.01,0.01,0.01,0.01
  -  โซมาเลีย,673.55,582.75,582.75,423.59,-7.66,-13.48,-13.48,-27.31,0.01,0.01,0.01,0.01
  -  ไนเจอร์,713.24,428.49,428.49,409.16,-30.53,-39.92,-39.92,-4.51,0.01,0.01,0.01,0.01
  -  ซูรินาเม,635.06,639.14,639.14,400.94,40.11,0.64,0.64,-37.27,0.01,0.01,0.01,0.01
  -  บูร์กินา ฟาโซ,860.90,178.65,178.65,372.58,-11.16,-79.25,-79.25,108.55,0.01,0.00,0.00,0.01
  -  เซเชลส์,401.61,351.95,351.95,365.78,-24.33,-12.37,-12.37,3.93,0.00,0.00,0.00,0.01
  -  เซียร์ราลีโอน,406.27,321.86,321.86,363.92,-21.39,-20.78,-20.78,13.07,0.01,0.00,0.00,0.01
  -  มายอต,467.67,410.27,410.27,347.27,6.19,-12.27,-12.27,-15.36,0.01,0.01,0.01,0.00
  -  ซามัวตะวันตก,354.37,325.91,325.91,337.70,9.66,-8.03,-8.03,3.62,0.00,0.00,0.00,0.00
  -  อิเควทอเรียลกินี,380.73,274.12,274.12,334.06,24.20,-28.00,-28.00,21.86,0.00,0.00,0.00,0.00
  -  มองโกเลีย,415.39,496.08,496.08,325.87,17.67,19.42,19.42,-34.31,0.01,0.01,0.01,0.00
  -  อาเซอร์ไบจาน,323.71,324.38,324.38,303.16,21.30,0.21,0.21,-6.54,0.00,0.00,0.00,0.00
  -  โซโลมอน,384.34,326.75,326.75,295.62,7.39,-14.99,-14.99,-9.53,0.00,0.00,0.00,0.00
  -  กวม,384.48,319.89,319.89,291.21,6.20,-16.80,-16.80,-8.96,0.00,0.00,0.00,0.00
  -  กายอานา,242.96,272.96,272.96,281.71,3.71,12.35,12.35,3.21,0.00,0.00,0.00,0.00
  -  แอลเบเนีย,291.42,275.29,275.29,271.75,28.53,-5.53,-5.53,-1.29,0.00,0.00,0.00,0.00
  -  นามิเบีย,131.47,173.15,173.15,264.96,-0.18,31.70,31.70,53.02,0.00,0.00,0.00,0.00
  -  บอสเนียและเฮอร์เซโกวีนา,220.24,283.03,283.03,260.41,26.76,28.51,28.51,-7.99,0.00,0.00,0.00,0.00
  -  บาฮามาส,200.90,185.95,185.95,254.74,-21.56,-7.44,-7.44,36.99,0.00,0.00,0.00,0.00
  -  วานูอาตู,512.10,390.42,390.42,254.50,11.65,-23.76,-23.76,-34.81,0.01,0.01,0.01,0.00
  -  เวเนซุเอลา,278.08,321.99,321.99,241.14,-82.45,15.79,15.79,-25.11,0.00,0.00,0.00,0.00
  -  แซมเบีย,567.95,374.82,374.82,220.13,134.14,-34.00,-34.00,-41.27,0.01,0.00,0.00,0.00
  -  อาร์เมเนีย,122.57,219.48,219.48,206.92,-65.53,79.06,79.06,-5.72,0.00,0.00,0.00,0.00
  -  SOUTH SUDAN,672.97,171.55,171.55,201.58,508.50,-74.51,-74.51,17.50,0.01,0.00,0.00,0.00
  -  เอริเทรีย,560.18,53.01,53.01,185.65,414.37,-90.54,-90.54,250.23,0.01,0.00,0.00,0.00
  -  ไลบีเรีย,162.21,"1,486.67","1,486.67",181.12,7.80,816.50,816.50,-87.82,0.00,0.02,0.02,0.00
  -  เซนต์ลูเซีย,255.47,240.15,240.15,177.79,-4.90,-6.00,-6.00,-25.97,0.00,0.00,0.00,0.00
  -  ไอซ์แลนด์,227.07,252.63,252.63,175.07,-28.48,11.26,11.26,-30.70,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคปเวิร์ด,303.52,219.37,219.37,170.99,29.18,-27.72,-27.72,-22.06,0.00,0.00,0.00,0.00
  -  เบลารุส,267.94,183.19,183.19,163.77,44.00,-31.63,-31.63,-10.60,0.00,0.00,0.00,0.00
  -  มาลาวี,167.80,211.79,211.79,156.39,50.54,26.22,26.22,-26.16,0.00,0.00,0.00,0.00
  -  มาซิโดเนีย,114.30,61.96,61.96,139.46,30.09,-45.79,-45.79,125.07,0.00,0.00,0.00,0.00
  -  คิวบา,336.24,119.62,119.62,131.07,0.76,-64.42,-64.42,9.57,0.00,0.00,0.00,0.00
  -  เบลิซ,64.33,42.88,42.88,115.33,103.75,-33.35,-33.35,168.98,0.00,0.00,0.00,0.00
  -  รวันดา,99.67,140.07,140.07,111.39,-26.08,40.54,40.54,-20.47,0.00,0.00,0.00,0.00
  -  ติมัวร์เลสเต้,"1,068.78",275.25,275.25,111.06,67.16,-74.25,-74.25,-59.65,0.01,0.00,0.00,0.00
  -  เฮติ,505.59,206.77,206.77,103.22,34.28,-59.10,-59.10,-50.08,0.01,0.00,0.00,0.00
  -  ไมโครนีเซีย,106.32,81.03,81.03,92.33,-1.35,-23.79,-23.79,13.95,0.00,0.00,0.00,0.00
  -  CURACAO,99.84,123.74,123.74,89.07,-24.66,23.94,23.94,-28.01,0.00,0.00,0.00,0.00
  -  ตองกา,84.41,74.08,74.08,86.01,6.52,-12.24,-12.24,16.10,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคย์แมน,90.61,121.24,121.24,84.79,-21.71,33.81,33.81,-30.07,0.00,0.00,0.00,0.00
  -  คิริบาส,72.87,88.23,88.23,83.16,-41.43,21.08,21.08,-5.75,0.00,0.00,0.00,0.00
  -  ลักเซมเบิร์ก,169.18,205.12,205.12,79.90,-43.44,21.24,21.24,-61.05,0.00,0.00,0.00,0.00
  -  เกรเนดา,134.28,105.76,105.76,75.65,30.12,-21.23,-21.23,-28.47,0.00,0.00,0.00,0.00
  -  เกาะมาเรียนาเหนือ,60.03,75.27,75.27,74.79,45.57,25.38,25.38,-0.64,0.00,0.00,0.00,0.00
  -  เนเธอร์แลนด์แอนทิลลีส,152.09,111.44,111.44,72.11,-0.50,-26.73,-26.73,-35.29,0.00,0.00,0.00,0.00
  -  หมู่เกาะมาร์แชล,107.87,"5,885.75","5,885.75",72.07,-4.09,"5,356.47","5,356.47",-98.78,0.00,0.08,0.08,0.00
  -  บุรุนดี,44.44,45.86,45.86,69.55,5.77,3.19,3.19,51.65,0.00,0.00,0.00,0.00
  -  เบอร์มิวดา,111.47,69.63,69.63,65.53,0.71,-37.53,-37.53,-5.90,0.00,0.00,0.00,0.00
  -  เฟรนช์เกียนา,52.28,49.40,49.40,64.88,37.60,-5.51,-5.51,31.34,0.00,0.00,0.00,0.00
  -  มาร์ตินีก,126.81,163.13,163.13,62.62,86.05,28.64,28.64,-61.61,0.00,0.00,0.00,0.00
  -  แอนติกัวและบาร์บูดา,139.00,152.60,152.60,62.30,-0.85,9.78,9.78,-59.17,0.00,0.00,0.00,0.00
  -  มอนเตเนโกร,97.83,103.48,103.48,57.19,35.74,5.77,5.77,-44.73,0.00,0.00,0.00,0.00
  -  โดมินิกา,112.07,89.26,89.26,56.31,45.31,-20.35,-20.35,-36.92,0.00,0.00,0.00,0.00
  -  กวาเดอลูป,73.69,94.77,94.77,49.07,30.05,28.61,28.61,-48.22,0.00,0.00,0.00,0.00
  -  ทาจิกิสถาน,26.69,35.36,35.36,48.58,-65.57,32.51,32.51,37.38,0.00,0.00,0.00,0.00
  -  เซนต์คิตส์และเนวิส,57.30,118.17,118.17,47.33,-33.88,106.24,106.24,-59.95,0.00,0.00,0.00,0.00
  -  ปาเลสไตน์,123.73,47.35,47.35,45.04,34.03,-61.73,-61.73,-4.89,0.00,0.00,0.00,0.00
  -  อรูบา,162.84,72.63,72.63,44.18,-8.59,-55.40,-55.40,-39.17,0.00,0.00,0.00,0.00
  -  เติร์กเมนิสถาน,56.40,70.83,70.83,40.78,-75.23,25.58,25.58,-42.42,0.00,0.00,0.00,0.00
  -  อเมริกันซามัวร์,30.41,42.35,42.35,39.95,25.90,39.25,39.25,-5.67,0.00,0.00,0.00,0.00
  -  เกาหลีเหนือ,15.97,4.89,4.89,38.53,-72.15,-69.37,-69.37,687.57,0.00,0.00,0.00,0.00
  -  เลโซโท,14.29,30.68,30.68,38.51,-2.08,114.78,114.78,25.51,0.00,0.00,0.00,0.00
