ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
  -  ตุรกี,"32,984.21","37,682.60","37,682.60","42,471.63",-5.71,14.24,14.24,12.71,0.46,0.50,0.50,0.53
  -  บังกลาเทศ,"28,919.18","32,932.07","32,932.07","42,349.31",4.16,13.88,13.88,28.60,0.40,0.44,0.44,0.53
  -  อาร์เจนตินา,"22,723.69","34,408.39","34,408.39","37,455.15",0.88,51.42,51.42,8.85,0.31,0.46,0.46,0.47
  -  รัสเซีย,"24,107.30","20,241.28","20,241.28","34,873.54",-37.77,-16.04,-16.04,72.29,0.33,0.27,0.27,0.44
  -  สเปน,"28,072.26","33,308.15","33,308.15","33,120.24",11.46,18.65,18.65,-0.56,0.39,0.44,0.44,0.41
  -  ชิลี,"20,560.84","19,095.12","19,095.12","25,413.89",-0.55,-7.13,-7.13,33.09,0.28,0.25,0.25,0.32
  -  สาธารณรัฐเช็ก,"25,372.17","25,126.79","25,126.79","23,710.76",2.96,-0.97,-0.97,-5.64,0.35,0.33,0.33,0.30
  -  เบนิน,"10,734.51","18,519.58","18,519.58","23,582.85",-34.20,72.52,72.52,27.34,0.15,0.25,0.25,0.29
  -  อิสราเอล,"23,866.77","23,695.90","23,695.90","23,515.39",-2.42,-0.72,-0.72,-0.76,0.33,0.31,0.31,0.29
  -  อียิปต์,"34,118.50","27,035.41","27,035.41","22,970.55",-1.92,-20.76,-20.76,-15.04,0.47,0.36,0.36,0.29
  -  โอมาน,"20,898.85","20,297.21","20,297.21","17,563.90",-1.07,-2.88,-2.88,-13.47,0.29,0.27,0.27,0.22
  -  นอร์เวย์,"6,374.34","6,243.94","6,243.94","16,541.07",-48.58,-2.05,-2.05,164.91,0.09,0.08,0.08,0.21
  -  สวีเดน,"15,957.78","15,439.48","15,439.48","16,459.08",-9.51,-3.25,-3.25,6.60,0.22,0.20,0.20,0.21
  -  โปแลนด์,"13,146.70","13,552.08","13,552.08","15,295.53",-7.16,3.08,3.08,12.86,0.18,0.18,0.18,0.19
  -  ศรีลังกา,"14,641.07","15,133.39","15,133.39","14,991.27",0.71,3.36,3.36,-0.94,0.20,0.20,0.20,0.19
  -  อิหร่าน,"7,301.70","9,366.85","9,366.85","14,617.87",-29.50,28.28,28.28,56.06,0.10,0.12,0.12,0.18
  -  ฮังการี,"15,365.97","14,576.98","14,576.98","14,399.43",-3.05,-5.13,-5.13,-1.22,0.21,0.19,0.19,0.18
  -  เดนมาร์ก,"14,977.33","13,588.31","13,588.31","13,306.41",6.23,-9.27,-9.27,-2.07,0.21,0.18,0.18,0.17
  -  เปรู,"15,574.81","13,413.58","13,413.58","11,990.47",3.64,-13.88,-13.88,-10.61,0.22,0.18,0.18,0.15
  -  ไอร์แลนด์,"16,772.12","15,696.60","15,696.60","11,854.58",17.41,-6.41,-6.41,-24.48,0.23,0.21,0.21,0.15
  -  เขตต่อเนื่องราชอาณาจักร,"13,978.48","11,718.12","11,718.12","11,637.77",-9.90,-16.17,-16.17,-0.69,0.19,0.16,0.16,0.15
  -  กาตาร์,"11,931.77","10,111.99","10,111.99","10,389.78",-15.24,-15.25,-15.25,2.75,0.17,0.13,0.13,0.13
  -  คูเวต,"13,474.38","11,708.15","11,708.15","9,859.76",-8.65,-13.11,-13.11,-15.79,0.19,0.16,0.16,0.12
  -  แคเมอรูน,"5,977.18","6,716.17","6,716.17","9,795.99",-17.83,12.36,12.36,45.86,0.08,0.09,0.09,0.12
  -  โกตดิวัวร์,"8,263.85","10,522.20","10,522.20","8,266.61",-24.60,27.33,27.33,-21.44,0.11,0.14,0.14,0.10
  -  เคนยา,"5,276.32","5,212.94","5,212.94","7,705.92",-17.85,-1.20,-1.20,47.82,0.07,0.07,0.07,0.10
  -  เอกวาดอร์,"6,830.05","4,129.20","4,129.20","7,595.22",-39.95,-39.54,-39.54,83.94,0.09,0.05,0.05,0.09
  -  ออสเตรีย,"7,807.43","7,813.32","7,813.32","7,578.11",8.50,0.08,0.08,-3.01,0.11,0.10,0.10,0.09
  -  โคลัมเบีย,"7,626.33","6,808.91","6,808.91","7,246.85",-4.69,-10.72,-10.72,6.43,0.11,0.09,0.09,0.09
  -  อิรัก,"6,198.89","3,925.62","3,925.62","7,034.85",-42.95,-36.67,-36.67,79.20,0.09,0.05,0.05,0.09
  -  ฟินแลนด์,"7,519.77","6,053.37","6,053.37","6,816.89",-25.66,-19.50,-19.50,12.61,0.10,0.08,0.08,0.09
  -  โมซัมบิก,"6,054.37","5,184.64","5,184.64","6,740.45",-5.46,-14.37,-14.37,30.01,0.08,0.07,0.07,0.08
  -  กานา,"6,353.93","7,095.11","7,095.11","6,320.23",-32.28,11.66,11.66,-10.92,0.09,0.09,0.09,0.08
  -  อังโกลา,"6,137.99","5,452.58","5,452.58","6,290.25",-32.35,-11.17,-11.17,15.36,0.08,0.07,0.07,0.08
  -  เซเนกัล,"4,596.46","5,221.00","5,221.00","6,207.85",-14.32,13.59,13.59,18.90,0.06,0.07,0.07,0.08
  -  ปานามา,"8,504.09","8,783.46","8,783.46","5,838.38",-0.15,3.29,3.29,-33.53,0.12,0.12,0.12,0.07
  -  โปรตุเกส,"4,849.86","5,532.86","5,532.86","5,778.75",0.96,14.08,14.08,4.44,0.07,0.07,0.07,0.07
  -  ไนจีเรีย,"18,989.09","6,572.42","6,572.42","5,738.66",-29.26,-65.39,-65.39,-12.69,0.26,0.09,0.09,0.07
  -  เลบานอน,"7,738.56","6,054.87","6,054.87","5,732.68",14.25,-21.76,-21.76,-5.32,0.11,0.08,0.08,0.07
  -  บาห์เรน,"7,408.95","6,669.45","6,669.45","5,252.42",-4.17,-9.98,-9.98,-21.25,0.10,0.09,0.09,0.07
  -  เยเมน,"5,832.52","3,922.91","3,922.91","4,821.48",-32.97,-32.74,-32.74,22.91,0.08,0.05,0.05,0.06
  -  ลิกเตนสไตน์,"4,964.03","5,276.57","5,276.57","4,802.90",-3.67,6.30,6.30,-8.98,0.07,0.07,0.07,0.06
  -  ปาปัวนิวกินี,"4,711.70","4,892.88","4,892.88","4,695.95",14.71,3.85,3.85,-4.02,0.07,0.06,0.06,0.06
  -  โรมาเนีย,"4,286.97","4,244.49","4,244.49","4,613.41",-0.57,-0.99,-0.99,8.69,0.06,0.06,0.06,0.06
  -  จอร์แดน,"7,336.46","5,639.85","5,639.85","4,536.60",-21.50,-23.13,-23.13,-19.56,0.10,0.07,0.07,0.06
  -  สโลวัก,"4,739.33","4,248.77","4,248.77","4,289.66",-10.81,-10.35,-10.35,0.96,0.07,0.06,0.06,0.05
  -  ลิเบีย,"3,554.39","4,510.21","4,510.21","4,145.93",-51.45,26.89,26.89,-8.08,0.05,0.06,0.06,0.05
  -  กรีซ,"4,098.67","4,305.34","4,305.34","4,045.20",-2.95,5.04,5.04,-6.04,0.06,0.06,0.06,0.05
  -  คอสตาริกา,"4,939.57","5,657.93","5,657.93","3,715.51",23.26,14.54,14.54,-34.33,0.07,0.07,0.07,0.05
  -  แอลจีเรีย,"4,266.14","4,143.23","4,143.23","3,674.76",-48.62,-2.88,-2.88,-11.31,0.06,0.05,0.05,0.05
  -  แทนซาเนีย,"3,542.54","3,242.16","3,242.16","3,654.22",-23.65,-8.48,-8.48,12.71,0.05,0.04,0.04,0.05
  -  มัลดีฟส์,"2,758.10","3,533.87","3,533.87","3,567.02",0.50,28.13,28.13,0.94,0.04,0.05,0.05,0.04
  -  ยูเครน,"1,646.98","3,289.85","3,289.85","3,522.98",-36.75,99.75,99.75,7.09,0.02,0.04,0.04,0.04
  -  ตรินิแดดและโตเบโก,"4,427.25","3,568.38","3,568.38","3,349.97",2.66,-19.40,-19.40,-6.12,0.06,0.05,0.05,0.04
  -  โมร็อกโก,"3,263.80","3,743.84","3,743.84","3,344.50",-8.82,14.71,14.71,-10.67,0.05,0.05,0.05,0.04
  -  ตูนีเซีย,"3,700.21","5,381.55","5,381.55","3,035.77",-14.81,45.44,45.44,-43.59,0.05,0.07,0.07,0.04
  -  โตโก,"4,545.58","2,254.10","2,254.10","2,993.82",-18.88,-50.41,-50.41,32.82,0.06,0.03,0.03,0.04
  -  สโลวีเนีย,"1,984.35","2,135.72","2,135.72","2,940.32",3.65,7.63,7.63,37.67,0.03,0.03,0.03,0.04
  -  กัวเตมาลา,"4,903.60","4,477.89","4,477.89","2,766.12",11.17,-8.68,-8.68,-38.23,0.07,0.06,0.06,0.03
  -  บรูไน,"3,568.11","2,794.68","2,794.68","2,755.45",-22.18,-21.68,-21.68,-1.40,0.05,0.04,0.04,0.03
  -  นอกเขตต่อเนื่องราชอาณาจักร,"7,466.45","1,432.71","1,432.71","2,684.08",126.96,-80.81,-80.81,87.34,0.10,0.02,0.02,0.03
  -  ซูดาน,"9,569.65","2,074.69","2,074.69","2,419.91",85.68,-78.32,-78.32,16.64,0.13,0.03,0.03,0.03
  -  คองโก,"2,526.98","2,585.97","2,585.97","2,417.39",-2.38,2.33,2.33,-6.52,0.03,0.03,0.03,0.03
  -  มอริเชียส,"2,712.47","2,243.66","2,243.66","2,335.41",-11.55,-17.28,-17.28,4.09,0.04,0.03,0.03,0.03
  -  เนปาล,"1,827.49","2,339.72","2,339.72","2,244.42",-1.88,28.03,28.03,-4.07,0.03,0.03,0.03,0.03
  -  จิบูตี,"1,122.78","1,137.10","1,137.10","2,209.56",-38.28,1.27,1.27,94.32,0.02,0.02,0.02,0.03
  -  จาเมกา,"1,620.06","2,133.74","2,133.74","2,171.03",30.50,31.71,31.71,1.75,0.02,0.03,0.03,0.03
  -  สาธารณรัฐโดมินิกัน,"3,469.00","2,880.03","2,880.03","2,161.43",11.65,-16.98,-16.98,-24.95,0.05,0.04,0.04,0.03
  -  เปอร์โตริโก,"1,232.46","2,136.04","2,136.04","2,140.95",-49.67,73.31,73.31,0.23,0.02,0.03,0.03,0.03
  -  ฮอนดูรัส,"2,921.13","2,929.51","2,929.51","2,041.62",18.62,0.29,0.29,-30.31,0.04,0.04,0.04,0.03
  -  ฟิจิ,"1,846.59","2,117.33","2,117.33","2,009.77",-0.27,14.66,14.66,-5.08,0.03,0.03,0.03,0.03
  -  เอสโตเนีย,"1,739.77","1,731.92","1,731.92","1,749.05",-33.72,-0.45,-0.45,0.99,0.02,0.02,0.02,0.02
  -  คาซัคสถาน,"1,222.19","1,322.37","1,322.37","1,696.36",-34.81,8.20,8.20,28.28,0.02,0.02,0.02,0.02
  -  บัลแกเรีย,"1,252.67","1,338.95","1,338.95","1,685.66",10.94,6.89,6.89,25.89,0.02,0.02,0.02,0.02
  -  เอธิโอเปีย,"1,689.91","1,670.31","1,670.31","1,653.95",-8.31,-1.16,-1.16,-0.98,0.02,0.02,0.02,0.02
  -  ลัตเวีย,"1,257.47","1,319.26","1,319.26","1,598.99",4.87,4.91,4.91,21.20,0.02,0.02,0.02,0.02
  -  ภูฎาน,394.12,849.65,849.65,"1,590.70",205.16,115.58,115.58,87.22,0.01,0.01,0.01,0.02
  -  เวเนซุเอลา,"1,312.19","1,521.72","1,521.72","1,584.40",-37.76,15.97,15.97,4.12,0.02,0.02,0.02,0.02
  -  นิวแคลีโดเนีย,"1,873.11","1,448.78","1,448.78","1,577.02",3.11,-22.65,-22.65,8.85,0.03,0.02,0.02,0.02
  -  กาบอง,"2,073.26","2,777.85","2,777.85","1,457.13",48.25,33.99,33.99,-47.54,0.03,0.04,0.04,0.02
  -  เอลซัลวาดอร์,"1,830.63","1,938.87","1,938.87","1,411.28",10.41,5.91,5.91,-27.21,0.03,0.03,0.03,0.02
  -  มาดากัสการ์,"1,163.07",848.19,848.19,"1,375.00",-38.41,-27.07,-27.07,62.11,0.02,0.01,0.01,0.02
  -  ปารากวัย,"1,175.88",812.25,812.25,"1,352.33",8.56,-30.92,-30.92,66.49,0.02,0.01,0.01,0.02
  -  ซีเรีย,"1,521.76","1,137.04","1,137.04","1,321.54",-40.13,-25.28,-25.28,16.23,0.02,0.02,0.02,0.02
  -  โครเอเชีย,768.66,861.56,861.56,"1,293.18",-23.41,12.09,12.09,50.10,0.01,0.01,0.01,0.02
  -  จอร์เจีย,778.07,904.27,904.27,"1,076.93",-32.11,16.22,16.22,19.09,0.01,0.01,0.01,0.01
  -  อุรุกวัย,"1,422.54","1,189.10","1,189.10","1,040.64",-14.96,-16.41,-16.41,-12.49,0.02,0.02,0.02,0.01
  -  ไนเจอร์,"1,167.74",760.29,760.29,"1,026.75",-3.16,-34.89,-34.89,35.05,0.02,0.01,0.01,0.01
  -  บูร์กินา ฟาโซ,396.71,514.99,514.99,969.01,51.17,29.81,29.81,88.16,0.01,0.01,0.01,0.01
  -  โบลิเวีย,"1,981.00","1,361.82","1,361.82",959.09,-14.34,-31.26,-31.26,-29.57,0.03,0.02,0.02,0.01
  -  นิการากัว,"3,364.62","4,000.84","4,000.84",952.51,44.15,18.91,18.91,-76.19,0.05,0.05,0.05,0.01
  -  เฟรนช์โปลีนีเซีย,687.31,591.39,591.39,949.28,-4.38,-13.96,-13.96,60.52,0.01,0.01,0.01,0.01
  -  ไซปรัส,753.47,841.03,841.03,927.55,-14.83,11.62,11.62,10.29,0.01,0.01,0.01,0.01
  -  แกมเบีย,954.55,716.50,716.50,848.85,-6.29,-24.94,-24.94,18.47,0.01,0.01,0.01,0.01
  -  มอลตา,652.29,798.98,798.98,829.58,4.95,22.49,22.49,3.83,0.01,0.01,0.01,0.01
  -  ลิทัวเนีย,858.75,829.35,829.35,807.49,-50.99,-3.42,-3.42,-2.64,0.01,0.01,0.01,0.01
  -  โซมาเลีย,590.28,572.22,572.22,729.40,-21.65,-3.06,-3.06,27.47,0.01,0.01,0.01,0.01
  -  บาร์เบโดส,451.73,571.44,571.44,701.58,6.56,26.50,26.50,22.78,0.01,0.01,0.01,0.01
  -  มาเก๊า,825.26,772.05,772.05,686.77,21.03,-6.45,-6.45,-11.05,0.01,0.01,0.01,0.01
  -  ติมัวร์เลสเต้,542.47,293.71,293.71,639.38,-58.44,-45.86,-45.86,117.69,0.01,0.00,0.00,0.01
  -  อัฟกานิสถาน,981.51,"1,239.64","1,239.64",625.26,-35.14,26.30,26.30,-49.56,0.01,0.02,0.02,0.01
  -  มอริเตเนีย,494.59,641.29,641.29,602.15,-54.85,29.66,29.66,-6.10,0.01,0.01,0.01,0.01
  -  กินี,749.03,"1,649.61","1,649.61",589.69,-63.38,120.23,120.23,-64.25,0.01,0.02,0.02,0.01
  -  ยูกันดา,595.24,420.26,420.26,571.39,-19.62,-29.40,-29.40,35.96,0.01,0.01,0.01,0.01
  -  เรอูนียง,739.89,522.60,522.60,553.69,-4.52,-29.37,-29.37,5.95,0.01,0.01,0.01,0.01
  -  เซเชลส์,245.05,420.84,420.84,530.74,-33.42,71.74,71.74,26.11,0.00,0.01,0.01,0.01
  -  เซียร์ราลีโอน,768.88,448.02,448.02,516.81,6.12,-41.73,-41.73,15.35,0.01,0.01,0.01,0.01
  -  วานูอาตู,365.36,398.93,398.93,458.65,10.70,9.19,9.19,14.97,0.01,0.01,0.01,0.01
  -  ซูรินาเม,578.37,449.13,449.13,453.26,-17.22,-22.35,-22.35,0.92,0.01,0.01,0.01,0.01
  -  มายอต,464.03,446.66,446.66,440.42,-6.60,-3.74,-3.74,-1.40,0.01,0.01,0.01,0.01
"  -  CONGO, THE DEMOCRATIC REPUBLIC",298.85,206.55,206.55,433.56,19.13,-30.88,-30.88,109.90,0.00,0.00,0.00,0.01
  -  เซอร์เบีย,340.18,360.80,360.80,407.73,28.76,6.06,6.06,13.01,0.00,0.00,0.00,0.01
  -  เฮติ,492.90,534.98,534.98,376.51,-15.75,8.54,8.54,-29.62,0.01,0.01,0.01,0.00
  -  ซิมบับเว,194.08,207.77,207.77,367.91,-18.63,7.06,7.06,77.08,0.00,0.00,0.00,0.00
  -  กวม,323.46,308.95,308.95,362.02,7.42,-4.49,-4.49,17.18,0.00,0.00,0.00,0.00
  -  โซโลมอน,404.87,353.93,353.93,357.89,33.18,-12.58,-12.58,1.12,0.01,0.00,0.00,0.00
  -  อาร์เมเนีย,50.05,76.27,76.27,355.58,-93.86,52.40,52.40,366.19,0.00,0.00,0.00,0.00
  -  มองโกเลีย,425.95,440.98,440.98,353.00,4.34,3.53,3.53,-19.95,0.01,0.01,0.01,0.00
  -  คิวบา,194.15,192.27,192.27,333.72,22.85,-0.97,-0.97,73.56,0.00,0.00,0.00,0.00
  -  ซามัวตะวันตก,557.18,413.35,413.35,323.15,73.08,-25.81,-25.81,-21.82,0.01,0.01,0.01,0.00
  -  ไอซ์แลนด์,201.57,189.46,189.46,317.50,-4.70,-6.01,-6.01,67.58,0.00,0.00,0.00,0.00
  -  อิเควทอเรียลกินี,254.77,354.47,354.47,306.56,-15.46,39.13,39.13,-13.52,0.00,0.00,0.00,0.00
  -  ลักเซมเบิร์ก,242.75,290.65,290.65,299.13,2.04,19.74,19.74,2.92,0.00,0.00,0.00,0.00
  -  มาลี,165.27,263.55,263.55,291.92,39.28,59.47,59.47,10.76,0.00,0.00,0.00,0.00
  -  เซนต์ลูเซีย,185.40,204.99,204.99,268.64,39.30,10.57,10.57,31.05,0.00,0.00,0.00,0.00
  -  อาเซอร์ไบจาน,452.02,277.89,277.89,266.87,-41.42,-38.52,-38.52,-3.97,0.01,0.00,0.00,0.00
  -  บาฮามาส,179.49,186.97,186.97,256.13,23.14,4.17,4.17,36.99,0.00,0.00,0.00,0.00
  -  แซมเบีย,475.96,147.40,147.40,242.57,-7.15,-69.03,-69.03,64.57,0.01,0.00,0.00,0.00
  -  หมู่เกาะเคปเวิร์ด,444.01,238.86,238.86,234.95,62.24,-46.20,-46.20,-1.63,0.01,0.00,0.00,0.00
  -  กายอานา,222.49,232.29,232.29,234.26,10.72,4.40,4.40,0.85,0.00,0.00,0.00,0.00
  -  เติร์กเมนิสถาน,224.84,311.68,311.68,227.69,-10.91,38.62,38.62,-26.95,0.00,0.00,0.00,0.00
  -  แอลเบเนีย,228.40,225.64,225.64,226.74,-15.86,-1.21,-1.21,0.49,0.00,0.00,0.00,0.00
  -  อุซเบกิสถาน,301.68,238.30,238.30,210.02,-34.03,-21.01,-21.01,-11.86,0.00,0.00,0.00,0.00
  -  เบลารุส,125.74,187.75,187.75,186.07,-78.40,49.32,49.32,-0.90,0.00,0.00,0.00,0.00
  -  อรูบา,149.73,201.01,201.01,178.14,-3.36,34.25,34.25,-11.38,0.00,0.00,0.00,0.00
  -  บอสเนียและเฮอร์เซโกวีนา,168.21,202.51,202.51,173.75,-18.22,20.39,20.39,-14.20,0.00,0.00,0.00,0.00
  -  เนเธอร์แลนด์แอนทิลลีส,269.58,145.95,145.95,152.86,3.77,-45.86,-45.86,4.74,0.00,0.00,0.00,0.00
  -  ไลบีเรีย,248.96,117.81,117.81,150.47,21.56,-52.68,-52.68,27.72,0.00,0.00,0.00,0.00
  -  แอนติกัวและบาร์บูดา,145.78,153.66,153.66,140.20,9.85,5.40,5.40,-8.76,0.00,0.00,0.00,0.00
  -  รวันดา,192.77,153.91,153.91,134.83,-31.45,-20.16,-20.16,-12.40,0.00,0.00,0.00,0.00
  -  CURACAO,62.00,172.29,172.29,132.52,-16.59,177.88,177.88,-23.08,0.00,0.00,0.00,0.00
  -  นามิเบีย,100.20,138.56,138.56,131.71,-53.50,38.28,38.28,-4.94,0.00,0.00,0.00,0.00
  -  คิริบาส,58.78,92.47,92.47,124.42,-55.40,57.33,57.33,34.54,0.00,0.00,0.00,0.00
  -  คอโมรอส,50.82,64.60,64.60,124.17,-5.16,27.10,27.10,92.22,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคย์แมน,66.79,77.62,77.62,115.74,113.93,16.22,16.22,49.10,0.00,0.00,0.00,0.00
  -  หมู่เกาะมาร์แชล,50.01,85.81,85.81,112.47,10.20,71.58,71.58,31.07,0.00,0.00,0.00,0.00
  -  มาลาวี,65.96,93.79,93.79,111.47,-62.72,42.18,42.18,18.86,0.00,0.00,0.00,0.00
  -  เบอร์มิวดา,99.81,119.34,119.34,110.69,85.45,19.57,19.57,-7.25,0.00,0.00,0.00,0.00
  -  SOUTH SUDAN,97.06,38.45,38.45,110.59,170.85,-60.39,-60.39,187.62,0.00,0.00,0.00,0.00
  -  เอริเทรีย,225.22,5.44,5.44,108.91,-47.48,-97.59,-97.59,"1,903.32",0.00,0.00,0.00,0.00
  -  ไมโครนีเซีย,91.81,94.24,94.24,107.78,-8.10,2.64,2.64,14.37,0.00,0.00,0.00,0.00
  -  เกรเนดา,100.68,140.64,140.64,103.19,28.37,39.69,39.69,-26.63,0.00,0.00,0.00,0.00
  -  ปาเลสไตน์,21.63,70.17,70.17,92.32,-87.43,224.45,224.45,31.56,0.00,0.00,0.00,0.00
  -  มาซิโดเนีย,149.45,137.00,137.00,87.86,-2.02,-8.33,-8.33,-35.87,0.00,0.00,0.00,0.00
  -  เซนต์คิตส์และเนวิส,73.03,85.19,85.19,86.66,4.84,16.66,16.66,1.72,0.00,0.00,0.00,0.00
  -  ตองกา,72.59,68.40,68.40,79.24,14.24,-5.76,-5.76,15.85,0.00,0.00,0.00,0.00
  -  ชาด,80.45,31.60,31.60,78.78,-4.09,-60.73,-60.73,149.34,0.00,0.00,0.00,0.00
  -  ทาจิกิสถาน,32.56,26.53,26.53,77.51,-53.02,-18.53,-18.53,192.21,0.00,0.00,0.00,0.00
  -  โดมินิกา,369.69,207.84,207.84,77.12,542.72,-43.78,-43.78,-62.89,0.01,0.00,0.00,0.00
  -  มอนเตเนโกร,71.82,69.57,69.57,72.07,-5.93,-3.12,-3.12,3.59,0.00,0.00,0.00,0.00
  -  มาร์ตินีก,161.83,78.95,78.95,68.16,11.80,-51.21,-51.21,-13.67,0.00,0.00,0.00,0.00
  -  สวาซิแลนด์,125.14,87.88,87.88,66.28,-68.00,-29.78,-29.78,-24.58,0.00,0.00,0.00,0.00
  -  บอตสวานา,39.93,75.36,75.36,60.71,53.87,88.71,88.71,-19.44,0.00,0.00,0.00,0.00
  -  หมู่เกาะดุก,67.21,55.10,55.10,59.56,31.79,-18.02,-18.02,8.10,0.00,0.00,0.00,0.00
  -  เกาหลีเหนือ,"2,523.86",925.09,925.09,57.36,-26.86,-63.35,-63.35,-93.80,0.03,0.01,0.01,0.00
  -  โมนาโก,70.98,82.75,82.75,57.21,-36.64,16.58,16.58,-30.86,0.00,0.00,0.00,0.00
  -  กวาเดอลูป,158.14,58.38,58.38,56.66,-0.06,-63.08,-63.08,-2.94,0.00,0.00,0.00,0.00
  -  เกาะเซนต์มาร์ติน,8.00,9.60,9.60,49.97,62.94,20.05,20.05,420.65,0.00,0.00,0.00,0.00
