ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2558,2559,2559,2560,2558,2559,2559,2560,2558,2559,2559,2560
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"800,893.89","833,538.03","833,538.03","997,982.74",-0.69,4.08,4.08,19.73,11.08,11.04,11.04,12.47
  -  สหรัฐอเมริกา,"811,346.29","858,391.55","858,391.55","898,823.30",5.67,5.80,5.80,4.71,11.23,11.37,11.37,11.23
  -  ญี่ปุ่น,"675,543.23","718,354.79","718,354.79","746,519.27",-3.16,6.34,6.34,3.92,9.35,9.51,9.51,9.32
  -  ฮ่องกง,"399,805.40","402,289.86","402,289.86","416,257.45",-1.35,0.62,0.62,3.47,5.53,5.33,5.33,5.20
  -  เวียดนาม,"301,182.03","330,092.24","330,092.24","391,210.85",18.92,9.60,9.60,18.52,4.17,4.37,4.37,4.89
  -  ออสเตรเลีย,"329,786.04","361,457.20","361,457.20","355,227.73",10.35,9.60,9.60,-1.72,4.56,4.79,4.79,4.44
  -  มาเลเซีย,"342,825.73","337,477.22","337,477.22","349,848.66",-16.43,-1.56,-1.56,3.67,4.74,4.47,4.47,4.37
  -  อินโดนีเซีย,"263,512.55","286,679.25","286,679.25","299,494.49",-13.75,8.79,8.79,4.47,3.65,3.80,3.80,3.74
  -  สิงคโปร์,"294,436.14","288,800.27","288,800.27","281,120.80",-12.24,-1.91,-1.91,-2.66,4.07,3.82,3.82,3.51
  -  ฟิลิปปินส์,"202,813.50","224,220.74","224,220.74","234,963.36",7.64,10.56,10.56,4.79,2.81,2.97,2.97,2.93
  -  อินเดีย,"178,023.61","180,708.68","180,708.68","218,975.41",-1.23,1.51,1.51,21.18,2.46,2.39,2.39,2.74
  -  กัมพูชา,"167,048.28","163,770.84","163,770.84","179,082.76",14.82,-1.96,-1.96,9.35,2.31,2.17,2.17,2.24
  -  เยอรมนี,"144,587.10","156,930.41","156,930.41","170,537.99",-0.72,8.54,8.54,8.67,2.00,2.08,2.08,2.13
  -  เนเธอร์แลนด์,"144,121.16","148,153.43","148,153.43","161,321.44",-2.75,2.80,2.80,8.89,1.99,1.96,1.96,2.01
  -  เกาหลีใต้,"138,216.06","142,750.70","142,750.70","157,943.69",-4.84,3.28,3.28,10.64,1.91,1.89,1.89,1.97
  -  เมียนม่า,"140,687.33","146,534.57","146,534.57","146,142.30",3.24,4.16,4.16,-0.27,1.95,1.94,1.94,1.83
  -  สวิตเซอร์แลนด์,"81,215.88","170,616.14","170,616.14","138,544.40",37.53,110.08,110.08,-18.80,1.12,2.26,2.26,1.73
  -  สหราชอาณาจักร,"128,543.55","134,942.39","134,942.39","138,345.12",-0.20,4.98,4.98,2.52,1.78,1.79,1.79,1.73
  -  ไต้หวัน,"118,877.88","118,230.57","118,230.57","135,848.97",-7.84,-0.54,-0.54,14.90,1.65,1.57,1.57,1.70
  -  ลาว,"142,909.28","140,092.38","140,092.38","133,694.53",10.21,-1.97,-1.97,-4.57,1.98,1.86,1.86,1.67
  -  เม็กซิโก,"90,890.44","98,835.95","98,835.95","100,994.21",41.73,8.74,8.74,2.18,1.26,1.31,1.31,1.26
  -  สหรัฐอาหรับเอมิเรตส์,"103,544.22","100,771.57","100,771.57","96,038.58",-0.80,-2.68,-2.68,-4.70,1.43,1.33,1.33,1.20
  -  แอฟริกาใต้,"67,703.90","73,713.45","73,713.45","83,807.35",-10.35,8.88,8.88,13.69,0.94,0.98,0.98,1.05
  -  ฝรั่งเศส,"53,919.54","54,448.24","54,448.24","60,092.40",1.88,0.98,0.98,10.37,0.75,0.72,0.72,0.75
  -  ซาอุดีอาระเบีย,"99,253.12","77,744.64","77,744.64","58,670.42",-0.78,-21.67,-21.67,-24.53,1.37,1.03,1.03,0.73
  -  อิตาลี,"44,774.69","54,312.28","54,312.28","55,998.02",-8.00,21.30,21.30,3.10,0.62,0.72,0.72,0.70
  -  นิวซีแลนด์,"44,460.18","50,277.51","50,277.51","55,591.71",11.82,13.08,13.08,10.57,0.62,0.67,0.67,0.69
  -  แคนาดา,"46,024.18","47,036.39","47,036.39","48,369.43",-2.99,2.20,2.20,2.83,0.64,0.62,0.62,0.60
  -  ปากีสถาน,"30,713.58","35,556.80","35,556.80","47,560.23",9.26,15.77,15.77,33.76,0.43,0.47,0.47,0.59
  -  เบลเยียม,"52,096.06","51,096.32","51,096.32","46,968.59",-3.19,-1.92,-1.92,-8.08,0.72,0.68,0.68,0.59
  -  บราซิล,"51,466.23","53,244.50","53,244.50","44,778.15",-17.28,3.46,3.46,-15.90,0.71,0.71,0.71,0.56
