ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2552,2553,2553,2554,2552,2553,2553,2554,2552,2553,2553,2554
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"548,760.05","678,631.83","678,631.83","791,212.19",3.09,23.67,23.67,16.59,10.56,11.10,11.10,11.80
  -  ญี่ปุ่น,"535,880.34","641,910.14","641,910.14","719,382.47",-19.00,19.79,19.79,12.07,10.32,10.50,10.50,10.72
  -  สหรัฐอเมริกา,"567,698.96","638,820.07","638,820.07","656,591.57",-14.98,12.53,12.53,2.78,10.93,10.45,10.45,9.79
  -  มาเลเซีย,"260,837.29","334,598.81","334,598.81","373,614.58",-19.81,28.28,28.28,11.66,5.02,5.47,5.47,5.57
  -  ฮ่องกง,"323,220.23","354,820.58","354,820.58","360,080.42",-2.28,9.78,9.78,1.48,6.22,5.80,5.80,5.37
  -  สิงคโปร์,"257,967.52","284,693.62","284,693.62","343,976.47",-22.40,10.36,10.36,20.82,4.97,4.66,4.66,5.13
  -  อินโดนีเซีย,"158,917.86","232,856.21","232,856.21","303,877.17",-23.60,46.53,46.53,30.50,3.06,3.81,3.81,4.53
  -  ออสเตรเลีย,"291,955.77","297,098.72","297,098.72","241,047.24",10.93,1.76,1.76,-18.87,5.62,4.86,4.86,3.59
  -  เวียดนาม,"159,224.41","184,463.07","184,463.07","212,703.66",-3.56,15.85,15.85,15.31,3.07,3.02,3.02,3.17
  -  อินเดีย,"109,863.06","139,178.33","139,178.33","156,288.72",-0.30,26.68,26.68,12.29,2.11,2.28,2.28,2.33
  -  สวิตเซอร์แลนด์,"107,821.35","129,270.02","129,270.02","143,141.14",63.40,19.89,19.89,10.73,2.08,2.11,2.11,2.13
  -  ฟิลิปปินส์,"102,928.49","154,914.88","154,914.88","139,842.77",-10.65,50.51,50.51,-9.73,1.98,2.53,2.53,2.08
  -  เกาหลีใต้,"96,110.38","114,267.82","114,267.82","137,929.45",-20.64,18.89,18.89,20.71,1.85,1.87,1.87,2.06
  -  เนเธอร์แลนด์,"106,523.41","115,282.89","115,282.89","137,434.95",-22.45,8.22,8.22,19.22,2.05,1.89,1.89,2.05
  -  สหราชอาณาจักร,"110,310.58","115,717.08","115,717.08","117,141.29",-15.74,4.90,4.90,1.23,2.12,1.89,1.89,1.75
  -  ไต้หวัน,"76,677.60","101,770.31","101,770.31","116,373.38",-13.65,32.72,32.72,14.35,1.48,1.66,1.66,1.73
  -  เยอรมนี,"89,503.94","104,373.69","104,373.69","113,426.43",-14.96,16.61,16.61,8.67,1.72,1.71,1.71,1.69
