ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
  -  เมียนม่า,"52,652.37","65,631.18","65,631.18","85,879.95",20.05,24.65,24.65,30.85,1.01,1.07,1.07,1.28
  -  ลาว,"56,045.36","67,606.02","67,606.02","83,534.30",-4.02,20.63,20.63,23.56,1.08,1.11,1.11,1.25
  -  สหรัฐอาหรับเอมิเรตส์,"83,870.56","90,057.79","90,057.79","83,213.95",-9.04,7.38,7.38,-7.60,1.61,1.47,1.47,1.24
  -  กัมพูชา,"53,917.76","74,265.08","74,265.08","81,238.91",-19.56,37.74,37.74,9.39,1.04,1.21,1.21,1.21
  -  บราซิล,"33,974.15","50,935.71","50,935.71","68,386.15",-16.18,49.92,49.92,34.26,0.65,0.83,0.83,1.02
  -  ซาอุดีอาระเบีย,"62,097.79","67,195.71","67,195.71","67,961.93",-3.17,8.21,8.21,1.14,1.20,1.10,1.10,1.01
  -  แอฟริกาใต้,"49,231.30","55,590.24","55,590.24","66,317.62",-11.41,12.92,12.92,19.30,0.95,0.91,0.91,0.99
  -  ฝรั่งเศส,"52,739.34","55,695.19","55,695.19","56,750.48",-15.10,5.60,5.60,1.89,1.02,0.91,0.91,0.85
  -  อิตาลี,"44,857.55","54,090.56","54,090.56","56,227.73",-31.05,20.58,20.58,3.95,0.86,0.88,0.88,0.84
  -  เบลเยียม,"45,974.05","47,806.29","47,806.29","53,514.81",-17.63,3.99,3.99,11.94,0.89,0.78,0.78,0.80
  -  แคนาดา,"42,735.02","45,141.72","45,141.72","51,569.34",-9.29,5.63,5.63,14.24,0.82,0.74,0.74,0.77
  -  เม็กซิโก,"24,791.56","30,568.88","30,568.88","38,496.56",-14.94,23.30,23.30,25.93,0.48,0.50,0.50,0.57
  -  ตุรกี,"23,518.73","31,558.99","31,558.99","37,638.39",-35.99,34.19,34.19,19.26,0.45,0.52,0.52,0.56
  -  บังกลาเทศ,"21,218.47","27,998.46","27,998.46","36,590.39",12.03,31.95,31.95,30.69,0.41,0.46,0.46,0.55
  -  รัสเซีย,"13,843.85","24,312.19","24,312.19","34,624.37",-56.13,75.62,75.62,42.42,0.27,0.40,0.40,0.52
  -  สเปน,"27,045.12","35,436.23","35,436.23","34,032.00",-38.66,31.03,31.03,-3.96,0.52,0.58,0.58,0.51
  -  ไนจีเรีย,"27,139.93","29,225.33","29,225.33","32,850.71",-7.76,7.68,7.68,12.40,0.52,0.48,0.48,0.49
  -  อิหร่าน,"28,987.53","16,138.91","16,138.91","29,097.45",48.68,-44.32,-44.32,80.29,0.56,0.26,0.26,0.43
  -  สาธารณรัฐเช็ก,"29,182.13","36,064.09","36,064.09","28,635.61",46.37,23.58,23.58,-20.60,0.56,0.59,0.59,0.43
  -  ปากีสถาน,"23,276.54","26,508.44","26,508.44","27,076.66",9.81,13.88,13.88,2.14,0.45,0.43,0.43,0.40
  -  นิวซีแลนด์,"18,447.58","25,296.47","25,296.47","25,755.56",-24.36,37.13,37.13,1.81,0.36,0.41,0.41,0.38
  -  อียิปต์,"20,005.82","24,321.02","24,321.02","23,208.27",-4.06,21.57,21.57,-4.58,0.39,0.40,0.40,0.35
  -  เดนมาร์ก,"17,683.37","22,757.91","22,757.91","22,738.46",-3.53,28.70,28.70,-0.09,0.34,0.37,0.37,0.34
  -  อิสราเอล,"16,772.86","21,120.47","21,120.47","22,199.33",-29.85,25.92,25.92,5.11,0.32,0.35,0.35,0.33
  -  อาร์เจนตินา,"13,061.92","18,823.06","18,823.06","21,607.68",4.27,44.11,44.11,14.79,0.25,0.31,0.31,0.32
  -  อิรัก,"9,829.30","14,216.40","14,216.40","20,372.97",-30.10,44.63,44.63,43.31,0.19,0.23,0.23,0.30
  -  โปแลนด์,"15,410.21","16,951.72","16,951.72","19,617.40",-5.58,10.00,10.00,15.73,0.30,0.28,0.28,0.29
  -  สวีเดน,"15,265.18","18,090.64","18,090.64","19,446.30",-16.19,18.51,18.51,7.49,0.29,0.30,0.30,0.29
  -  โอมาน,"14,440.34","17,567.97","17,567.97","17,463.64",-21.01,21.66,21.66,-0.59,0.28,0.29,0.29,0.26
  -  เขตต่อเนื่องราชอาณาจักร,"14,504.75","16,769.89","16,769.89","16,721.65",-2.55,15.62,15.62,-0.29,0.28,0.27,0.27,0.25
  -  ชิลี,"4,748.48","16,279.94","16,279.94","15,568.02",-55.88,242.84,242.84,-4.37,0.09,0.27,0.27,0.23
  -  ศรีลังกา,"11,202.22","12,738.71","12,738.71","14,685.21",-1.68,13.72,13.72,15.28,0.22,0.21,0.21,0.22
  -  ฟินแลนด์,"9,336.50","11,384.49","11,384.49","12,516.62",-44.97,21.94,21.94,9.94,0.18,0.19,0.19,0.19
  -  กานา,"6,877.85","6,685.17","6,685.17","11,367.38",-9.76,-2.80,-2.80,70.04,0.13,0.11,0.11,0.17
  -  โกตดิวัวร์,"11,152.50","11,598.85","11,598.85","11,164.43",18.84,4.00,4.00,-3.75,0.21,0.19,0.19,0.17
  -  โคลัมเบีย,"7,594.95","12,062.19","12,062.19","11,024.18",-15.42,58.82,58.82,-8.61,0.15,0.20,0.20,0.16
  -  ฮังการี,"10,466.26","11,886.81","11,886.81","10,771.52",-18.66,13.57,13.57,-9.38,0.20,0.19,0.19,0.16
  -  คูเวต,"11,713.17","9,059.14","9,059.14","10,310.13",11.09,-22.66,-22.66,13.81,0.23,0.15,0.15,0.15
  -  เปรู,"3,260.32","9,783.09","9,783.09","9,198.71",-61.81,200.07,200.07,-5.97,0.06,0.16,0.16,0.14
  -  ไอร์แลนด์,"9,921.96","8,315.95","8,315.95","8,921.63",-44.00,-16.19,-16.19,7.28,0.19,0.14,0.14,0.13
  -  กาตาร์,"11,818.45","8,419.82","8,419.82","8,638.87",17.13,-28.76,-28.76,2.60,0.23,0.14,0.14,0.13
  -  เอกวาดอร์,"6,550.69","9,951.26","9,951.26","8,052.86",-38.07,51.91,51.91,-19.08,0.13,0.16,0.16,0.12
  -  ตูนีเซีย,"3,533.33","4,738.80","4,738.80","7,509.91",8.44,34.12,34.12,58.48,0.07,0.08,0.08,0.11
  -  แอลจีเรีย,"5,928.25","6,864.45","6,864.45","7,484.46",-20.57,15.79,15.79,9.03,0.11,0.11,0.11,0.11
  -  ซีเรีย,"6,253.83","9,111.07","9,111.07","6,613.51",13.98,45.69,45.69,-27.41,0.12,0.15,0.15,0.10
  -  ออสเตรีย,"6,019.25","6,444.01","6,444.01","6,442.86",-40.15,7.06,7.06,-0.02,0.12,0.11,0.11,0.10
  -  ปานามา,"4,650.62","7,079.66","7,079.66","6,291.89",-26.55,52.23,52.23,-11.13,0.09,0.12,0.12,0.09
  -  ปาปัวนิวกินี,"3,000.13","4,425.03","4,425.03","6,155.61",-4.45,47.49,47.49,39.11,0.06,0.07,0.07,0.09
  -  อัฟกานิสถาน,"4,853.05","4,637.44","4,637.44","5,786.91",18.13,-4.44,-4.44,24.79,0.09,0.08,0.08,0.09
  -  เคนยา,"4,185.73","4,103.40","4,103.40","5,744.35",-2.74,-1.97,-1.97,39.99,0.08,0.07,0.07,0.09
  -  สาธารณรัฐโดมินิกัน,"1,769.86","2,480.50","2,480.50","5,717.88",-45.86,40.15,40.15,130.51,0.03,0.04,0.04,0.09
  -  เยเมน,"8,007.84","7,368.85","7,368.85","5,625.55",28.84,-7.98,-7.98,-23.66,0.15,0.12,0.12,0.08
  -  นอร์เวย์,"4,039.53","5,579.18","5,579.18","5,555.43",-35.86,38.11,38.11,-0.43,0.08,0.09,0.09,0.08
  -  อังโกลา,"4,776.99","4,495.29","4,495.29","5,420.16",-26.37,-5.90,-5.90,20.57,0.09,0.07,0.07,0.08
  -  เซเนกัล,"7,279.40","5,237.62","5,237.62","5,418.40",-16.98,-28.05,-28.05,3.45,0.14,0.09,0.09,0.08
  -  ยูเครน,"1,817.76","3,348.37","3,348.37","5,290.03",-77.30,84.20,84.20,57.99,0.03,0.05,0.05,0.08
  -  จอร์แดน,"7,400.29","3,891.80","3,891.80","5,265.41",-12.76,-47.41,-47.41,35.30,0.14,0.06,0.06,0.08
  -  โปรตุเกส,"4,592.61","5,346.40","5,346.40","5,145.61",-28.55,16.41,16.41,-3.76,0.09,0.09,0.09,0.08
  -  โรมาเนีย,"2,447.31","3,566.84","3,566.84","5,110.26",-35.70,45.75,45.75,43.27,0.05,0.06,0.06,0.08
  -  โมร็อกโก,"4,882.59","5,416.84","5,416.84","5,007.70",-7.74,10.94,10.94,-7.55,0.09,0.09,0.09,0.07
  -  ลิกเตนสไตน์,"3,959.37","3,778.99","3,778.99","4,882.67",723.51,-4.56,-4.56,29.21,0.08,0.06,0.06,0.07
  -  เวเนซุเอลา,"2,112.78","3,544.70","3,544.70","4,841.21",-62.81,67.77,67.77,36.58,0.04,0.06,0.06,0.07
  -  กรีซ,"7,394.96","6,440.23","6,440.23","4,839.43",-34.76,-12.91,-12.91,-24.86,0.14,0.11,0.11,0.07
  -  โมซัมบิก,"6,053.76","3,484.72","3,484.72","4,789.43",86.65,-42.44,-42.44,37.44,0.12,0.06,0.06,0.07
  -  โตโก,"3,184.89","3,384.69","3,384.69","4,718.65",-43.56,6.27,6.27,39.41,0.06,0.06,0.06,0.07
  -  เลบานอน,"4,877.83","4,631.95","4,631.95","4,708.30",15.50,-5.04,-5.04,1.65,0.09,0.08,0.08,0.07
  -  บาห์เรน,"4,679.97","4,124.88","4,124.88","4,244.61",-0.61,-11.86,-11.86,2.90,0.09,0.07,0.07,0.06
  -  บรูไน,"4,001.45","4,076.56","4,076.56","4,134.71",-1.79,1.88,1.88,1.43,0.08,0.07,0.07,0.06
  -  แคเมอรูน,"3,417.94","3,781.14","3,781.14","4,113.54",20.30,10.63,10.63,8.79,0.07,0.06,0.06,0.06
  -  นอกเขตต่อเนื่องราชอาณาจักร,73.44,,,"4,104.93",-98.47,,,,0.00,,,0.06
  -  เบนิน,"12,114.86","8,251.43","8,251.43","3,982.10",-12.01,-31.89,-31.89,-51.74,0.23,0.13,0.13,0.06
  -  สโลวัก,"5,049.37","5,477.17","5,477.17","3,728.99",2.03,8.47,8.47,-31.92,0.10,0.09,0.09,0.06
  -  คองโก,"1,917.34","2,801.27","2,801.27","3,446.50",30.29,46.10,46.10,23.03,0.04,0.05,0.05,0.05
  -  ซูดาน,"2,469.03","4,789.04","4,789.04","3,374.21",-31.21,93.96,93.96,-29.54,0.05,0.08,0.08,0.05
  -  ลิเบีย,"7,690.84","7,777.69","7,777.69","3,006.24",-25.76,1.13,1.13,-61.35,0.15,0.13,0.13,0.04
  -  มอริเชียส,"2,832.13","3,928.00","3,928.00","2,895.03",-6.87,38.69,38.69,-26.30,0.05,0.06,0.06,0.04
  -  แทนซาเนีย,"2,657.02","2,644.01","2,644.01","2,892.04",-25.88,-0.49,-0.49,9.38,0.05,0.04,0.04,0.04
  -  กัวเตมาลา,"2,041.14","3,238.20","3,238.20","2,735.62",-39.20,58.65,58.65,-15.52,0.04,0.05,0.05,0.04
  -  เอสโตเนีย,"1,118.11","1,881.56","1,881.56","2,628.53",-44.74,68.28,68.28,39.70,0.02,0.03,0.03,0.04
  -  ตรินิแดดและโตเบโก,"2,018.10","2,751.31","2,751.31","2,430.33",-37.78,36.33,36.33,-11.67,0.04,0.05,0.05,0.04
  -  อุรุกวัย,651.33,"1,664.85","1,664.85","2,385.06",6.42,155.61,155.61,43.26,0.01,0.03,0.03,0.04
  -  คอสตาริกา,"1,217.10","2,410.64","2,410.64","2,352.38",-62.48,98.06,98.06,-2.42,0.02,0.04,0.04,0.04
  -  สโลวีเนีย,801.54,"1,056.71","1,056.71","2,313.98",-31.48,31.83,31.83,118.98,0.02,0.02,0.02,0.03
  -  เอธิโอเปีย,"1,101.82","1,971.34","1,971.34","2,178.22",68.20,78.92,78.92,10.49,0.02,0.03,0.03,0.03
  -  มัลดีฟส์,"1,726.91","2,023.57","2,023.57","2,060.59",-15.17,17.18,17.18,1.83,0.03,0.03,0.03,0.03
  -  เนปาล,"2,667.54","2,217.39","2,217.39","1,940.48",54.66,-16.88,-16.88,-12.49,0.05,0.04,0.04,0.03
  -  ฮอนดูรัส,"1,164.91","2,244.88","2,244.88","1,834.99",-61.94,92.71,92.71,-18.26,0.02,0.04,0.04,0.03
  -  คาซัคสถาน,"1,263.93","1,192.59","1,192.59","1,819.86",10.30,-5.64,-5.64,52.60,0.02,0.02,0.02,0.03
  -  ปารากวัย,556.72,"1,559.40","1,559.40","1,786.99",-57.21,180.11,180.11,14.60,0.01,0.03,0.03,0.03
  -  ฟิจิ,"1,865.69","1,636.36","1,636.36","1,785.77",-12.55,-12.29,-12.29,9.13,0.04,0.03,0.03,0.03
  -  กาบอง,"1,302.41","1,355.37","1,355.37","1,754.54",-12.55,4.07,4.07,29.45,0.03,0.02,0.02,0.03
  -  ประเทศอื่น,"1,538.96","1,826.79","1,826.79","1,728.92",-47.58,18.70,18.70,-5.36,0.03,0.03,0.03,0.03
  -  ลิทัวเนีย,"3,740.84","1,808.68","1,808.68","1,702.50",-6.98,-51.65,-51.65,-5.87,0.07,0.03,0.03,0.03
  -  นิวแคลีโดเนีย,"1,319.57","1,713.65","1,713.65","1,626.84",-12.70,29.86,29.86,-5.07,0.03,0.03,0.03,0.02
  -  ลัตเวีย,540.05,846.15,846.15,"1,555.29",-37.94,56.68,56.68,83.81,0.01,0.01,0.01,0.02
  -  มาดากัสการ์,"16,786.64","1,236.02","1,236.02","1,441.79",945.73,-92.64,-92.64,16.65,0.32,0.02,0.02,0.02
  -  เรอูนียง,"1,566.64","1,385.59","1,385.59","1,417.56",-15.69,-11.56,-11.56,2.31,0.03,0.02,0.02,0.02
  -  เบลารุส,305.78,267.68,267.68,"1,327.15",-47.10,-12.46,-12.46,395.79,0.01,0.00,0.00,0.02
  -  เอลซัลวาดอร์,502.74,"1,212.00","1,212.00","1,193.79",-67.16,141.08,141.08,-1.50,0.01,0.02,0.02,0.02
  -  ไซปรัส,"1,467.95","1,534.77","1,534.77","1,187.08",-30.72,4.55,4.55,-22.65,0.03,0.03,0.03,0.02
  -  บัลแกเรีย,626.33,692.13,692.13,"1,156.69",-45.75,10.50,10.50,67.12,0.01,0.01,0.01,0.02
  -  จิบูตี,"1,035.03",969.40,969.40,"1,140.48",-15.18,-6.34,-6.34,17.65,0.02,0.02,0.02,0.02
  -  โครเอเชีย,"1,231.06",968.61,968.61,"1,093.80",-25.62,-21.32,-21.32,12.92,0.02,0.02,0.02,0.02
  -  มอริเตเนีย,"1,792.26",876.74,876.74,"1,081.32",92.79,-51.08,-51.08,23.33,0.03,0.01,0.01,0.02
  -  ไลบีเรีย,595.42,"1,259.24","1,259.24","1,071.98",102.12,111.49,111.49,-14.87,0.01,0.02,0.02,0.02
  -  จาเมกา,793.38,987.42,987.42,"1,046.88",-31.77,24.46,24.46,6.02,0.02,0.02,0.02,0.02
  -  เปอร์โตริโก,800.38,921.31,921.31,"1,034.98",-17.99,15.11,15.11,12.34,0.02,0.02,0.02,0.02
  -  เอริเทรีย,1.40,8.01,8.01,961.56,-95.07,471.60,471.60,"11,906.44",0.00,0.00,0.00,0.01
  -  กินี,581.64,303.38,303.38,909.40,-43.82,-47.84,-47.84,199.76,0.01,0.00,0.00,0.01
  -  นิการากัว,605.42,981.56,981.56,905.94,-52.22,62.13,62.13,-7.70,0.01,0.02,0.02,0.01
  -  จอร์เจีย,687.35,735.96,735.96,898.17,-29.40,7.07,7.07,22.04,0.01,0.01,0.01,0.01
  -  ไนเจอร์,324.78,552.00,552.00,772.80,-12.49,69.96,69.96,40.00,0.01,0.01,0.01,0.01
  -  มอลตา,446.90,642.27,642.27,740.48,-25.49,43.72,43.72,15.29,0.01,0.01,0.01,0.01
  -  โบลิเวีย,240.66,459.52,459.52,728.78,-20.55,90.94,90.94,58.60,0.00,0.01,0.01,0.01
  -  เกาหลีเหนือ,"1,046.57",942.39,942.39,727.89,-31.33,-9.95,-9.95,-22.76,0.02,0.02,0.02,0.01
  -  เฟรนช์โปลีนีเซีย,880.88,802.95,802.95,722.52,0.68,-8.85,-8.85,-10.02,0.02,0.01,0.01,0.01
  -  บูร์กินา ฟาโซ,294.96,280.73,280.73,714.40,-12.71,-4.82,-4.82,154.48,0.01,0.00,0.00,0.01
  -  เฮติ,467.14,668.98,668.98,698.20,-8.39,43.21,43.21,4.37,0.01,0.01,0.01,0.01
  -  สวาซิแลนด์,136.29,577.74,577.74,657.12,-20.63,323.90,323.90,13.74,0.00,0.01,0.01,0.01
  -  ซิมบับเว,307.70,579.22,579.22,599.73,-58.20,88.24,88.24,3.54,0.01,0.01,0.01,0.01
  -  ภูฎาน,245.12,414.79,414.79,553.62,27.07,69.22,69.22,33.47,0.00,0.01,0.01,0.01
  -  มาเก๊า,512.05,699.71,699.71,535.69,-44.67,36.65,36.65,-23.44,0.01,0.01,0.01,0.01
  -  ยูกันดา,357.39,624.20,624.20,533.70,-24.58,74.65,74.65,-14.50,0.01,0.01,0.01,0.01
  -  แกมเบีย,778.07,592.15,592.15,532.85,-9.34,-23.89,-23.89,-10.01,0.01,0.01,0.01,0.01
  -  ซูรินาเม,534.81,530.97,530.97,513.17,-25.17,-0.72,-0.72,-3.35,0.01,0.01,0.01,0.01
  -  เซียร์ราลีโอน,484.02,295.13,295.13,507.24,-61.35,-39.02,-39.02,71.87,0.01,0.00,0.00,0.01
  -  ติมัวร์ตะวันออก,230.43,275.93,275.93,481.53,-20.53,19.75,19.75,74.51,0.00,0.00,0.00,0.01
  -  ฟรานซ์เมโทรโปลิแตน,1.97,43.81,43.81,431.91,-4.90,"2,127.66","2,127.66",885.94,0.00,0.00,0.00,0.01
  -  มายอต,515.63,468.66,468.66,396.74,2.83,-9.11,-9.11,-15.35,0.01,0.01,0.01,0.01
  -  มองโกเลีย,108.76,304.47,304.47,383.58,-31.59,179.95,179.95,25.98,0.00,0.00,0.00,0.01
  -  อาร์เมเนีย,75.73,497.64,497.64,375.08,-22.39,557.09,557.09,-24.63,0.00,0.01,0.01,0.01
  -  บอสเนียและเฮอร์เซโกวีนา,141.72,216.32,216.32,313.53,782.10,52.64,52.64,44.94,0.00,0.00,0.00,0.00
  -  โซโลมอน,202.61,220.34,220.34,311.81,12.02,8.75,8.75,41.52,0.00,0.00,0.00,0.00
  -  บาร์เบโดส,199.63,285.19,285.19,294.33,-52.86,42.86,42.86,3.20,0.00,0.00,0.00,0.00
  -  กวม,345.66,"1,324.35","1,324.35",293.47,10.85,283.14,283.14,-77.84,0.01,0.02,0.02,0.00
  -  เนเธอร์แลนด์แอนทิลลีส,246.79,388.12,388.12,292.49,-29.37,57.27,57.27,-24.64,0.00,0.01,0.01,0.00
  -  มาลี,245.02,84.47,84.47,281.85,134.57,-65.52,-65.52,233.65,0.00,0.00,0.00,0.00
  -  โซมาเลีย,563.74,147.41,147.41,276.35,26.40,-73.85,-73.85,87.47,0.01,0.00,0.00,0.00
  -  เซอร์เบีย,261.86,221.70,221.70,275.87,-1.80,-15.34,-15.34,24.44,0.01,0.00,0.00,0.00
  -  อุซเบกิสถาน,307.46,267.22,267.22,266.22,-0.56,-13.09,-13.09,-0.38,0.01,0.00,0.00,0.00
  -  เซอร์เบีย & มอนเตเนโกร,311.93,141.09,141.09,245.99,303.88,-54.77,-54.77,74.35,0.01,0.00,0.00,0.00
  -  นามิเบีย,142.09,178.58,178.58,237.92,-33.37,25.67,25.67,33.23,0.00,0.00,0.00,0.00
  -  แซมเบีย,162.88,289.82,289.82,234.57,-39.93,77.94,77.94,-19.06,0.00,0.00,0.00,0.00
  -  กายอานา,227.36,261.90,261.90,231.85,55.38,15.19,15.19,-11.47,0.00,0.00,0.00,0.00
  -  ซามัวตะวันตก,184.26,262.09,262.09,227.39,5.42,42.24,42.24,-13.24,0.00,0.00,0.00,0.00
  -  ยูเอส ไมเนอร์,2.50,34.25,34.25,225.72,164.56,"1,267.83","1,267.83",558.95,0.00,0.00,0.00,0.00
  -  เติร์กเมนิสถาน,119.93,103.35,103.35,210.60,30.61,-13.82,-13.82,103.78,0.00,0.00,0.00,0.00
  -  กวาเดอลูป,171.45,212.46,212.46,205.59,-4.44,23.91,23.91,-3.23,0.00,0.00,0.00,0.00
  -  มอนเตเนโกร,108.86,105.85,105.85,205.49,38.53,-2.76,-2.76,94.13,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคปเวิร์ด,161.61,232.46,232.46,203.25,-34.43,43.84,43.84,-12.56,0.00,0.00,0.00,0.00
  -  อาเซอร์ไบจาน,439.43,182.83,182.83,197.87,44.45,-58.39,-58.39,8.23,0.01,0.00,0.00,0.00
  -  วานูอาตู,201.58,204.92,204.92,195.12,-5.29,1.66,1.66,-4.78,0.00,0.00,0.00,0.00
  -  ไอซ์แลนด์,156.29,170.03,170.03,178.62,-50.87,8.79,8.79,5.05,0.00,0.00,0.00,0.00
  -  เซเชลส์,333.66,232.52,232.52,178.20,45.00,-30.31,-30.31,-23.36,0.01,0.00,0.00,0.00
  -  อิเควทอเรียลกินี,103.88,121.58,121.58,175.39,-36.15,17.04,17.04,44.26,0.00,0.00,0.00,0.00
  -  เซนต์ลูเซีย,102.68,151.20,151.20,157.30,-66.92,47.26,47.26,4.04,0.00,0.00,0.00,0.00
  -  ลักเซมเบิร์ก,293.86,491.71,491.71,154.03,5.95,67.33,67.33,-68.67,0.01,0.01,0.01,0.00
  -  แอลเบเนีย,351.85,117.59,117.59,152.93,222.02,-66.58,-66.58,30.05,0.01,0.00,0.00,0.00
  -  มาร์ตินีก,125.73,147.27,147.27,149.67,-36.51,17.14,17.14,1.63,0.00,0.00,0.00,0.00
  -  คิวบา,105.73,66.42,66.42,129.53,-63.20,-37.18,-37.18,95.03,0.00,0.00,0.00,0.00
  -  บอตสวานา,232.43,433.58,433.58,113.00,-43.16,86.54,86.54,-73.94,0.00,0.01,0.01,0.00
  -  คอโมรอส,120.58,124.34,124.34,112.46,404.90,3.12,3.12,-9.55,0.00,0.00,0.00,0.00
  -  ชาด,88.38,82.74,82.74,106.07,165.96,-6.38,-6.38,28.20,0.00,0.00,0.00,0.00
  -  กินี-บิสเซา,485.09,155.98,155.98,103.84,262.48,-67.84,-67.84,-33.43,0.01,0.00,0.00,0.00
  -  มาซิโดเนีย,123.00,89.29,89.29,103.54,-33.47,-27.41,-27.41,15.97,0.00,0.00,0.00,0.00
  -  มาลาวี,156.52,173.89,173.89,102.29,-2.04,11.09,11.09,-41.18,0.00,0.00,0.00,0.00
  -  โดมินิกา,32.83,381.25,381.25,101.30,-78.23,"1,061.13","1,061.13",-73.43,0.00,0.01,0.01,0.00
  -  ตองกา,70.62,85.92,85.92,92.55,89.63,21.65,21.65,7.73,0.00,0.00,0.00,0.00
  -  เบลิซ,69.22,59.97,59.97,87.84,-53.19,-13.36,-13.36,46.48,0.00,0.00,0.00,0.00
  -  รวันดา,43.48,49.78,49.78,86.38,132.18,14.50,14.50,73.51,0.00,0.00,0.00,0.00
  -  คิริบาส,37.23,50.54,50.54,81.78,-6.33,35.76,35.76,61.83,0.00,0.00,0.00,0.00
  -  ไมโครนีเซีย,62.02,70.19,70.19,75.25,7.09,13.16,13.16,7.22,0.00,0.00,0.00,0.00
  -  โมนาโก,67.97,58.25,58.25,71.81,-5.82,-14.30,-14.30,23.28,0.00,0.00,0.00,0.00
  -  อรูบา,69.98,97.57,97.57,70.98,-6.40,39.42,39.42,-27.26,0.00,0.00,0.00,0.00
  -  หมู่เกาะเวอร์จิน (อังกฤษ),16.67,31.69,31.69,66.39,-63.50,90.08,90.08,109.52,0.00,0.00,0.00,0.00
  -  บาฮามาส,76.44,63.01,63.01,60.59,-18.60,-17.57,-17.57,-3.85,0.00,0.00,0.00,0.00
  -  เบอร์มิวดา,60.54,74.59,74.59,53.57,24.01,23.20,23.20,-28.18,0.00,0.00,0.00,0.00
  -  เกรเนดา,40.35,36.08,36.08,49.44,-46.19,-10.58,-10.58,37.02,0.00,0.00,0.00,0.00
  -  ทาจิกิสถาน,22.51,45.44,45.44,47.25,-43.18,101.91,101.91,3.97,0.00,0.00,0.00,0.00
  -  เฟรนช์เกียนา,55.56,39.33,39.33,44.61,13.76,-29.22,-29.22,13.44,0.00,0.00,0.00,0.00
  -  เกาะมาเรียนาเหนือ,40.12,36.92,36.92,38.31,-21.78,-7.98,-7.98,3.78,0.00,0.00,0.00,0.00
  -  บุรุนดี,67.87,108.04,108.04,36.39,-27.49,59.18,59.18,-66.31,0.00,0.00,0.00,0.00
  -  มอลโดวา,14.84,12.63,12.63,31.39,4.53,-14.90,-14.90,148.60,0.00,0.00,0.00,0.00
  -  หมู่เกาะมาร์แชล,54.00,57.94,57.94,25.41,0.53,7.30,7.30,-56.15,0.00,0.00,0.00,0.00
