ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2551,2552,2552,2553,2551,2552,2552,2553,2551,2552,2552,2553
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"532,319.04","548,760.05","548,760.05","678,631.83",4.15,3.09,3.09,23.67,9.10,10.56,10.56,11.10
  -  ญี่ปุ่น,"661,565.54","535,880.34","535,880.34","641,910.14",5.84,-19.00,-19.00,19.79,11.31,10.32,10.32,10.50
  -  สหรัฐอเมริกา,"667,746.82","567,698.96","567,698.96","638,820.07",-0.26,-14.98,-14.98,12.53,11.41,10.93,10.93,10.45
  -  ฮ่องกง,"330,754.35","323,220.23","323,220.23","354,820.58",10.52,-2.28,-2.28,9.78,5.65,6.22,6.22,5.80
  -  มาเลเซีย,"325,280.10","260,837.29","260,837.29","334,598.81",20.66,-19.81,-19.81,28.28,5.56,5.02,5.02,5.47
  -  ออสเตรเลีย,"263,181.47","291,955.77","291,955.77","297,098.72",28.56,10.93,10.93,1.76,4.50,5.62,5.62,4.86
  -  สิงคโปร์,"332,443.81","257,967.52","257,967.52","284,693.62",0.52,-22.40,-22.40,10.36,5.68,4.97,4.97,4.66
  -  อินโดนีเซีย,"208,017.51","158,917.86","158,917.86","232,856.21",25.33,-23.60,-23.60,46.53,3.56,3.06,3.06,3.81
  -  เวียดนาม,"165,101.24","159,224.41","159,224.41","184,463.07",26.16,-3.56,-3.56,15.85,2.82,3.07,3.07,3.02
  -  ฟิลิปปินส์,"115,197.35","102,928.49","102,928.49","154,914.88",11.00,-10.65,-10.65,50.51,1.97,1.98,1.98,2.53
  -  อินเดีย,"110,193.95","109,863.06","109,863.06","139,178.33",20.13,-0.30,-0.30,26.68,1.88,2.11,2.11,2.28
  -  สวิตเซอร์แลนด์,"65,985.51","107,821.35","107,821.35","129,270.02",34.47,63.40,63.40,19.89,1.13,2.08,2.08,2.11
  -  สหราชอาณาจักร,"130,919.87","110,310.58","110,310.58","115,717.08",4.80,-15.74,-15.74,4.90,2.24,2.12,2.12,1.89
  -  เนเธอร์แลนด์,"137,359.52","106,523.41","106,523.41","115,282.89",3.23,-22.45,-22.45,8.22,2.35,2.05,2.05,1.89
  -  เกาหลีใต้,"121,102.51","96,110.38","96,110.38","114,267.82",17.77,-20.64,-20.64,18.89,2.07,1.85,1.85,1.87
  -  เยอรมนี,"105,250.04","89,503.94","89,503.94","104,373.69",4.54,-14.96,-14.96,16.61,1.80,1.72,1.72,1.71
  -  ไต้หวัน,"88,798.64","76,677.60","76,677.60","101,770.31",-22.92,-13.65,-13.65,32.72,1.52,1.48,1.48,1.66
  -  สหรัฐอาหรับเอมิเรตส์,"92,207.35","83,870.56","83,870.56","90,057.79",21.24,-9.04,-9.04,7.38,1.58,1.61,1.61,1.47
  -  กัมพูชา,"67,025.57","53,917.76","53,917.76","74,265.08",43.50,-19.56,-19.56,37.74,1.15,1.04,1.04,1.21
  -  ลาว,"58,392.22","56,045.36","56,045.36","67,606.02",29.23,-4.02,-4.02,20.63,1.00,1.08,1.08,1.11
  -  ซาอุดีอาระเบีย,"64,132.45","62,097.79","62,097.79","67,195.71",34.71,-3.17,-3.17,8.21,1.10,1.20,1.20,1.10
  -  เมียนม่า,"43,859.02","52,652.37","52,652.37","65,631.18",32.73,20.05,20.05,24.65,0.75,1.01,1.01,1.07
  -  ฝรั่งเศส,"62,117.28","52,739.34","52,739.34","55,695.19",7.44,-15.10,-15.10,5.60,1.06,1.02,1.02,0.91
  -  แอฟริกาใต้,"55,574.72","49,231.30","49,231.30","55,590.24",21.79,-11.41,-11.41,12.92,0.95,0.95,0.95,0.91
  -  อิตาลี,"65,058.59","44,857.55","44,857.55","54,090.56",1.10,-31.05,-31.05,20.58,1.11,0.86,0.86,0.88
  -  บราซิล,"40,530.85","33,974.15","33,974.15","50,935.71",25.68,-16.18,-16.18,49.92,0.69,0.65,0.65,0.83
  -  เบลเยียม,"55,813.32","45,974.05","45,974.05","47,806.29",-4.11,-17.63,-17.63,3.99,0.95,0.89,0.89,0.78
  -  แคนาดา,"47,110.49","42,735.02","42,735.02","45,141.72",-0.09,-9.29,-9.29,5.63,0.81,0.82,0.82,0.74
  -  สาธารณรัฐเช็ก,"19,937.55","29,182.13","29,182.13","36,064.09",9.85,46.37,46.37,23.58,0.34,0.56,0.56,0.59
  -  สเปน,"44,092.19","27,045.12","27,045.12","35,436.23",-3.35,-38.66,-38.66,31.03,0.75,0.52,0.52,0.58
  -  ตุรกี,"36,744.06","23,518.73","23,518.73","31,558.99",8.42,-35.99,-35.99,34.19,0.63,0.45,0.45,0.52
  -  เม็กซิโก,"29,145.63","24,791.56","24,791.56","30,568.88",-0.70,-14.94,-14.94,23.30,0.50,0.48,0.48,0.50
  -  ไนจีเรีย,"29,423.51","27,139.93","27,139.93","29,225.33",139.61,-7.76,-7.76,7.68,0.50,0.52,0.52,0.48
  -  บังกลาเทศ,"18,940.29","21,218.47","21,218.47","27,998.46",7.63,12.03,12.03,31.95,0.32,0.41,0.41,0.46
  -  ปากีสถาน,"21,197.12","23,276.54","23,276.54","26,508.44",-5.12,9.81,9.81,13.88,0.36,0.45,0.45,0.43
  -  นิวซีแลนด์,"24,388.65","18,447.58","18,447.58","25,296.47",10.71,-24.36,-24.36,37.13,0.42,0.36,0.36,0.41
  -  อียิปต์,"20,853.37","20,005.82","20,005.82","24,321.02",26.04,-4.06,-4.06,21.57,0.36,0.39,0.39,0.40
  -  รัสเซีย,"31,558.36","13,843.85","13,843.85","24,312.19",48.90,-56.13,-56.13,75.62,0.54,0.27,0.27,0.40
  -  เดนมาร์ก,"18,329.66","17,683.37","17,683.37","22,757.91",25.04,-3.53,-3.53,28.70,0.31,0.34,0.34,0.37
  -  อิสราเอล,"23,910.96","16,772.86","16,772.86","21,120.47",-2.79,-29.85,-29.85,25.92,0.41,0.32,0.32,0.35
  -  อาร์เจนตินา,"12,527.08","13,061.92","13,061.92","18,823.06",-4.74,4.27,4.27,44.11,0.21,0.25,0.25,0.31
  -  สวีเดน,"18,214.78","15,265.18","15,265.18","18,090.64",-3.76,-16.19,-16.19,18.51,0.31,0.29,0.29,0.30
  -  โอมาน,"18,281.45","14,440.34","14,440.34","17,567.97",83.58,-21.01,-21.01,21.66,0.31,0.28,0.28,0.29
  -  โปแลนด์,"16,320.09","15,410.21","15,410.21","16,951.72",11.39,-5.58,-5.58,10.00,0.28,0.30,0.30,0.28
  -  เขตต่อเนื่องราชอาณาจักร,"14,884.94","14,504.75","14,504.75","16,769.89",70.79,-2.55,-2.55,15.62,0.25,0.28,0.28,0.27
  -  ชิลี,"10,763.00","4,748.48","4,748.48","16,279.94",-9.65,-55.88,-55.88,242.84,0.18,0.09,0.09,0.27
  -  อิหร่าน,"19,496.51","28,987.53","28,987.53","16,138.91",-27.12,48.68,48.68,-44.32,0.33,0.56,0.56,0.26
  -  อิรัก,"14,062.21","9,829.30","9,829.30","14,216.40",102.39,-30.10,-30.10,44.63,0.24,0.19,0.19,0.23
  -  ศรีลังกา,"11,393.17","11,202.22","11,202.22","12,738.71",20.93,-1.68,-1.68,13.72,0.19,0.22,0.22,0.21
  -  โคลัมเบีย,"8,979.10","7,594.95","7,594.95","12,062.19",17.73,-15.42,-15.42,58.82,0.15,0.15,0.15,0.20
  -  ฮังการี,"12,866.78","10,466.26","10,466.26","11,886.81",-4.52,-18.66,-18.66,13.57,0.22,0.20,0.20,0.19
  -  โกตดิวัวร์,"9,384.23","11,152.50","11,152.50","11,598.85",65.30,18.84,18.84,4.00,0.16,0.21,0.21,0.19
  -  ฟินแลนด์,"16,965.46","9,336.50","9,336.50","11,384.49",-0.52,-44.97,-44.97,21.94,0.29,0.18,0.18,0.19
  -  เอกวาดอร์,"10,577.75","6,550.69","6,550.69","9,951.26",35.29,-38.07,-38.07,51.91,0.18,0.13,0.13,0.16
  -  เปรู,"8,537.34","3,260.32","3,260.32","9,783.09",113.80,-61.81,-61.81,200.07,0.15,0.06,0.06,0.16
  -  ซีเรีย,"5,486.99","6,253.83","6,253.83","9,111.07",31.21,13.98,13.98,45.69,0.09,0.12,0.12,0.15
  -  คูเวต,"10,543.52","11,713.17","11,713.17","9,059.14",32.37,11.09,11.09,-22.66,0.18,0.23,0.23,0.15
  -  กาตาร์,"10,089.66","11,818.45","11,818.45","8,419.82",34.84,17.13,17.13,-28.76,0.17,0.23,0.23,0.14
  -  ไอร์แลนด์,"17,718.58","9,921.96","9,921.96","8,315.95",-8.20,-44.00,-44.00,-16.19,0.30,0.19,0.19,0.14
  -  เบนิน,"13,767.86","12,114.86","12,114.86","8,251.43",42.51,-12.01,-12.01,-31.89,0.24,0.23,0.23,0.13
  -  ลิเบีย,"10,359.04","7,690.84","7,690.84","7,777.69",13.23,-25.76,-25.76,1.13,0.18,0.15,0.15,0.13
  -  เยเมน,"6,215.19","8,007.84","8,007.84","7,368.85",-12.94,28.84,28.84,-7.98,0.11,0.15,0.15,0.12
  -  ปานามา,"6,332.10","4,650.62","4,650.62","7,079.66",12.75,-26.55,-26.55,52.23,0.11,0.09,0.09,0.12
  -  แอลจีเรีย,"7,463.09","5,928.25","5,928.25","6,864.45",50.95,-20.57,-20.57,15.79,0.13,0.11,0.11,0.11
  -  กานา,"7,621.70","6,877.85","6,877.85","6,685.17",31.84,-9.76,-9.76,-2.80,0.13,0.13,0.13,0.11
  -  ออสเตรีย,"10,057.13","6,019.25","6,019.25","6,444.01",-17.42,-40.15,-40.15,7.06,0.17,0.12,0.12,0.11
  -  กรีซ,"11,334.51","7,394.96","7,394.96","6,440.23",-0.52,-34.76,-34.76,-12.91,0.19,0.14,0.14,0.11
  -  นอร์เวย์,"6,297.95","4,039.53","4,039.53","5,579.18",8.98,-35.86,-35.86,38.11,0.11,0.08,0.08,0.09
  -  สโลวัก,"4,948.97","5,049.37","5,049.37","5,477.17",19.56,2.03,2.03,8.47,0.08,0.10,0.10,0.09
  -  โมร็อกโก,"5,292.17","4,882.59","4,882.59","5,416.84",51.53,-7.74,-7.74,10.94,0.09,0.09,0.09,0.09
  -  โปรตุเกส,"6,427.88","4,592.61","4,592.61","5,346.40",14.98,-28.55,-28.55,16.41,0.11,0.09,0.09,0.09
  -  เซเนกัล,"8,767.98","7,279.40","7,279.40","5,237.62",7.84,-16.98,-16.98,-28.05,0.15,0.14,0.14,0.09
  -  ซูดาน,"3,589.21","2,469.03","2,469.03","4,789.04",19.38,-31.21,-31.21,93.96,0.06,0.05,0.05,0.08
  -  ตูนีเซีย,"3,258.45","3,533.33","3,533.33","4,738.80",31.59,8.44,8.44,34.12,0.06,0.07,0.07,0.08
  -  อัฟกานิสถาน,"4,108.29","4,853.05","4,853.05","4,637.44",-20.98,18.13,18.13,-4.44,0.07,0.09,0.09,0.08
  -  เลบานอน,"4,223.26","4,877.83","4,877.83","4,631.95",8.76,15.50,15.50,-5.04,0.07,0.09,0.09,0.08
  -  อังโกลา,"6,487.86","4,776.99","4,776.99","4,495.29",43.70,-26.37,-26.37,-5.90,0.11,0.09,0.09,0.07
  -  ปาปัวนิวกินี,"3,139.71","3,000.13","3,000.13","4,425.03",45.99,-4.45,-4.45,47.49,0.05,0.06,0.06,0.07
  -  บาห์เรน,"4,708.83","4,679.97","4,679.97","4,124.88",40.38,-0.61,-0.61,-11.86,0.08,0.09,0.09,0.07
  -  เคนยา,"4,303.86","4,185.73","4,185.73","4,103.40",18.37,-2.74,-2.74,-1.97,0.07,0.08,0.08,0.07
  -  บรูไน,"4,074.40","4,001.45","4,001.45","4,076.56",26.90,-1.79,-1.79,1.88,0.07,0.08,0.08,0.07
  -  มอริเชียส,"3,041.05","2,832.13","2,832.13","3,928.00",35.70,-6.87,-6.87,38.69,0.05,0.05,0.05,0.06
  -  จอร์แดน,"8,482.25","7,400.29","7,400.29","3,891.80",39.53,-12.76,-12.76,-47.41,0.14,0.14,0.14,0.06
  -  แคเมอรูน,"2,841.13","3,417.94","3,417.94","3,781.14",63.19,20.30,20.30,10.63,0.05,0.07,0.07,0.06
  -  ลิกเตนสไตน์,480.79,"3,959.37","3,959.37","3,778.99","1,962.38",723.51,723.51,-4.56,0.01,0.08,0.08,0.06
  -  โรมาเนีย,"3,806.00","2,447.31","2,447.31","3,566.84",6.32,-35.70,-35.70,45.75,0.07,0.05,0.05,0.06
  -  เวเนซุเอลา,"5,680.29","2,112.78","2,112.78","3,544.70",41.13,-62.81,-62.81,67.77,0.10,0.04,0.04,0.06
  -  โมซัมบิก,"3,243.31","6,053.76","6,053.76","3,484.72",46.70,86.65,86.65,-42.44,0.06,0.12,0.12,0.06
