ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2562,2563,2563,2564,2562,2563,2563,2564,2562,2563,2563,2564
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  โปแลนด์,"14,567.86","13,694.44","13,694.44","17,480.20",-3.24,-6.00,-6.00,27.64,0.19,0.19,0.19,0.20
  -  โอมาน,"16,543.56","11,293.13","11,293.13","16,112.78",-8.43,-31.74,-31.74,42.68,0.22,0.16,0.16,0.19
  -  ฮังการี,"14,474.34","17,080.89","17,080.89","15,857.48",1.16,18.01,18.01,-7.16,0.19,0.24,0.24,0.19
  -  สวีเดน,"13,555.32","10,775.06","10,775.06","14,458.16",-12.88,-20.51,-20.51,34.18,0.18,0.15,0.15,0.17
  -  ไอร์แลนด์,"9,254.96","14,794.94","14,794.94","12,444.77",-27.38,59.86,59.86,-15.88,0.12,0.21,0.21,0.15
  -  เดนมาร์ก,"12,575.41","11,082.18","11,082.18","12,396.76",0.17,-11.87,-11.87,11.86,0.16,0.15,0.15,0.15
  -  ศรีลังกา,"11,628.27","9,340.96","9,340.96","11,346.32",-18.04,-19.67,-19.67,21.47,0.15,0.13,0.13,0.13
  -  เปรู,"9,544.90","8,074.58","8,074.58","10,841.79",-5.37,-15.40,-15.40,34.27,0.13,0.11,0.11,0.13
  -  คูเวต,"10,119.12","8,320.68","8,320.68","9,524.86",-4.41,-17.77,-17.77,14.47,0.13,0.12,0.12,0.11
  -  กาตาร์,"11,662.61","10,007.16","10,007.16","9,521.55",-3.74,-14.19,-14.19,-4.85,0.15,0.14,0.14,0.11
  -  โคลัมเบีย,"6,246.14","5,664.19","5,664.19","9,186.55",-11.81,-9.32,-9.32,62.19,0.08,0.08,0.08,0.11
  -  เขตต่อเนื่องราชอาณาจักร,"10,263.71","9,201.06","9,201.06","9,150.51",-7.07,-10.35,-10.35,-0.55,0.13,0.13,0.13,0.11
  -  อิรัก,"8,734.23","6,676.03","6,676.03","9,024.71",49.22,-23.56,-23.56,35.18,0.11,0.09,0.09,0.11
  -  ไนจีเรีย,"6,511.53","5,549.47","5,549.47","8,721.07",1.50,-14.77,-14.77,57.15,0.09,0.08,0.08,0.10
  -  เยเมน,"6,710.19","7,007.20","7,007.20","8,620.50",24.69,4.43,4.43,23.02,0.09,0.10,0.10,0.10
  -  ออสเตรีย,"8,307.96","7,060.72","7,060.72","8,440.03",-0.88,-15.01,-15.01,19.53,0.11,0.10,0.10,0.10
  -  ฟินแลนด์,"6,047.48","5,126.08","5,126.08","7,966.53",-7.56,-15.24,-15.24,55.41,0.08,0.07,0.07,0.09
  -  โปรตุเกส,"7,184.79","4,941.16","4,941.16","7,411.77",32.62,-31.23,-31.23,50.00,0.09,0.07,0.07,0.09
  -  เอกวาดอร์,"7,605.04","4,080.15","4,080.15","7,278.48",-13.78,-46.35,-46.35,78.39,0.10,0.06,0.06,0.09
  -  โรมาเนีย,"5,588.12","4,847.36","4,847.36","7,023.80",-6.88,-13.26,-13.26,44.90,0.07,0.07,0.07,0.08
  -  นอร์เวย์,"6,444.03","5,817.06","5,817.06","6,562.73",-0.78,-9.73,-9.73,12.82,0.08,0.08,0.08,0.08
  -  เคนยา,"6,921.63","4,136.17","4,136.17","6,540.43",-11.39,-40.24,-40.24,58.13,0.09,0.06,0.06,0.08
  -  ลิเบีย,"6,705.08","5,905.40","5,905.40","6,021.70",55.44,-11.93,-11.93,1.97,0.09,0.08,0.08,0.07
  -  โมซัมบิก,"4,617.67","4,326.30","4,326.30","5,726.48",-23.76,-6.31,-6.31,32.36,0.06,0.06,0.06,0.07
  -  จอร์แดน,"4,726.93","3,702.01","3,702.01","5,595.57",-3.00,-21.68,-21.68,51.15,0.06,0.05,0.05,0.07
  -  เบนิน,"13,518.90","7,229.88","7,229.88","5,344.02",-38.33,-46.52,-46.52,-26.08,0.18,0.10,0.10,0.06
  -  อังโกลา,"5,549.55","5,605.74","5,605.74","4,763.58",-18.52,1.01,1.01,-15.02,0.07,0.08,0.08,0.06
  -  สโลวัก,"4,272.96","3,588.47","3,588.47","4,756.25",-20.35,-16.02,-16.02,32.54,0.06,0.05,0.05,0.06
  -  กานา,"3,883.47","3,544.99","3,544.99","4,635.48",-43.69,-8.72,-8.72,30.76,0.05,0.05,0.05,0.05
  -  โกตดิวัวร์,"3,728.40","3,196.40","3,196.40","4,635.28",-46.76,-14.27,-14.27,45.02,0.05,0.04,0.04,0.05
  -  กรีซ,"4,454.62","3,953.22","3,953.22","4,596.97",4.97,-11.26,-11.26,16.28,0.06,0.06,0.06,0.05
  -  อิหร่าน,"5,028.03","4,144.74","4,144.74","4,425.77",-37.20,-17.57,-17.57,6.78,0.07,0.06,0.06,0.05
  -  ปาปัวนิวกินี,"4,745.89","3,962.19","3,962.19","4,347.92",-13.15,-16.51,-16.51,9.74,0.06,0.06,0.06,0.05
  -  ยูเครน,"3,217.25","3,078.54","3,078.54","4,228.78",0.21,-4.31,-4.31,37.36,0.04,0.04,0.04,0.05
