ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
  -  อิสราเอล,"22,515.37","20,695.81","20,695.81","24,457.42",1.42,-8.08,-8.08,18.18,0.32,0.30,0.30,0.33
  -  อาร์เจนตินา,"29,305.74","31,692.97","31,692.97","22,525.42",35.63,8.15,8.15,-28.93,0.41,0.46,0.46,0.31
  -  โอมาน,"22,411.47","22,572.97","22,572.97","21,123.90",28.33,0.72,0.72,-6.42,0.32,0.33,0.33,0.29
  -  ชิลี,"19,417.56","18,742.21","18,742.21","20,675.06",24.73,-3.48,-3.48,10.31,0.27,0.27,0.27,0.28
  -  สวีเดน,"17,796.08","16,002.87","16,002.87","17,634.34",-8.49,-10.08,-10.08,10.19,0.25,0.23,0.23,0.24
  -  เบนิน,"6,587.40","15,103.15","15,103.15","16,314.58",65.43,129.27,129.27,8.02,0.09,0.22,0.22,0.22
  -  ฮังการี,"11,784.93","13,290.24","13,290.24","15,849.98",9.41,12.77,12.77,19.26,0.17,0.19,0.19,0.22
  -  เขตต่อเนื่องราชอาณาจักร,"18,665.31","20,504.71","20,504.71","15,513.79",11.62,9.85,9.85,-24.34,0.26,0.30,0.30,0.21
  -  เปรู,"11,636.20","14,818.05","14,818.05","15,028.50",26.50,27.34,27.34,1.42,0.16,0.21,0.21,0.21
  -  คูเวต,"12,812.25","12,660.87","12,660.87","14,750.88",24.27,-1.18,-1.18,16.51,0.18,0.18,0.18,0.20
  -  ศรีลังกา,"14,018.98","12,800.58","12,800.58","14,538.15",-4.54,-8.69,-8.69,13.57,0.20,0.19,0.19,0.20
  -  ไอร์แลนด์,"10,599.66","12,851.26","12,851.26","14,285.53",18.81,21.24,21.24,11.16,0.15,0.19,0.19,0.20
  -  โปแลนด์,"16,256.21","17,963.37","17,963.37","14,161.11",-17.13,10.50,10.50,-21.17,0.23,0.26,0.26,0.19
  -  เดนมาร์ก,"14,070.71","12,776.49","12,776.49","14,098.81",-38.12,-9.20,-9.20,10.35,0.20,0.18,0.18,0.19
  -  กาตาร์,"10,890.45","11,426.10","11,426.10","14,077.61",26.06,4.92,4.92,23.21,0.15,0.17,0.17,0.19
  -  นอร์เวย์,"14,651.90","5,846.09","5,846.09","12,397.57",163.74,-60.10,-60.10,112.07,0.21,0.08,0.08,0.17
  -  เอกวาดอร์,"10,789.96","8,401.49","8,401.49","11,374.49",33.99,-22.14,-22.14,35.39,0.15,0.12,0.12,0.16
  -  โกตดิวัวร์,"8,914.01","7,859.98","7,859.98","10,960.16",-20.16,-11.82,-11.82,39.44,0.13,0.11,0.11,0.15
  -  อิรัก,"28,529.86","22,266.08","22,266.08","10,865.82",40.04,-21.96,-21.96,-51.20,0.40,0.32,0.32,0.15
  -  อิหร่าน,"16,107.38","10,060.69","10,060.69","10,357.00",-44.64,-37.54,-37.54,2.95,0.23,0.15,0.15,0.14
  -  ฟินแลนด์,"12,288.44","10,007.24","10,007.24","10,115.94",-1.82,-18.56,-18.56,1.09,0.17,0.14,0.14,0.14
  -  กานา,"11,026.00","9,162.14","9,162.14","9,382.99",-3.00,-16.90,-16.90,2.41,0.16,0.13,0.13,0.13
  -  จอร์แดน,"7,763.77","7,957.13","7,957.13","9,345.73",47.45,2.49,2.49,17.45,0.11,0.12,0.12,0.13
  -  อังโกลา,"6,287.14","6,981.38","6,981.38","9,073.19",16.00,11.04,11.04,29.96,0.09,0.10,0.10,0.12
  -  เยเมน,"8,003.97","8,363.64","8,363.64","8,700.80",42.28,4.49,4.49,4.03,0.11,0.12,0.12,0.12
  -  ปานามา,"7,393.32","7,219.16","7,219.16","8,516.51",17.51,-2.36,-2.36,17.97,0.10,0.10,0.10,0.12
  -  แอลจีเรีย,"7,482.53","9,849.88","9,849.88","8,303.85",-0.03,31.64,31.64,-15.70,0.11,0.14,0.14,0.11
  -  โคลัมเบีย,"9,409.22","7,560.74","7,560.74","8,001.49",-14.65,-19.65,-19.65,5.83,0.13,0.11,0.11,0.11
  -  บาห์เรน,"5,040.05","6,667.30","6,667.30","7,731.73",18.74,32.29,32.29,15.96,0.07,0.10,0.10,0.11
  -  ลิเบีย,"10,814.02","12,331.23","12,331.23","7,321.53",259.72,14.03,14.03,-40.63,0.15,0.18,0.18,0.10
  -  แคเมอรูน,"5,312.21","4,852.87","4,852.87","7,274.10",29.14,-8.65,-8.65,49.89,0.08,0.07,0.07,0.10
  -  ออสเตรีย,"7,067.45","6,731.95","6,731.95","7,195.99",9.69,-4.75,-4.75,6.89,0.10,0.10,0.10,0.10
  -  เลบานอน,"6,064.38","6,522.74","6,522.74","6,773.34",28.80,7.56,7.56,3.84,0.09,0.09,0.09,0.09
  -  เคนยา,"5,750.98","6,308.70","6,308.70","6,422.52",0.12,9.70,9.70,1.80,0.08,0.09,0.09,0.09
  -  โมซัมบิก,"5,043.42","4,530.02","4,530.02","6,404.26",5.30,-10.18,-10.18,41.37,0.07,0.07,0.07,0.09
  -  โตโก,"3,519.09","3,505.28","3,505.28","5,603.86",-25.42,-0.39,-0.39,59.87,0.05,0.05,0.05,0.08
  -  เซเนกัล,"3,232.62","4,611.20","4,611.20","5,364.89",-40.34,42.65,42.65,16.34,0.05,0.07,0.07,0.07
  -  สโลวัก,"4,323.59","4,982.25","4,982.25","5,313.46",15.95,15.23,15.23,6.65,0.06,0.07,0.07,0.07
  -  ซูดาน,"2,145.71","5,305.97","5,305.97","5,153.70",-36.41,147.28,147.28,-2.87,0.03,0.08,0.08,0.07
  -  ลิกเตนสไตน์,"5,005.60","3,745.32","3,745.32","5,153.31",2.52,-25.18,-25.18,37.59,0.07,0.05,0.05,0.07
  -  โปรตุเกส,"3,512.88","4,381.37","4,381.37","4,803.54",-31.73,24.72,24.72,9.64,0.05,0.06,0.06,0.07
  -  แทนซาเนีย,"3,100.87","3,910.60","3,910.60","4,639.81",7.22,26.11,26.11,18.65,0.04,0.06,0.06,0.06
  -  บรูไน,"5,894.85","5,019.80","5,019.80","4,585.18",42.57,-14.84,-14.84,-8.66,0.08,0.07,0.07,0.06
  -  กัวเตมาลา,"3,811.39","3,778.28","3,778.28","4,410.95",39.32,-0.87,-0.87,16.74,0.05,0.05,0.05,0.06
  -  ตูนีเซีย,"4,194.22","3,579.34","3,579.34","4,343.64",-44.15,-14.66,-14.66,21.35,0.06,0.05,0.05,0.06
  -  ตรินิแดดและโตเบโก,"2,982.22","3,741.23","3,741.23","4,312.44",22.71,25.45,25.45,15.27,0.04,0.05,0.05,0.06
  -  โรมาเนีย,"3,555.18","4,022.34","4,022.34","4,311.46",-30.43,13.14,13.14,7.19,0.05,0.06,0.06,0.06
  -  กรีซ,"3,841.04","3,838.49","3,838.49","4,223.06",-20.63,-0.07,-0.07,10.02,0.05,0.06,0.06,0.06
  -  ปาปัวนิวกินี,"8,032.74","5,428.14","5,428.14","4,107.55",30.49,-32.42,-32.42,-24.33,0.11,0.08,0.08,0.06
  -  คอสตาริกา,"4,142.37","3,888.32","3,888.32","4,007.36",76.09,-6.13,-6.13,3.06,0.06,0.06,0.06,0.05
  -  โมร็อกโก,"4,709.26","4,497.06","4,497.06","3,579.53",-5.96,-4.51,-4.51,-20.40,0.07,0.07,0.07,0.05
  -  เกาหลีเหนือ,"1,234.48","3,013.78","3,013.78","3,450.55",69.60,144.13,144.13,14.49,0.02,0.04,0.04,0.05
  -  นอกเขตต่อเนื่องราชอาณาจักร,,378.36,378.36,"3,289.71",,,,769.47,,0.01,0.01,0.04
  -  สาธารณรัฐโดมินิกัน,"2,922.77","2,110.24","2,110.24","3,107.02",-48.88,-27.80,-27.80,47.24,0.04,0.03,0.03,0.04
  -  มอริเชียส,"2,752.98","2,807.33","2,807.33","3,066.67",-4.91,1.97,1.97,9.24,0.04,0.04,0.04,0.04
  -  มัลดีฟส์,"2,251.75","2,428.33","2,428.33","2,744.46",9.28,7.84,7.84,13.02,0.03,0.04,0.04,0.04
  -  เอสโตเนีย,"2,272.13","2,278.65","2,278.65","2,624.82",-13.56,0.29,0.29,15.19,0.03,0.03,0.03,0.04
  -  ยูเครน,"4,040.63","3,786.57","3,786.57","2,603.94",-23.62,-6.29,-6.29,-31.23,0.06,0.05,0.05,0.04
  -  คองโก,"2,961.63","3,446.08","3,446.08","2,588.46",-14.07,16.36,16.36,-24.89,0.04,0.05,0.05,0.04
  -  ซีเรีย,"4,801.43","1,774.11","1,774.11","2,541.95",-27.40,-63.05,-63.05,43.28,0.07,0.03,0.03,0.03
  -  ฮอนดูรัส,"3,200.19","2,545.61","2,545.61","2,462.62",74.40,-20.45,-20.45,-3.26,0.05,0.04,0.04,0.03
  -  เปอร์โตริโก,944.76,"1,719.12","1,719.12","2,448.54",-8.72,81.96,81.96,42.43,0.01,0.02,0.02,0.03
  -  นิการากัว,"1,859.45","2,055.86","2,055.86","2,334.11",105.25,10.56,10.56,13.53,0.03,0.03,0.03,0.03
  -  โบลิเวีย,"1,029.90","1,646.84","1,646.84","2,312.75",41.32,59.90,59.90,40.44,0.01,0.02,0.02,0.03
  -  เวเนซุเอลา,"5,991.86","4,511.11","4,511.11","2,108.17",23.77,-24.71,-24.71,-53.27,0.08,0.07,0.07,0.03
  -  กินี,622.64,464.20,464.20,"2,045.24",-31.53,-25.45,-25.45,340.59,0.01,0.01,0.01,0.03
  -  ประเทศอื่น,"2,817.03","1,258.38","1,258.38","2,026.95",62.94,-55.33,-55.33,61.08,0.04,0.02,0.02,0.03
  -  สโลวีเนีย,"1,134.51","1,281.72","1,281.72","1,914.50",-50.97,12.98,12.98,49.37,0.02,0.02,0.02,0.03
  -  มาดากัสการ์,"1,722.81","1,517.25","1,517.25","1,888.29",19.49,-11.93,-11.93,24.45,0.02,0.02,0.02,0.03
  -  คาซัคสถาน,"1,573.21","1,786.66","1,786.66","1,874.85",-13.55,13.57,13.57,4.94,0.02,0.03,0.03,0.03
  -  เนปาล,"1,956.70","1,682.30","1,682.30","1,862.42",0.84,-14.02,-14.02,10.71,0.03,0.02,0.02,0.03
  -  ฟิจิ,"1,690.58","2,041.09","2,041.09","1,851.62",-5.33,20.73,20.73,-9.28,0.02,0.03,0.03,0.03
  -  เอธิโอเปีย,"1,989.06","1,730.23","1,730.23","1,843.09",-8.68,-13.01,-13.01,6.52,0.03,0.03,0.03,0.03
  -  จิบูตี,834.80,"2,082.72","2,082.72","1,819.07",-26.80,149.49,149.49,-12.66,0.01,0.03,0.03,0.02
  -  นิวแคลีโดเนีย,"1,943.85","2,082.53","2,082.53","1,816.62",19.49,7.13,7.13,-12.77,0.03,0.03,0.03,0.02
  -  ลิทัวเนีย,"3,116.44","1,208.65","1,208.65","1,752.08",83.05,-61.22,-61.22,44.96,0.04,0.02,0.02,0.02
  -  อุรุกวัย,"2,889.08","1,709.95","1,709.95","1,672.85",21.13,-40.81,-40.81,-2.17,0.04,0.02,0.02,0.02
  -  เอลซัลวาดอร์,"1,562.55","1,866.56","1,866.56","1,657.96",30.89,19.46,19.46,-11.18,0.02,0.03,0.03,0.02
  -  อัฟกานิสถาน,"4,432.78","5,478.09","5,478.09","1,513.19",-23.40,23.58,23.58,-72.38,0.06,0.08,0.08,0.02
  -  กาบอง,"1,187.56","1,633.44","1,633.44","1,398.49",-32.31,37.55,37.55,-14.38,0.02,0.02,0.02,0.02
  -  ติมัวร์เลสเต้,,144.69,144.69,"1,305.29",,,,802.15,,0.00,0.00,0.02
  -  จาเมกา,"1,270.51","1,184.56","1,184.56","1,241.45",21.36,-6.77,-6.77,4.80,0.02,0.02,0.02,0.02
  -  ไนเจอร์,"1,244.38","1,648.98","1,648.98","1,205.83",61.02,32.51,32.51,-26.87,0.02,0.02,0.02,0.02
  -  ลัตเวีย,"1,144.02",944.64,944.64,"1,199.10",-26.44,-17.43,-17.43,26.94,0.02,0.01,0.01,0.02
  -  จอร์เจีย,"1,131.54","1,214.45","1,214.45","1,146.13",25.98,7.33,7.33,-5.63,0.02,0.02,0.02,0.02
  -  บัลแกเรีย,"1,055.29",908.42,908.42,"1,129.10",-8.77,-13.92,-13.92,24.29,0.01,0.01,0.01,0.02
  -  มอริเตเนีย,"1,023.39",998.33,998.33,"1,095.46",-5.36,-2.45,-2.45,9.73,0.01,0.01,0.01,0.01
  -  ปารากวัย,"2,027.97","2,067.26","2,067.26","1,083.13",13.49,1.94,1.94,-47.61,0.03,0.03,0.03,0.01
  -  แกมเบีย,561.19,701.56,701.56,"1,018.58",5.32,25.01,25.01,45.19,0.01,0.01,0.01,0.01
  -  โครเอเชีย,"1,133.05",973.40,973.40,"1,003.59",3.59,-14.09,-14.09,3.10,0.02,0.01,0.01,0.01
  -  ไซปรัส,"1,022.90",840.34,840.34,884.70,-13.83,-17.85,-17.85,5.28,0.01,0.01,0.01,0.01
  -  ติมัวร์ตะวันออก,492.04,243.99,243.99,815.50,2.18,-50.41,-50.41,234.24,0.01,0.00,0.00,0.01
  -  อาร์เมเนีย,329.16,154.29,154.29,814.95,-12.24,-53.13,-53.13,428.20,0.00,0.00,0.00,0.01
  -  เรอูนียง,"1,321.92","1,021.09","1,021.09",774.91,-6.75,-22.76,-22.76,-24.11,0.02,0.01,0.01,0.01
  -  อาเซอร์ไบจาน,365.60,383.57,383.57,771.59,84.76,4.92,4.92,101.16,0.01,0.01,0.01,0.01
  -  โซมาเลีย,294.93,738.47,738.47,753.42,6.72,150.39,150.39,2.03,0.00,0.01,0.01,0.01
  -  ยูกันดา,449.89,530.03,530.03,740.52,-15.70,17.81,17.81,39.71,0.01,0.01,0.01,0.01
  -  เซียร์ราลีโอน,331.37,335.88,335.88,724.56,-34.67,1.36,1.36,115.72,0.00,0.00,0.00,0.01
  -  เฟรนช์โปลีนีเซีย,745.23,734.20,734.20,718.77,3.14,-1.48,-1.48,-2.10,0.01,0.01,0.01,0.01
  -  ซูรินาเม,769.54,748.02,748.02,698.72,49.96,-2.80,-2.80,-6.59,0.01,0.01,0.01,0.01
  -  มาเก๊า,510.05,701.77,701.77,681.89,-4.79,37.59,37.59,-2.83,0.01,0.01,0.01,0.01
  -  มอลตา,791.29,584.25,584.25,621.53,6.86,-26.16,-26.16,6.38,0.01,0.01,0.01,0.01
  -  เฮติ,405.76,391.86,391.86,585.04,-41.88,-3.43,-3.43,49.30,0.01,0.01,0.01,0.01
  -  เบลารุส,"1,719.67",886.55,886.55,582.25,29.58,-48.45,-48.45,-34.32,0.02,0.01,0.01,0.01
  -  แซมเบีย,351.84,325.31,325.31,512.62,50.00,-7.54,-7.54,57.58,0.00,0.00,0.00,0.01
  -  มายอต,336.75,443.49,443.49,496.80,-15.12,31.70,31.70,12.02,0.00,0.01,0.01,0.01
  -  อุซเบกิสถาน,241.93,614.59,614.59,457.31,-9.12,154.04,154.04,-25.59,0.00,0.01,0.01,0.01
  -  เอริเทรีย,387.23,245.87,245.87,428.82,-59.73,-36.50,-36.50,74.40,0.01,0.00,0.00,0.01
  -  บาร์เบโดส,317.97,310.92,310.92,423.93,8.03,-2.22,-2.22,36.35,0.00,0.00,0.00,0.01
  -  มองโกเลีย,408.34,458.78,458.78,408.24,6.46,12.35,12.35,-11.02,0.01,0.01,0.01,0.01
  -  สวาซิแลนด์,70.29,402.14,402.14,391.04,-89.30,472.15,472.15,-2.76,0.00,0.01,0.01,0.01
  -  เซเชลส์,301.68,246.34,246.34,368.05,69.29,-18.34,-18.34,49.41,0.00,0.00,0.00,0.01
  -  ฟรานซ์เมโทรโปลิแตน,350.57,380.25,380.25,363.07,-18.83,8.46,8.46,-4.52,0.00,0.01,0.01,0.00
  -  วานูอาตู,358.06,332.09,332.09,330.05,83.50,-7.25,-7.25,-0.61,0.01,0.00,0.00,0.00
  -  ซามัวตะวันตก,364.10,363.27,363.27,321.92,60.12,-0.23,-0.23,-11.38,0.01,0.01,0.01,0.00
  -  โซโลมอน,367.18,350.09,350.09,304.00,17.76,-4.65,-4.65,-13.16,0.01,0.01,0.01,0.00
  -  อิเควทอเรียลกินี,138.95,187.18,187.18,301.36,-20.78,34.72,34.72,61.00,0.00,0.00,0.00,0.00
  -  กวม,"1,334.54",321.63,321.63,301.13,354.74,-75.90,-75.90,-6.37,0.02,0.00,0.00,0.00
  -  รวันดา,103.78,118.95,118.95,281.21,20.15,14.62,14.62,136.41,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคปเวิร์ด,226.51,343.16,343.16,273.67,11.44,51.50,51.50,-20.25,0.00,0.00,0.00,0.00
  -  แอลเบเนีย,147.73,320.81,320.81,271.47,-3.40,117.16,117.16,-15.38,0.00,0.00,0.00,0.00
  -  เซอร์เบีย,239.10,217.06,217.06,264.20,-13.33,-9.22,-9.22,21.72,0.00,0.00,0.00,0.00
  -  บูร์กินา ฟาโซ,406.41,563.59,563.59,262.43,-43.11,38.68,38.68,-53.44,0.01,0.01,0.01,0.00
  -  เนเธอร์แลนด์แอนทิลลีส,283.94,225.38,225.38,259.79,-2.92,-20.62,-20.62,15.27,0.00,0.00,0.00,0.00
  -  เติร์กเมนิสถาน,251.03,224.35,224.35,252.38,19.20,-10.63,-10.63,12.49,0.00,0.00,0.00,0.00
"  -  CONGO, THE DEMOCRATIC REPUBLIC",,83.56,83.56,250.85,,,,200.21,,0.00,0.00,0.00
  -  ซิมบับเว,374.78,158.18,158.18,238.53,-37.51,-57.80,-57.80,50.80,0.01,0.00,0.00,0.00
  -  ลักเซมเบิร์ก,244.87,195.53,195.53,237.90,58.98,-20.15,-20.15,21.67,0.00,0.00,0.00,0.00
  -  นามิเบีย,215.96,332.43,332.43,215.51,-9.23,53.93,53.93,-35.17,0.00,0.00,0.00,0.00
  -  ไอซ์แลนด์,218.43,193.60,193.60,211.50,22.29,-11.37,-11.37,9.25,0.00,0.00,0.00,0.00
  -  บอสเนียและเฮอร์เซโกวีนา,125.68,112.72,112.72,205.70,-59.91,-10.31,-10.31,82.49,0.00,0.00,0.00,0.00
  -  ไลบีเรีย,392.46,264.85,264.85,204.81,-63.39,-32.52,-32.52,-22.67,0.01,0.00,0.00,0.00
  -  กายอานา,271.59,278.26,278.26,200.95,17.14,2.46,2.46,-27.78,0.00,0.00,0.00,0.00
  -  มาลาวี,71.60,88.40,88.40,176.92,-30.01,23.48,23.48,100.13,0.00,0.00,0.00,0.00
  -  ปาเลสไตน์,1.29,62.20,62.20,172.07,,"4,705.12","4,705.12",176.63,0.00,0.00,0.00,0.00
  -  กวาเดอลูป,189.50,115.03,115.03,158.23,-7.82,-39.30,-39.30,37.56,0.00,0.00,0.00,0.00
  -  คิวบา,53.31,68.36,68.36,158.04,-58.84,28.24,28.24,131.18,0.00,0.00,0.00,0.00
  -  อรูบา,111.48,117.40,117.40,154.94,57.07,5.31,5.31,31.97,0.00,0.00,0.00,0.00
  -  หมู่เกาะเวอร์จิน (อังกฤษ),145.59,109.39,109.39,152.60,119.30,-24.86,-24.86,39.50,0.00,0.00,0.00,0.00
  -  มาซิโดเนีย,123.75,113.05,113.05,152.54,19.51,-8.65,-8.65,34.93,0.00,0.00,0.00,0.00
  -  บาฮามาส,138.47,148.24,148.24,145.76,128.54,7.05,7.05,-1.67,0.00,0.00,0.00,0.00
  -  มาร์ตินีก,176.45,137.58,137.58,144.75,17.90,-22.03,-22.03,5.21,0.00,0.00,0.00,0.00
  -  เซนต์ลูเซีย,160.27,132.47,132.47,133.09,1.89,-17.35,-17.35,0.47,0.00,0.00,0.00,0.00
  -  แอนติกัวและบาร์บูดา,27.61,49.07,49.07,132.71,32.59,77.74,77.74,170.46,0.00,0.00,0.00,0.00
  -  คิริบาส,83.46,94.67,94.67,131.80,2.05,13.43,13.43,39.23,0.00,0.00,0.00,0.00
  -  ภูฎาน,469.30,772.85,772.85,129.15,-15.23,64.68,64.68,-83.29,0.01,0.01,0.01,0.00
  -  มาลี,185.08,190.07,190.07,118.66,-34.33,2.70,2.70,-37.57,0.00,0.00,0.00,0.00
  -  โมนาโก,109.12,86.30,86.30,112.02,51.96,-20.91,-20.91,29.80,0.00,0.00,0.00,0.00
  -  เซอร์เบีย & มอนเตเนโกร,108.59,269.98,269.98,110.60,-55.86,148.63,148.63,-59.03,0.00,0.00,0.00,0.00
  -  ไมโครนีเซีย,110.22,98.66,98.66,99.91,46.46,-10.49,-10.49,1.27,0.00,0.00,0.00,0.00
  -  อเมริกันซามัวร์,20.73,57.81,57.81,97.99,45.70,178.90,178.90,69.51,0.00,0.00,0.00,0.00
  -  เบลิซ,142.21,92.79,92.79,93.11,61.90,-34.75,-34.75,0.35,0.00,0.00,0.00,0.00
  -  ชาด,34.77,29.13,29.13,83.88,-67.22,-16.22,-16.22,187.95,0.00,0.00,0.00,0.00
  -  คีร์กิซสถาน,43.06,70.48,70.48,81.10,137.98,63.69,63.69,15.07,0.00,0.00,0.00,0.00
  -  เกรเนดา,59.42,54.19,54.19,78.43,20.19,-8.79,-8.79,44.73,0.00,0.00,0.00,0.00
  -  มอนเตเนโกร,155.55,64.07,64.07,76.34,-24.30,-58.81,-58.81,19.15,0.00,0.00,0.00,0.00
  -  CURACAO,,29.76,29.76,74.33,,,,149.75,,0.00,0.00,0.00
  -  เซนต์คิตส์และเนวิส,38.23,37.69,37.69,69.66,141.55,-1.39,-1.39,84.79,0.00,0.00,0.00,0.00
  -  ทาจิกิสถาน,47.36,57.67,57.67,69.31,0.24,21.77,21.77,20.18,0.00,0.00,0.00,0.00
  -  ตองกา,62.40,49.63,49.63,63.54,-32.59,-20.45,-20.45,28.02,0.00,0.00,0.00,0.00
  -  โดมินิกา,44.43,41.36,41.36,57.52,-56.14,-6.90,-6.90,39.06,0.00,0.00,0.00,0.00
  -  เบอร์มิวดา,51.00,45.83,45.83,53.82,-4.79,-10.14,-10.14,17.43,0.00,0.00,0.00,0.00
