ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2555,2556,2556,2557,2555,2556,2556,2557,2555,2556,2556,2557
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"829,847.88","824,672.21","824,672.21","806,418.43",4.88,-0.62,-0.62,-2.21,11.72,11.94,11.94,11.03
  -  สหรัฐอเมริกา,"703,918.36","694,328.17","694,328.17","767,832.40",7.21,-1.36,-1.36,10.59,9.95,10.05,10.05,10.50
  -  ญี่ปุ่น,"724,402.79","671,669.75","671,669.75","697,589.59",0.70,-7.28,-7.28,3.86,10.23,9.72,9.72,9.54
  -  มาเลเซีย,"383,674.62","393,568.53","393,568.53","410,241.50",2.69,2.58,2.58,4.24,5.42,5.70,5.70,5.61
  -  ฮ่องกง,"404,989.89","399,508.61","399,508.61","405,266.40",12.47,-1.35,-1.35,1.44,5.72,5.78,5.78,5.54
  -  สิงคโปร์,"334,639.05","339,781.76","339,781.76","335,486.98",-2.71,1.54,1.54,-1.26,4.73,4.92,4.92,4.59
  -  อินโดนีเซีย,"346,267.03","327,430.22","327,430.22","305,520.11",13.95,-5.44,-5.44,-6.69,4.89,4.74,4.74,4.18
  -  ออสเตรเลีย,"301,816.04","312,643.05","312,643.05","298,867.73",25.21,3.59,3.59,-4.41,4.26,4.52,4.52,4.09
  -  เวียดนาม,"200,274.70","217,546.25","217,546.25","253,260.62",-5.84,8.62,8.62,16.42,2.83,3.15,3.15,3.46
  -  ฟิลิปปินส์,"150,141.86","152,480.36","152,480.36","188,409.81",7.36,1.56,1.56,23.56,2.12,2.21,2.21,2.58
  -  อินเดีย,"169,030.22","156,653.05","156,653.05","180,241.28",8.15,-7.32,-7.32,15.06,2.39,2.27,2.27,2.47
  -  เนเธอร์แลนด์,"129,005.38","134,123.41","134,123.41","148,189.27",-6.13,3.97,3.97,10.49,1.82,1.94,1.94,2.03
  -  เยอรมนี,"111,442.17","123,140.62","123,140.62","145,634.98",-1.75,10.50,10.50,18.27,1.57,1.78,1.78,1.99
  -  กัมพูชา,"116,780.03","128,631.15","128,631.15","145,486.68",43.75,10.15,10.15,13.10,1.65,1.86,1.86,1.99
  -  เกาหลีใต้,"147,634.65","138,292.87","138,292.87","145,242.02",7.04,-6.33,-6.33,5.02,2.09,2.00,2.00,1.99
  -  เมียนม่า,"96,523.51","114,520.62","114,520.62","136,270.14",12.39,18.65,18.65,18.99,1.36,1.66,1.66,1.86
  -  ลาว,"110,802.47","113,542.08","113,542.08","129,666.32",32.64,2.47,2.47,14.20,1.57,1.64,1.64,1.77
  -  ไต้หวัน,"105,617.63","101,962.34","101,962.34","128,984.64",-9.24,-3.46,-3.46,26.50,1.49,1.48,1.48,1.76
  -  สหราชอาณาจักร,"117,428.15","114,695.73","114,695.73","128,804.50",0.24,-2.33,-2.33,12.30,1.66,1.66,1.66,1.76
  -  สหรัฐอาหรับเอมิเรตส์,"88,668.35","93,107.02","93,107.02","104,383.72",6.55,5.01,5.01,12.11,1.25,1.35,1.35,1.43
  -  ซาอุดีอาระเบีย,"86,583.43","90,321.81","90,321.81","100,034.86",27.40,4.32,4.32,10.75,1.22,1.31,1.31,1.37
  -  แอฟริกาใต้,"87,742.37","78,762.08","78,762.08","75,517.05",32.31,-10.23,-10.23,-4.12,1.24,1.14,1.14,1.03
  -  เม็กซิโก,"51,792.00","56,139.43","56,139.43","64,128.85",34.54,8.39,8.39,14.23,0.73,0.81,0.81,0.88
  -  บราซิล,"68,972.92","68,029.61","68,029.61","62,218.82",0.86,-1.37,-1.37,-8.54,0.97,0.98,0.98,0.85
  -  สวิตเซอร์แลนด์,"158,103.82","45,248.30","45,248.30","59,052.76",10.45,-71.38,-71.38,30.51,2.23,0.65,0.65,0.81
  -  เบลเยียม,"53,835.63","50,064.85","50,064.85","53,810.57",0.60,-7.00,-7.00,7.48,0.76,0.72,0.72,0.74
  -  ฝรั่งเศส,"49,979.23","50,394.97","50,394.97","52,922.16",-11.93,0.83,0.83,5.01,0.71,0.73,0.73,0.72
  -  อิตาลี,"43,861.72","43,729.63","43,729.63","48,667.69",-21.99,-0.30,-0.30,11.29,0.62,0.63,0.63,0.67
  -  แคนาดา,"48,893.28","44,751.12","44,751.12","47,442.23",-5.19,-8.47,-8.47,6.01,0.69,0.65,0.65,0.65
  -  นิวซีแลนด์,"31,718.78","35,088.23","35,088.23","39,761.17",23.15,10.62,10.62,13.32,0.45,0.51,0.51,0.54
  -  รัสเซีย,"35,021.09","35,160.59","35,160.59","38,739.00",1.15,0.40,0.40,10.18,0.49,0.51,0.51,0.53
  -  ตุรกี,"33,515.59","33,730.79","33,730.79","34,982.04",-10.95,0.64,0.64,3.71,0.47,0.49,0.49,0.48
  -  อียิปต์,"29,776.54","27,544.21","27,544.21","34,785.72",28.30,-7.50,-7.50,26.29,0.42,0.40,0.40,0.48
  -  ปากีสถาน,"27,121.96","28,365.44","28,365.44","28,109.82",0.17,4.58,4.58,-0.90,0.38,0.41,0.41,0.38
  -  บังกลาเทศ,"23,606.84","25,568.57","25,568.57","27,763.99",-35.48,8.31,8.31,8.59,0.33,0.37,0.37,0.38
  -  ไนจีเรีย,"28,768.96","12,492.81","12,492.81","26,841.63",-12.43,-56.58,-56.58,114.86,0.41,0.18,0.18,0.37
  -  สเปน,"24,916.47","24,357.07","24,357.07","25,186.61",-26.79,-2.25,-2.25,3.41,0.35,0.35,0.35,0.34
  -  สาธารณรัฐเช็ก,"23,576.18","21,898.33","21,898.33","24,642.05",-17.67,-7.12,-7.12,12.53,0.33,0.32,0.32,0.34
