ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2554,2555,2555,2556,2554,2555,2555,2556,2554,2555,2555,2556
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"791,212.19","829,847.88","829,847.88","824,672.21",16.59,4.88,4.88,-0.62,11.80,11.72,11.72,11.94
  -  สหรัฐอเมริกา,"656,591.57","703,918.36","703,918.36","694,328.17",2.78,7.21,7.21,-1.36,9.79,9.95,9.95,10.05
  -  ญี่ปุ่น,"719,382.47","724,402.79","724,402.79","671,669.75",12.07,0.70,0.70,-7.28,10.72,10.23,10.23,9.72
  -  ฮ่องกง,"360,080.42","404,989.89","404,989.89","399,508.61",1.48,12.47,12.47,-1.35,5.37,5.72,5.72,5.78
  -  มาเลเซีย,"373,614.58","383,674.62","383,674.62","393,568.53",11.66,2.69,2.69,2.58,5.57,5.42,5.42,5.70
  -  สิงคโปร์,"343,976.47","334,639.05","334,639.05","339,781.76",20.82,-2.71,-2.71,1.54,5.13,4.73,4.73,4.92
  -  อินโดนีเซีย,"303,877.17","346,267.03","346,267.03","327,430.22",30.50,13.95,13.95,-5.44,4.53,4.89,4.89,4.74
  -  ออสเตรเลีย,"241,047.24","301,816.04","301,816.04","312,643.05",-18.87,25.21,25.21,3.59,3.59,4.26,4.26,4.52
  -  เวียดนาม,"212,703.66","200,274.70","200,274.70","217,546.25",15.31,-5.84,-5.84,8.62,3.17,2.83,2.83,3.15
  -  อินเดีย,"156,288.72","169,030.22","169,030.22","156,653.05",12.29,8.15,8.15,-7.32,2.33,2.39,2.39,2.27
  -  ฟิลิปปินส์,"139,842.77","150,141.86","150,141.86","152,480.36",-9.73,7.36,7.36,1.56,2.08,2.12,2.12,2.21
  -  เกาหลีใต้,"137,929.45","147,634.65","147,634.65","138,292.87",20.71,7.04,7.04,-6.33,2.06,2.09,2.09,2.00
  -  เนเธอร์แลนด์,"137,434.95","129,005.38","129,005.38","134,123.41",19.22,-6.13,-6.13,3.97,2.05,1.82,1.82,1.94
  -  กัมพูชา,"81,238.91","116,780.03","116,780.03","128,631.15",9.39,43.75,43.75,10.15,1.21,1.65,1.65,1.86
  -  เยอรมนี,"113,426.43","111,442.17","111,442.17","123,140.62",8.67,-1.75,-1.75,10.50,1.69,1.57,1.57,1.78
  -  สหราชอาณาจักร,"117,141.29","117,428.15","117,428.15","114,695.73",1.23,0.24,0.24,-2.33,1.75,1.66,1.66,1.66
  -  เมียนม่า,"85,879.95","96,523.51","96,523.51","114,520.62",30.85,12.39,12.39,18.65,1.28,1.36,1.36,1.66
  -  ลาว,"83,534.30","110,802.47","110,802.47","113,542.08",23.56,32.64,32.64,2.47,1.25,1.57,1.57,1.64
  -  ไต้หวัน,"116,373.38","105,617.63","105,617.63","101,962.34",14.35,-9.24,-9.24,-3.46,1.73,1.49,1.49,1.48
  -  สหรัฐอาหรับเอมิเรตส์,"83,213.95","88,668.35","88,668.35","93,107.02",-7.60,6.55,6.55,5.01,1.24,1.25,1.25,1.35
  -  ซาอุดีอาระเบีย,"67,961.93","86,583.43","86,583.43","90,321.81",1.14,27.40,27.40,4.32,1.01,1.22,1.22,1.31
  -  แอฟริกาใต้,"66,317.62","87,742.37","87,742.37","78,762.08",19.30,32.31,32.31,-10.23,0.99,1.24,1.24,1.14
  -  บราซิล,"68,386.15","68,972.92","68,972.92","68,029.61",34.26,0.86,0.86,-1.37,1.02,0.97,0.97,0.98
  -  เม็กซิโก,"38,496.56","51,792.00","51,792.00","56,139.43",25.93,34.54,34.54,8.39,0.57,0.73,0.73,0.81
  -  ฝรั่งเศส,"56,750.48","49,979.23","49,979.23","50,394.97",1.89,-11.93,-11.93,0.83,0.85,0.71,0.71,0.73
  -  เบลเยียม,"53,514.81","53,835.63","53,835.63","50,064.85",11.94,0.60,0.60,-7.00,0.80,0.76,0.76,0.72
  -  สวิตเซอร์แลนด์,"143,141.14","158,103.82","158,103.82","45,248.30",10.73,10.45,10.45,-71.38,2.13,2.23,2.23,0.65
  -  แคนาดา,"51,569.34","48,893.28","48,893.28","44,751.12",14.24,-5.19,-5.19,-8.47,0.77,0.69,0.69,0.65
  -  อิตาลี,"56,227.73","43,861.72","43,861.72","43,729.63",3.95,-21.99,-21.99,-0.30,0.84,0.62,0.62,0.63
  -  รัสเซีย,"34,624.37","35,021.09","35,021.09","35,160.59",42.42,1.15,1.15,0.40,0.52,0.49,0.49,0.51
  -  นิวซีแลนด์,"25,755.56","31,718.78","31,718.78","35,088.23",1.81,23.15,23.15,10.62,0.38,0.45,0.45,0.51
