ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"833,538.03","997,982.74","997,982.74","971,436.98",4.08,19.73,19.73,-2.66,11.04,12.47,12.47,11.98
  -  สหรัฐอเมริกา,"858,391.55","898,823.30","898,823.30","899,154.14",5.80,4.71,4.71,0.04,11.37,11.23,11.23,11.09
  -  ญี่ปุ่น,"718,354.79","746,519.27","746,519.27","799,342.79",6.34,3.92,3.92,7.08,9.51,9.32,9.32,9.86
  -  เวียดนาม,"330,092.24","391,210.85","391,210.85","416,158.64",9.60,18.52,18.52,6.38,4.37,4.89,4.89,5.13
  -  ฮ่องกง,"402,289.86","416,257.45","416,257.45","401,767.84",0.62,3.47,3.47,-3.48,5.33,5.20,5.20,4.96
  -  มาเลเซีย,"337,477.22","349,848.66","349,848.66","373,609.27",-1.56,3.67,3.67,6.79,4.47,4.37,4.37,4.61
  -  ออสเตรเลีย,"361,457.20","355,227.73","355,227.73","345,231.05",9.60,-1.72,-1.72,-2.81,4.79,4.44,4.44,4.26
  -  อินโดนีเซีย,"286,679.25","299,494.49","299,494.49","328,290.44",8.79,4.47,4.47,9.61,3.80,3.74,3.74,4.05
  -  สิงคโปร์,"288,800.27","281,120.80","281,120.80","298,484.86",-1.91,-2.66,-2.66,6.18,3.82,3.51,3.51,3.68
  -  ฟิลิปปินส์,"224,220.74","234,963.36","234,963.36","253,722.54",10.56,4.79,4.79,7.98,2.97,2.93,2.93,3.13
  -  กัมพูชา,"163,770.84","179,082.76","179,082.76","244,618.48",-1.96,9.35,9.35,36.60,2.17,2.24,2.24,3.02
  -  อินเดีย,"180,708.68","218,975.41","218,975.41","244,360.04",1.51,21.18,21.18,11.59,2.39,2.74,2.74,3.01
  -  เนเธอร์แลนด์,"148,153.43","161,321.44","161,321.44","166,835.26",2.80,8.89,8.89,3.42,1.96,2.01,2.01,2.06
  -  เยอรมนี,"156,930.41","170,537.99","170,537.99","165,343.55",8.54,8.67,8.67,-3.05,2.08,2.13,2.13,2.04
  -  เกาหลีใต้,"142,750.70","157,943.69","157,943.69","158,136.77",3.28,10.64,10.64,0.12,1.89,1.97,1.97,1.95
  -  เมียนม่า,"146,534.57","146,142.30","146,142.30","148,185.57",4.16,-0.27,-0.27,1.40,1.94,1.83,1.83,1.83
  -  ลาว,"140,092.38","133,694.53","133,694.53","132,097.41",-1.97,-4.57,-4.57,-1.19,1.86,1.67,1.67,1.63
