ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2557,2558,2558,2559,2557,2558,2558,2559,2557,2558,2558,2559
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  สหรัฐอเมริกา,"767,832.40","811,346.29","811,346.29","858,391.55",10.59,5.67,5.67,5.80,10.50,11.23,11.23,11.37
  -  จีน,"806,418.43","800,893.89","800,893.89","833,538.03",-2.21,-0.69,-0.69,4.08,11.03,11.08,11.08,11.04
  -  ญี่ปุ่น,"697,589.59","675,543.23","675,543.23","718,354.79",3.86,-3.16,-3.16,6.34,9.54,9.35,9.35,9.51
  -  ฮ่องกง,"405,266.40","399,805.40","399,805.40","402,289.86",1.44,-1.35,-1.35,0.62,5.54,5.53,5.53,5.33
  -  ออสเตรเลีย,"298,867.73","329,786.04","329,786.04","361,457.20",-4.41,10.35,10.35,9.60,4.09,4.56,4.56,4.79
  -  มาเลเซีย,"410,241.50","342,825.73","342,825.73","337,477.22",4.24,-16.43,-16.43,-1.56,5.61,4.74,4.74,4.47
  -  เวียดนาม,"253,260.62","301,182.03","301,182.03","330,092.24",16.42,18.92,18.92,9.60,3.46,4.17,4.17,4.37
  -  สิงคโปร์,"335,486.98","294,436.14","294,436.14","288,800.27",-1.26,-12.24,-12.24,-1.91,4.59,4.07,4.07,3.82
  -  อินโดนีเซีย,"305,520.11","263,512.55","263,512.55","286,679.25",-6.69,-13.75,-13.75,8.79,4.18,3.65,3.65,3.80
  -  ฟิลิปปินส์,"188,409.81","202,813.50","202,813.50","224,220.74",23.56,7.64,7.64,10.56,2.58,2.81,2.81,2.97
  -  อินเดีย,"180,241.28","178,023.61","178,023.61","180,708.68",15.06,-1.23,-1.23,1.51,2.47,2.46,2.46,2.39
  -  สวิตเซอร์แลนด์,"59,052.76","81,215.88","81,215.88","170,616.14",30.51,37.53,37.53,110.08,0.81,1.12,1.12,2.26
  -  กัมพูชา,"145,486.68","167,048.28","167,048.28","163,770.84",13.10,14.82,14.82,-1.96,1.99,2.31,2.31,2.17
  -  เยอรมนี,"145,634.98","144,587.10","144,587.10","156,930.41",18.27,-0.72,-0.72,8.54,1.99,2.00,2.00,2.08
  -  เนเธอร์แลนด์,"148,189.27","144,121.16","144,121.16","148,153.43",10.49,-2.75,-2.75,2.80,2.03,1.99,1.99,1.96
  -  เมียนม่า,"136,270.14","140,687.33","140,687.33","146,534.57",18.99,3.24,3.24,4.16,1.86,1.95,1.95,1.94
  -  เกาหลีใต้,"145,242.02","138,216.06","138,216.06","142,750.70",5.02,-4.84,-4.84,3.28,1.99,1.91,1.91,1.89
  -  ลาว,"129,666.32","142,909.28","142,909.28","140,092.38",14.20,10.21,10.21,-1.97,1.77,1.98,1.98,1.86
  -  สหราชอาณาจักร,"128,804.50","128,543.55","128,543.55","134,942.39",12.30,-0.20,-0.20,4.98,1.76,1.78,1.78,1.79
  -  ไต้หวัน,"128,984.64","118,877.88","118,877.88","118,230.57",26.50,-7.84,-7.84,-0.54,1.76,1.65,1.65,1.57
  -  สหรัฐอาหรับเอมิเรตส์,"104,383.72","103,544.22","103,544.22","100,771.57",12.11,-0.80,-0.80,-2.68,1.43,1.43,1.43,1.33
  -  เม็กซิโก,"64,128.85","90,890.44","90,890.44","98,835.95",14.23,41.73,41.73,8.74,0.88,1.26,1.26,1.31
  -  ซาอุดีอาระเบีย,"100,034.86","99,253.12","99,253.12","77,744.64",10.75,-0.78,-0.78,-21.67,1.37,1.37,1.37,1.03
  -  แอฟริกาใต้,"75,517.05","67,703.90","67,703.90","73,713.45",-4.12,-10.35,-10.35,8.88,1.03,0.94,0.94,0.98
  -  ฝรั่งเศส,"52,922.16","53,919.54","53,919.54","54,448.24",5.01,1.88,1.88,0.98,0.72,0.75,0.75,0.72
  -  อิตาลี,"48,667.69","44,774.69","44,774.69","54,312.28",11.29,-8.00,-8.00,21.30,0.67,0.62,0.62,0.72
  -  บราซิล,"62,218.82","51,466.23","51,466.23","53,244.50",-8.54,-17.28,-17.28,3.46,0.85,0.71,0.71,0.71
  -  เบลเยียม,"53,810.57","52,096.06","52,096.06","51,096.32",7.48,-3.19,-3.19,-1.92,0.74,0.72,0.72,0.68
  -  นิวซีแลนด์,"39,761.17","44,460.18","44,460.18","50,277.51",13.32,11.82,11.82,13.08,0.54,0.62,0.62,0.67
  -  แคนาดา,"47,442.23","46,024.18","46,024.18","47,036.39",6.01,-2.99,-2.99,2.20,0.65,0.64,0.64,0.62
  -  ตุรกี,"34,982.04","32,984.21","32,984.21","37,682.60",3.71,-5.71,-5.71,14.24,0.48,0.46,0.46,0.50
  -  ปากีสถาน,"28,109.82","30,713.58","30,713.58","35,556.80",-0.90,9.26,9.26,15.77,0.38,0.43,0.43,0.47
  -  อาร์เจนตินา,"22,525.42","22,723.69","22,723.69","34,408.39",-28.93,0.88,0.88,51.42,0.31,0.31,0.31,0.46
  -  สเปน,"25,186.61","28,072.26","28,072.26","33,308.15",3.41,11.46,11.46,18.65,0.34,0.39,0.39,0.44
  -  บังกลาเทศ,"27,763.99","28,919.18","28,919.18","32,932.07",8.59,4.16,4.16,13.88,0.38,0.40,0.40,0.44
  -  อียิปต์,"34,785.72","34,118.50","34,118.50","27,035.41",26.29,-1.92,-1.92,-20.76,0.48,0.47,0.47,0.36
  -  สาธารณรัฐเช็ก,"24,642.05","25,372.17","25,372.17","25,126.79",12.53,2.96,2.96,-0.97,0.34,0.35,0.35,0.33
  -  อิสราเอล,"24,457.42","23,866.77","23,866.77","23,695.90",18.18,-2.42,-2.42,-0.72,0.33,0.33,0.33,0.31
  -  โอมาน,"21,123.90","20,898.85","20,898.85","20,297.21",-6.42,-1.07,-1.07,-2.88,0.29,0.29,0.29,0.27
  -  รัสเซีย,"38,739.00","24,107.30","24,107.30","20,241.28",10.18,-37.77,-37.77,-16.04,0.53,0.33,0.33,0.27
  -  ชิลี,"20,675.06","20,560.84","20,560.84","19,095.12",10.31,-0.55,-0.55,-7.13,0.28,0.28,0.28,0.25
  -  เบนิน,"16,314.58","10,734.51","10,734.51","18,519.58",8.02,-34.20,-34.20,72.52,0.22,0.15,0.15,0.25
  -  ไอร์แลนด์,"14,285.53","16,772.12","16,772.12","15,696.60",11.16,17.41,17.41,-6.41,0.20,0.23,0.23,0.21
  -  สวีเดน,"17,634.34","15,957.78","15,957.78","15,439.48",10.19,-9.51,-9.51,-3.25,0.24,0.22,0.22,0.20
  -  ศรีลังกา,"14,538.15","14,641.07","14,641.07","15,133.39",13.57,0.71,0.71,3.36,0.20,0.20,0.20,0.20
  -  ฮังการี,"15,849.98","15,365.97","15,365.97","14,576.98",19.26,-3.05,-3.05,-5.13,0.22,0.21,0.21,0.19
  -  เดนมาร์ก,"14,098.81","14,977.33","14,977.33","13,588.31",10.35,6.23,6.23,-9.27,0.19,0.21,0.21,0.18
  -  โปแลนด์,"14,161.11","13,146.70","13,146.70","13,552.08",-21.17,-7.16,-7.16,3.08,0.19,0.18,0.18,0.18
  -  เปรู,"15,028.50","15,574.81","15,574.81","13,413.58",1.42,3.64,3.64,-13.88,0.21,0.22,0.22,0.18
  -  เขตต่อเนื่องราชอาณาจักร,"15,513.79","13,978.48","13,978.48","11,718.12",-24.34,-9.90,-9.90,-16.17,0.21,0.19,0.19,0.16
  -  คูเวต,"14,750.88","13,474.38","13,474.38","11,708.15",16.51,-8.65,-8.65,-13.11,0.20,0.19,0.19,0.16
  -  โกตดิวัวร์,"10,960.16","8,263.85","8,263.85","10,522.20",39.44,-24.60,-24.60,27.33,0.15,0.11,0.11,0.14
  -  กาตาร์,"14,077.61","11,931.77","11,931.77","10,111.99",23.21,-15.24,-15.24,-15.25,0.19,0.17,0.17,0.13
  -  อิหร่าน,"10,357.00","7,301.70","7,301.70","9,366.85",2.95,-29.50,-29.50,28.28,0.14,0.10,0.10,0.12
  -  ปานามา,"8,516.51","8,504.09","8,504.09","8,783.46",17.97,-0.15,-0.15,3.29,0.12,0.12,0.12,0.12
  -  ออสเตรีย,"7,195.99","7,807.43","7,807.43","7,813.32",6.89,8.50,8.50,0.08,0.10,0.11,0.11,0.10
  -  กานา,"9,382.99","6,353.93","6,353.93","7,095.11",2.41,-32.28,-32.28,11.66,0.13,0.09,0.09,0.09
  -  โคลัมเบีย,"8,001.49","7,626.33","7,626.33","6,808.91",5.83,-4.69,-4.69,-10.72,0.11,0.11,0.11,0.09
  -  แคเมอรูน,"7,274.10","5,977.18","5,977.18","6,716.17",49.89,-17.83,-17.83,12.36,0.10,0.08,0.08,0.09
  -  บาห์เรน,"7,731.73","7,408.95","7,408.95","6,669.45",15.96,-4.17,-4.17,-9.98,0.11,0.10,0.10,0.09
  -  ไนจีเรีย,"26,841.63","18,989.09","18,989.09","6,572.42",114.86,-29.26,-29.26,-65.39,0.37,0.26,0.26,0.09
  -  นอร์เวย์,"12,397.57","6,374.34","6,374.34","6,243.94",112.07,-48.58,-48.58,-2.05,0.17,0.09,0.09,0.08
  -  เลบานอน,"6,773.34","7,738.56","7,738.56","6,054.87",3.84,14.25,14.25,-21.76,0.09,0.11,0.11,0.08
  -  ฟินแลนด์,"10,115.94","7,519.77","7,519.77","6,053.37",1.09,-25.66,-25.66,-19.50,0.14,0.10,0.10,0.08
  -  คอสตาริกา,"4,007.36","4,939.57","4,939.57","5,657.93",3.06,23.26,23.26,14.54,0.05,0.07,0.07,0.07
  -  จอร์แดน,"9,345.73","7,336.46","7,336.46","5,639.85",17.45,-21.50,-21.50,-23.13,0.13,0.10,0.10,0.07
  -  โปรตุเกส,"4,803.54","4,849.86","4,849.86","5,532.86",9.64,0.96,0.96,14.08,0.07,0.07,0.07,0.07
  -  อังโกลา,"9,073.19","6,137.99","6,137.99","5,452.58",29.96,-32.35,-32.35,-11.17,0.12,0.08,0.08,0.07
