ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2553,2554,2554,2555,2553,2554,2554,2555,2553,2554,2554,2555
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  จีน,"678,631.83","791,212.19","791,212.19","829,847.88",23.67,16.59,16.59,4.88,11.10,11.80,11.80,11.72
  -  ญี่ปุ่น,"641,910.14","719,382.47","719,382.47","724,402.79",19.79,12.07,12.07,0.70,10.50,10.72,10.72,10.23
  -  สหรัฐอเมริกา,"638,820.07","656,591.57","656,591.57","703,918.36",12.53,2.78,2.78,7.21,10.45,9.79,9.79,9.95
  -  ฮ่องกง,"354,820.58","360,080.42","360,080.42","404,989.89",9.78,1.48,1.48,12.47,5.80,5.37,5.37,5.72
  -  มาเลเซีย,"334,598.81","373,614.58","373,614.58","383,674.62",28.28,11.66,11.66,2.69,5.47,5.57,5.57,5.42
  -  อินโดนีเซีย,"232,856.21","303,877.17","303,877.17","346,267.03",46.53,30.50,30.50,13.95,3.81,4.53,4.53,4.89
  -  สิงคโปร์,"284,693.62","343,976.47","343,976.47","334,639.05",10.36,20.82,20.82,-2.71,4.66,5.13,5.13,4.73
  -  ออสเตรเลีย,"297,098.72","241,047.24","241,047.24","301,816.04",1.76,-18.87,-18.87,25.21,4.86,3.59,3.59,4.26
  -  เวียดนาม,"184,463.07","212,703.66","212,703.66","200,274.70",15.85,15.31,15.31,-5.84,3.02,3.17,3.17,2.83
  -  อินเดีย,"139,178.33","156,288.72","156,288.72","169,030.22",26.68,12.29,12.29,8.15,2.28,2.33,2.33,2.39
  -  สวิตเซอร์แลนด์,"129,270.02","143,141.14","143,141.14","158,103.82",19.89,10.73,10.73,10.45,2.11,2.13,2.13,2.23
