ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2560,2561,2561,2562,2560,2561,2561,2562,2560,2561,2561,2562
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  สหรัฐอเมริกา,"898,823.30","899,154.14","899,154.14","971,239.52",4.71,0.04,0.04,8.02,11.23,11.09,11.09,12.73
  -  จีน,"997,982.74","971,436.98","971,436.98","902,188.15",19.73,-2.66,-2.66,-7.13,12.47,11.98,11.98,11.83
  -  ญี่ปุ่น,"746,519.27","799,342.79","799,342.79","759,787.13",3.92,7.08,7.08,-4.95,9.32,9.86,9.86,9.96
  -  เวียดนาม,"391,210.85","416,158.64","416,158.64","375,216.19",18.52,6.38,6.38,-9.84,4.89,5.13,5.13,4.92
  -  ฮ่องกง,"416,257.45","401,767.84","401,767.84","362,830.84",3.47,-3.48,-3.48,-9.69,5.20,4.96,4.96,4.76
  -  มาเลเซีย,"349,848.66","373,609.27","373,609.27","321,023.41",3.67,6.79,6.79,-14.08,4.37,4.61,4.61,4.21
  -  ออสเตรเลีย,"355,227.73","345,231.05","345,231.05","317,033.10",-1.72,-2.81,-2.81,-8.17,4.44,4.26,4.26,4.16
  -  อินโดนีเซีย,"299,494.49","328,290.44","328,290.44","281,972.05",4.47,9.61,9.61,-14.11,3.74,4.05,4.05,3.70
  -  สิงคโปร์,"281,120.80","298,484.86","298,484.86","274,918.76",-2.66,6.18,6.18,-7.90,3.51,3.68,3.68,3.60
  -  อินเดีย,"218,975.41","244,360.04","244,360.04","227,875.06",21.18,11.59,11.59,-6.75,2.74,3.01,3.01,2.99
  -  กัมพูชา,"179,082.76","244,618.48","244,618.48","221,026.31",9.35,36.60,36.60,-9.64,2.24,3.02,3.02,2.90
  -  ฟิลิปปินส์,"234,963.36","253,722.54","253,722.54","214,223.88",4.79,7.98,7.98,-15.57,2.93,3.13,3.13,2.81
  -  สวิตเซอร์แลนด์,"138,544.40","76,595.91","76,595.91","164,286.60",-18.80,-44.71,-44.71,114.48,1.73,0.94,0.94,2.15
  -  เกาหลีใต้,"157,943.69","158,136.77","158,136.77","146,628.95",10.64,0.12,0.12,-7.28,1.97,1.95,1.95,1.92
  -  เนเธอร์แลนด์,"161,321.44","166,835.26","166,835.26","146,532.12",8.89,3.42,3.42,-12.17,2.01,2.06,2.06,1.92
  -  เยอรมนี,"170,537.99","165,343.55","165,343.55","140,504.99",8.67,-3.05,-3.05,-15.02,2.13,2.04,2.04,1.84
  -  เมียนม่า,"146,142.30","148,185.57","148,185.57","135,139.61",-0.27,1.40,1.40,-8.80,1.83,1.83,1.83,1.77
  -  ไต้หวัน,"135,848.97","127,342.27","127,342.27","124,171.05",14.90,-6.26,-6.26,-2.49,1.70,1.57,1.57,1.63
  -  สหราชอาณาจักร,"138,345.12","130,367.51","130,367.51","119,331.06",2.52,-5.77,-5.77,-8.47,1.73,1.61,1.61,1.56
  -  ลาว,"133,694.53","132,097.41","132,097.41","119,121.91",-4.57,-1.19,-1.19,-9.82,1.67,1.63,1.63,1.56
  -  เม็กซิโก,"100,994.21","90,471.32","90,471.32","91,357.05",2.18,-10.42,-10.42,0.98,1.26,1.12,1.12,1.20
  -  แอฟริกาใต้,"83,807.35","90,985.40","90,985.40","81,540.55",13.69,8.56,8.56,-10.38,1.05,1.12,1.12,1.07
  -  สหรัฐอาหรับเอมิเรตส์,"96,038.58","83,675.94","83,675.94","75,516.34",-4.70,-12.87,-12.87,-9.75,1.20,1.03,1.03,0.99
