ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
  -  ฝรั่งเศส,"60,092.40","63,094.79","63,094.79","57,986.45",10.37,5.00,5.00,-8.10,0.75,0.78,0.78,0.76
  -  ซาอุดีอาระเบีย,"58,670.42","49,207.81","49,207.81","57,250.07",-24.53,-16.13,-16.13,16.34,0.73,0.61,0.61,0.75
  -  อิตาลี,"55,998.02","53,998.21","53,998.21","54,595.89",3.10,-3.57,-3.57,1.11,0.70,0.67,0.67,0.72
  -  แคนาดา,"48,369.43","50,719.92","50,719.92","49,217.37",2.83,4.86,4.86,-2.96,0.60,0.63,0.63,0.65
  -  นิวซีแลนด์,"55,591.71","53,431.92","53,431.92","47,901.55",10.57,-3.89,-3.89,-10.35,0.69,0.66,0.66,0.63
  -  เบลเยียม,"46,968.59","47,925.27","47,925.27","47,736.86",-8.08,2.04,2.04,-0.39,0.59,0.59,0.59,0.63
  -  บราซิล,"44,778.15","47,533.82","47,533.82","46,766.89",-15.90,6.15,6.15,-1.61,0.56,0.59,0.59,0.61
  -  ปากีสถาน,"47,560.23","47,488.87","47,488.87","36,587.81",33.76,-0.15,-0.15,-22.95,0.59,0.59,0.59,0.48
  -  อาร์เจนตินา,"37,455.15","38,960.13","38,960.13","32,397.24",8.85,4.02,4.02,-16.85,0.47,0.48,0.48,0.42
  -  บังกลาเทศ,"42,349.31","38,417.31","38,417.31","30,587.04",28.60,-9.28,-9.28,-20.38,0.53,0.47,0.47,0.40
  -  รัสเซีย,"34,873.54","37,357.65","37,357.65","29,809.39",72.29,7.12,7.12,-20.21,0.44,0.46,0.46,0.39
  -  สเปน,"33,120.24","35,227.02","35,227.02","29,663.10",-0.56,6.36,6.36,-15.79,0.41,0.43,0.43,0.39
  -  ตุรกี,"42,471.63","34,581.53","34,581.53","27,453.72",12.71,-18.58,-18.58,-20.61,0.53,0.43,0.43,0.36
  -  อียิปต์,"22,970.55","30,346.57","30,346.57","26,013.19",-15.04,32.11,32.11,-14.28,0.29,0.37,0.37,0.34
  -  อิสราเอล,"23,515.39","23,453.24","23,453.24","22,896.08",-0.76,-0.26,-0.26,-2.38,0.29,0.29,0.29,0.30
  -  สาธารณรัฐเช็ก,"23,710.76","23,227.12","23,227.12","22,208.25",-5.64,-2.04,-2.04,-4.39,0.30,0.29,0.29,0.29
  -  โอมาน,"17,563.90","18,065.86","18,065.86","16,543.56",-13.47,2.86,2.86,-8.43,0.22,0.22,0.22,0.22
  -  ชิลี,"25,413.89","24,996.39","24,996.39","16,496.59",33.09,-1.64,-1.64,-34.00,0.32,0.31,0.31,0.22
  -  โปแลนด์,"15,295.53","15,055.07","15,055.07","14,567.86",12.86,-1.57,-1.57,-3.24,0.19,0.19,0.19,0.19
  -  ฮังการี,"14,399.43","14,308.60","14,308.60","14,474.34",-1.22,-0.63,-0.63,1.16,0.18,0.18,0.18,0.19
  -  สวีเดน,"16,459.08","15,559.93","15,559.93","13,555.32",6.60,-5.46,-5.46,-12.88,0.21,0.19,0.19,0.18
  -  เบนิน,"23,582.85","21,921.96","21,921.96","13,518.90",27.34,-7.04,-7.04,-38.33,0.29,0.27,0.27,0.18
  -  เดนมาร์ก,"13,306.41","12,554.01","12,554.01","12,575.41",-2.07,-5.65,-5.65,0.17,0.17,0.15,0.15,0.16
  -  กาตาร์,"10,389.78","12,116.23","12,116.23","11,662.61",2.75,16.62,16.62,-3.74,0.13,0.15,0.15,0.15
  -  ศรีลังกา,"14,991.27","14,187.34","14,187.34","11,628.27",-0.94,-5.36,-5.36,-18.04,0.19,0.17,0.17,0.15
  -  เขตต่อเนื่องราชอาณาจักร,"11,637.77","11,044.34","11,044.34","10,263.71",-0.69,-5.10,-5.10,-7.07,0.15,0.14,0.14,0.13
  -  คูเวต,"9,859.76","10,586.42","10,586.42","10,119.12",-15.79,7.37,7.37,-4.41,0.12,0.13,0.13,0.13
  -  เปรู,"11,990.47","10,086.85","10,086.85","9,544.90",-10.61,-15.88,-15.88,-5.37,0.15,0.12,0.12,0.13
  -  ไอร์แลนด์,"11,854.58","12,744.32","12,744.32","9,254.96",-24.48,7.51,7.51,-27.38,0.15,0.16,0.16,0.12
  -  อิรัก,"7,034.85","5,853.12","5,853.12","8,734.23",79.20,-16.80,-16.80,49.22,0.09,0.07,0.07,0.11
  -  ออสเตรีย,"7,578.11","8,381.65","8,381.65","8,307.96",-3.01,10.60,10.60,-0.88,0.09,0.10,0.10,0.11
  -  เอกวาดอร์,"7,595.22","8,820.55","8,820.55","7,605.04",83.94,16.13,16.13,-13.78,0.09,0.11,0.11,0.10
  -  แคเมอรูน,"9,795.99","6,119.86","6,119.86","7,371.33",45.86,-37.53,-37.53,20.45,0.12,0.08,0.08,0.10
  -  โปรตุเกส,"5,778.75","5,417.69","5,417.69","7,184.79",4.44,-6.25,-6.25,32.62,0.07,0.07,0.07,0.09
  -  เคนยา,"7,705.92","7,811.53","7,811.53","6,921.63",47.82,1.37,1.37,-11.39,0.10,0.10,0.10,0.09
  -  เยเมน,"4,821.48","5,381.39","5,381.39","6,710.19",22.91,11.61,11.61,24.69,0.06,0.07,0.07,0.09
  -  ลิเบีย,"4,145.93","4,313.61","4,313.61","6,705.08",-8.08,4.04,4.04,55.44,0.05,0.05,0.05,0.09
  -  ไนจีเรีย,"5,738.66","6,415.20","6,415.20","6,511.53",-12.69,11.79,11.79,1.50,0.07,0.08,0.08,0.09
  -  นอร์เวย์,"16,541.07","6,494.40","6,494.40","6,444.03",164.91,-60.74,-60.74,-0.78,0.21,0.08,0.08,0.08
  -  โคลัมเบีย,"7,246.85","7,082.48","7,082.48","6,246.14",6.43,-2.27,-2.27,-11.81,0.09,0.09,0.09,0.08
  -  เซเนกัล,"6,207.85","4,824.77","4,824.77","6,124.88",18.90,-22.28,-22.28,26.95,0.08,0.06,0.06,0.08
  -  ฟินแลนด์,"6,816.89","6,542.40","6,542.40","6,047.48",12.61,-4.03,-4.03,-7.56,0.09,0.08,0.08,0.08
  -  หมู่เกาะมาร์แชล,112.47,107.87,107.87,"5,885.75",31.07,-4.09,-4.09,"5,356.47",0.00,0.00,0.00,0.08
  -  โรมาเนีย,"4,613.41","6,000.68","6,000.68","5,588.12",8.69,30.07,30.07,-6.88,0.06,0.07,0.07,0.07
  -  อังโกลา,"6,290.25","6,810.86","6,810.86","5,549.55",15.36,8.28,8.28,-18.52,0.08,0.08,0.08,0.07
  -  อิหร่าน,"14,617.87","8,006.03","8,006.03","5,028.03",56.06,-45.23,-45.23,-37.20,0.18,0.10,0.10,0.07
  -  ลิกเตนสไตน์,"4,802.90","5,577.23","5,577.23","4,977.14",-8.98,16.12,16.12,-10.76,0.06,0.07,0.07,0.07
  -  ปาปัวนิวกินี,"4,695.95","5,464.45","5,464.45","4,745.89",-4.02,16.37,16.37,-13.15,0.06,0.07,0.07,0.06
  -  จอร์แดน,"4,536.60","4,872.91","4,872.91","4,726.93",-19.56,7.41,7.41,-3.00,0.06,0.06,0.06,0.06
  -  ซูดาน,"2,419.91","4,212.77","4,212.77","4,647.37",16.64,74.09,74.09,10.32,0.03,0.05,0.05,0.06
  -  โมซัมบิก,"6,740.45","6,056.94","6,056.94","4,617.67",30.01,-10.14,-10.14,-23.76,0.08,0.07,0.07,0.06
  -  บาห์เรน,"5,252.42","8,064.79","8,064.79","4,467.03",-21.25,53.54,53.54,-44.61,0.07,0.10,0.10,0.06
  -  กรีซ,"4,045.20","4,243.79","4,243.79","4,454.62",-6.04,4.91,4.91,4.97,0.05,0.05,0.05,0.06
  -  ปานามา,"5,838.38","5,479.40","5,479.40","4,438.98",-33.53,-6.15,-6.15,-18.99,0.07,0.07,0.07,0.06
  -  สโลวัก,"4,289.66","5,364.52","5,364.52","4,272.96",0.96,25.06,25.06,-20.35,0.05,0.07,0.07,0.06
  -  เลบานอน,"5,732.68","5,157.32","5,157.32","3,990.76",-5.32,-10.04,-10.04,-22.62,0.07,0.06,0.06,0.05
  -  โมร็อกโก,"3,344.50","3,427.74","3,427.74","3,960.26",-10.67,2.49,2.49,15.54,0.04,0.04,0.04,0.05
  -  กานา,"6,320.23","6,896.26","6,896.26","3,883.47",-10.92,9.11,9.11,-43.69,0.08,0.09,0.09,0.05
  -  โกตดิวัวร์,"8,266.61","7,003.52","7,003.52","3,728.40",-21.44,-15.28,-15.28,-46.76,0.10,0.09,0.09,0.05
  -  มัลดีฟส์,"3,567.02","3,862.77","3,862.77","3,698.09",0.94,8.29,8.29,-4.26,0.04,0.05,0.05,0.05
  -  แทนซาเนีย,"3,654.22","4,050.59","4,050.59","3,665.23",12.71,10.85,10.85,-9.51,0.05,0.05,0.05,0.05
  -  บรูไน,"2,755.45","3,381.53","3,381.53","3,605.02",-1.40,22.72,22.72,6.61,0.03,0.04,0.04,0.05
  -  ยูเครน,"3,522.98","3,210.60","3,210.60","3,217.25",7.09,-8.87,-8.87,0.21,0.04,0.04,0.04,0.04
  -  เนปาล,"2,244.42","2,679.96","2,679.96","3,175.80",-4.07,19.41,19.41,18.50,0.03,0.03,0.03,0.04
  -  ตรินิแดดและโตเบโก,"3,349.97","3,135.45","3,135.45","3,138.53",-6.12,-6.40,-6.40,0.10,0.04,0.04,0.04,0.04
  -  โตโก,"2,993.82","3,507.72","3,507.72","3,054.16",32.82,17.17,17.17,-12.93,0.04,0.04,0.04,0.04
  -  กัวเตมาลา,"2,766.12","3,690.87","3,690.87","2,718.58",-38.23,33.43,33.43,-26.34,0.03,0.05,0.05,0.04
  -  ซีเรีย,"1,321.54","2,058.88","2,058.88","2,612.98",16.23,55.79,55.79,26.91,0.02,0.03,0.03,0.03
  -  มอริเชียส,"2,335.41","2,686.66","2,686.66","2,517.36",4.09,15.04,15.04,-6.30,0.03,0.03,0.03,0.03
  -  คอสตาริกา,"3,715.51","3,310.01","3,310.01","2,398.90",-34.33,-10.91,-10.91,-27.53,0.05,0.04,0.04,0.03
  -  คาซัคสถาน,"1,696.36","1,680.32","1,680.32","2,260.69",28.28,-0.95,-0.95,34.54,0.02,0.02,0.02,0.03
  -  สโลวีเนีย,"2,940.32","2,113.68","2,113.68","2,245.15",37.67,-28.11,-28.11,6.22,0.04,0.03,0.03,0.03
  -  แอลจีเรีย,"3,674.76","3,869.57","3,869.57","2,244.40",-11.31,5.30,5.30,-42.00,0.05,0.05,0.05,0.03
  -  เปอร์โตริโก,"2,140.95","3,403.00","3,403.00","2,203.87",0.23,58.95,58.95,-35.24,0.03,0.04,0.04,0.03
  -  สาธารณรัฐโดมินิกัน,"2,161.43","2,808.39","2,808.39","2,107.28",-24.95,29.93,29.93,-24.96,0.03,0.03,0.03,0.03
  -  ตูนีเซีย,"3,035.77","4,506.06","4,506.06","1,997.54",-43.59,48.43,48.43,-55.67,0.04,0.06,0.06,0.03
  -  บัลแกเรีย,"1,685.66","1,890.60","1,890.60","1,949.16",25.89,12.16,12.16,3.10,0.02,0.02,0.02,0.03
  -  จาเมกา,"2,171.03","2,685.45","2,685.45","1,841.94",1.75,23.69,23.69,-31.41,0.03,0.03,0.03,0.02
  -  ลัตเวีย,"1,598.99","1,583.16","1,583.16","1,836.20",21.20,-0.99,-0.99,15.98,0.02,0.02,0.02,0.02
"  -  CONGO, THE DEMOCRATIC REPUBLIC",433.56,"1,172.02","1,172.02","1,782.25",109.90,170.33,170.33,52.07,0.01,0.01,0.01,0.02
  -  ฮอนดูรัส,"2,041.62","2,066.27","2,066.27","1,686.61",-30.31,1.21,1.21,-18.37,0.03,0.03,0.03,0.02
  -  เอธิโอเปีย,"1,653.95","1,440.10","1,440.10","1,665.80",-0.98,-12.93,-12.93,15.67,0.02,0.02,0.02,0.02
  -  ฟิจิ,"2,009.77","2,506.77","2,506.77","1,598.47",-5.08,24.73,24.73,-36.23,0.03,0.03,0.03,0.02
  -  ไลบีเรีย,150.47,162.21,162.21,"1,486.67",27.72,7.80,7.80,816.50,0.00,0.00,0.00,0.02
  -  เอลซัลวาดอร์,"1,411.28","1,335.49","1,335.49","1,411.41",-27.21,-5.37,-5.37,5.68,0.02,0.02,0.02,0.02
  -  อุซเบกิสถาน,210.02,517.93,517.93,"1,400.02",-11.86,146.60,146.60,170.31,0.00,0.01,0.01,0.02
  -  คองโก,"2,417.39","1,867.90","1,867.90","1,378.28",-6.52,-22.73,-22.73,-26.21,0.03,0.02,0.02,0.02
  -  ลิทัวเนีย,807.49,"1,155.37","1,155.37","1,361.66",-2.64,43.08,43.08,17.85,0.01,0.01,0.01,0.02
  -  มอลตา,829.58,900.69,900.69,"1,361.11",3.83,8.57,8.57,51.12,0.01,0.01,0.01,0.02
  -  ภูฎาน,"1,590.70","1,259.39","1,259.39","1,331.46",87.22,-20.83,-20.83,5.72,0.02,0.02,0.02,0.02
  -  จิบูตี,"2,209.56","2,205.26","2,205.26","1,326.71",94.32,-0.19,-0.19,-39.84,0.03,0.03,0.03,0.02
  -  เอสโตเนีย,"1,749.05","1,513.49","1,513.49","1,270.33",0.99,-13.47,-13.47,-16.07,0.02,0.02,0.02,0.02
  -  นิวแคลีโดเนีย,"1,577.02","1,678.05","1,678.05","1,259.93",8.85,6.41,6.41,-24.92,0.02,0.02,0.02,0.02
  -  เฟรนช์โปลีนีเซีย,949.28,"1,124.82","1,124.82","1,227.46",60.52,18.49,18.49,9.12,0.01,0.01,0.01,0.02
  -  มอริเตเนีย,602.15,544.55,544.55,"1,197.14",-6.10,-9.57,-9.57,119.84,0.01,0.01,0.01,0.02
  -  จอร์เจีย,"1,076.93","1,139.52","1,139.52","1,184.60",19.09,5.81,5.81,3.96,0.01,0.01,0.01,0.02
  -  มาดากัสการ์,"1,375.00","1,246.33","1,246.33",985.21,62.11,-9.36,-9.36,-20.95,0.02,0.02,0.02,0.01
  -  ไซปรัส,927.55,864.66,864.66,974.47,10.29,-6.78,-6.78,12.70,0.01,0.01,0.01,0.01
  -  โบลิเวีย,959.09,"1,309.48","1,309.48",943.20,-29.57,36.53,36.53,-27.97,0.01,0.02,0.02,0.01
  -  ปารากวัย,"1,352.33","1,264.48","1,264.48",881.42,66.49,-6.50,-6.50,-30.29,0.02,0.02,0.02,0.01
  -  โครเอเชีย,"1,293.18",859.84,859.84,876.12,50.10,-33.51,-33.51,1.89,0.02,0.01,0.01,0.01
  -  กาบอง,"1,457.13","1,164.12","1,164.12",850.74,-47.54,-20.11,-20.11,-26.92,0.02,0.01,0.01,0.01
  -  มาเก๊า,686.77,772.93,772.93,828.76,-11.05,12.54,12.54,7.22,0.01,0.01,0.01,0.01
  -  อุรุกวัย,"1,040.64","1,079.13","1,079.13",795.56,-12.49,3.70,3.70,-26.28,0.01,0.01,0.01,0.01
  -  แกมเบีย,848.85,677.69,677.69,765.82,18.47,-20.16,-20.16,13.00,0.01,0.01,0.01,0.01
  -  กินี,589.69,453.89,453.89,750.45,-64.25,-23.03,-23.03,65.34,0.01,0.01,0.01,0.01
  -  ยูกันดา,571.39,611.02,611.02,710.14,35.96,6.94,6.94,16.22,0.01,0.01,0.01,0.01
  -  ซูรินาเม,453.26,635.06,635.06,639.14,0.92,40.11,40.11,0.64,0.01,0.01,0.01,0.01
  -  เรอูนียง,553.69,600.69,600.69,620.80,5.95,8.49,8.49,3.35,0.01,0.01,0.01,0.01
  -  โซมาเลีย,729.40,673.55,673.55,582.75,27.47,-7.66,-7.66,-13.48,0.01,0.01,0.01,0.01
  -  เซอร์เบีย,407.73,743.03,743.03,516.76,13.01,82.24,82.24,-30.45,0.01,0.01,0.01,0.01
  -  บาร์เบโดส,701.58,640.12,640.12,506.89,22.78,-8.76,-8.76,-20.81,0.01,0.01,0.01,0.01
  -  มองโกเลีย,353.00,415.39,415.39,496.08,-19.95,17.67,17.67,19.42,0.00,0.01,0.01,0.01
  -  มาลี,291.92,310.37,310.37,460.80,10.76,6.32,6.32,48.47,0.00,0.00,0.00,0.01
  -  ไนเจอร์,"1,026.75",713.24,713.24,428.49,35.05,-30.53,-30.53,-39.92,0.01,0.01,0.01,0.01
  -  มายอต,440.42,467.67,467.67,410.27,-1.40,6.19,6.19,-12.27,0.01,0.01,0.01,0.01
  -  วานูอาตู,458.65,512.10,512.10,390.42,14.97,11.65,11.65,-23.76,0.01,0.01,0.01,0.01
  -  นิการากัว,952.51,646.92,646.92,380.41,-76.19,-32.08,-32.08,-41.20,0.01,0.01,0.01,0.00
  -  อัฟกานิสถาน,625.26,460.05,460.05,379.37,-49.56,-26.42,-26.42,-17.54,0.01,0.01,0.01,0.00
  -  แซมเบีย,242.57,567.95,567.95,374.82,64.57,134.14,134.14,-34.00,0.00,0.01,0.01,0.00
  -  เซเชลส์,530.74,401.61,401.61,351.95,26.11,-24.33,-24.33,-12.37,0.01,0.00,0.00,0.00
  -  โซโลมอน,357.89,384.34,384.34,326.75,1.12,7.39,7.39,-14.99,0.00,0.00,0.00,0.00
  -  ซามัวตะวันตก,323.15,354.37,354.37,325.91,-21.82,9.66,9.66,-8.03,0.00,0.00,0.00,0.00
  -  อาเซอร์ไบจาน,266.87,323.71,323.71,324.38,-3.97,21.30,21.30,0.21,0.00,0.00,0.00,0.00
  -  เวเนซุเอลา,"1,584.40",278.08,278.08,321.99,4.12,-82.45,-82.45,15.79,0.02,0.00,0.00,0.00
  -  เซียร์ราลีโอน,516.81,406.27,406.27,321.86,15.35,-21.39,-21.39,-20.78,0.01,0.01,0.01,0.00
  -  กวม,362.02,384.48,384.48,319.89,17.18,6.20,6.20,-16.80,0.00,0.00,0.00,0.00
  -  บอสเนียและเฮอร์เซโกวีนา,173.75,220.24,220.24,283.03,-14.20,26.76,26.76,28.51,0.00,0.00,0.00,0.00
  -  แอลเบเนีย,226.74,291.42,291.42,275.29,0.49,28.53,28.53,-5.53,0.00,0.00,0.00,0.00
  -  ติมัวร์เลสเต้,639.38,"1,068.78","1,068.78",275.25,117.69,67.16,67.16,-74.25,0.01,0.01,0.01,0.00
  -  อิเควทอเรียลกินี,306.56,380.73,380.73,274.12,-13.52,24.20,24.20,-28.00,0.00,0.00,0.00,0.00
  -  กายอานา,234.26,242.96,242.96,272.96,0.85,3.71,3.71,12.35,0.00,0.00,0.00,0.00
  -  ไอซ์แลนด์,317.50,227.07,227.07,252.63,67.58,-28.48,-28.48,11.26,0.00,0.00,0.00,0.00
  -  ซิมบับเว,367.91,482.08,482.08,250.21,77.08,31.03,31.03,-48.10,0.00,0.01,0.01,0.00
  -  เซนต์ลูเซีย,268.64,255.47,255.47,240.15,31.05,-4.90,-4.90,-6.00,0.00,0.00,0.00,0.00
  -  อาร์เมเนีย,355.58,122.57,122.57,219.48,366.19,-65.53,-65.53,79.06,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคปเวิร์ด,234.95,303.52,303.52,219.37,-1.63,29.18,29.18,-27.72,0.00,0.00,0.00,0.00
  -  มาลาวี,111.47,167.80,167.80,211.79,18.86,50.54,50.54,26.22,0.00,0.00,0.00,0.00
  -  เฮติ,376.51,505.59,505.59,206.77,-29.62,34.28,34.28,-59.10,0.00,0.01,0.01,0.00
  -  ลักเซมเบิร์ก,299.13,169.18,169.18,205.12,2.92,-43.44,-43.44,21.24,0.00,0.00,0.00,0.00
  -  บาฮามาส,256.13,200.90,200.90,185.95,36.99,-21.56,-21.56,-7.44,0.00,0.00,0.00,0.00
  -  เบลารุส,186.07,267.94,267.94,183.19,-0.90,44.00,44.00,-31.63,0.00,0.00,0.00,0.00
  -  บูร์กินา ฟาโซ,969.01,860.90,860.90,178.65,88.16,-11.16,-11.16,-79.25,0.01,0.01,0.01,0.00
  -  นามิเบีย,131.71,131.47,131.47,173.15,-4.94,-0.18,-0.18,31.70,0.00,0.00,0.00,0.00
  -  SOUTH SUDAN,110.59,672.97,672.97,171.55,187.62,508.50,508.50,-74.51,0.00,0.01,0.01,0.00
  -  มาร์ตินีก,68.16,126.81,126.81,163.13,-13.67,86.05,86.05,28.64,0.00,0.00,0.00,0.00
  -  แอนติกัวและบาร์บูดา,140.20,139.00,139.00,152.60,-8.76,-0.85,-0.85,9.78,0.00,0.00,0.00,0.00
  -  หมู่เกาะเวอร์จิน(สหรัฐ),11.06,4.94,4.94,143.04,7.27,-55.30,-55.30,"2,793.88",0.00,0.00,0.00,0.00
  -  รวันดา,134.83,99.67,99.67,140.07,-12.40,-26.08,-26.08,40.54,0.00,0.00,0.00,0.00
  -  CURACAO,132.52,99.84,99.84,123.74,-23.08,-24.66,-24.66,23.94,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคย์แมน,115.74,90.61,90.61,121.24,49.10,-21.71,-21.71,33.81,0.00,0.00,0.00,0.00
  -  คิวบา,333.72,336.24,336.24,119.62,73.56,0.76,0.76,-64.42,0.00,0.00,0.00,0.00
  -  เซนต์คิตส์และเนวิส,86.66,57.30,57.30,118.17,1.72,-33.88,-33.88,106.24,0.00,0.00,0.00,0.00
  -  โมนาโก,57.21,55.43,55.43,111.48,-30.86,-3.11,-3.11,101.11,0.00,0.00,0.00,0.00
  -  เนเธอร์แลนด์แอนทิลลีส,152.86,152.09,152.09,111.44,4.74,-0.50,-0.50,-26.73,0.00,0.00,0.00,0.00
  -  เกรเนดา,103.19,134.28,134.28,105.76,-26.63,30.12,30.12,-21.23,0.00,0.00,0.00,0.00
  -  มอนเตเนโกร,72.07,97.83,97.83,103.48,3.59,35.74,35.74,5.77,0.00,0.00,0.00,0.00
  -  กวาเดอลูป,56.66,73.69,73.69,94.77,-2.94,30.05,30.05,28.61,0.00,0.00,0.00,0.00
  -  โดมินิกา,77.12,112.07,112.07,89.26,-62.89,45.31,45.31,-20.35,0.00,0.00,0.00,0.00
  -  คิริบาส,124.42,72.87,72.87,88.23,34.54,-41.43,-41.43,21.08,0.00,0.00,0.00,0.00
  -  ไมโครนีเซีย,107.78,106.32,106.32,81.03,14.37,-1.35,-1.35,-23.79,0.00,0.00,0.00,0.00
  -  บอตสวานา,60.71,206.88,206.88,80.39,-19.44,240.79,240.79,-61.14,0.00,0.00,0.00,0.00
  -  เกาะมาเรียนาเหนือ,41.24,60.03,60.03,75.27,40.32,45.57,45.57,25.38,0.00,0.00,0.00,0.00
  -  ตองกา,79.24,84.41,84.41,74.08,15.85,6.52,6.52,-12.24,0.00,0.00,0.00,0.00
  -  อรูบา,178.14,162.84,162.84,72.63,-11.38,-8.59,-8.59,-55.40,0.00,0.00,0.00,0.00
  -  เติร์กเมนิสถาน,227.69,56.40,56.40,70.83,-26.95,-75.23,-75.23,25.58,0.00,0.00,0.00,0.00
  -  เบอร์มิวดา,110.69,111.47,111.47,69.63,-7.25,0.71,0.71,-37.53,0.00,0.00,0.00,0.00
  -  คอโมรอส,124.17,70.94,70.94,66.45,92.22,-42.87,-42.87,-6.33,0.00,0.00,0.00,0.00
  -  หมู่เกาะเติร์กและไกโกส,22.14,25.91,25.91,62.48,293.55,17.07,17.07,141.11,0.00,0.00,0.00,0.00
  -  มาซิโดเนีย,87.86,114.30,114.30,61.96,-35.87,30.09,30.09,-45.79,0.00,0.00,0.00,0.00
  -  หมู่เกาะดุก,59.56,55.60,55.60,58.16,8.10,-6.65,-6.65,4.61,0.00,0.00,0.00,0.00
  -  เอริเทรีย,108.91,560.18,560.18,53.01,"1,903.32",414.37,414.37,-90.54,0.00,0.01,0.01,0.00
  -  หมู่เกาะแฟโร (เดนมาร์ก),21.55,4.85,4.85,51.48,-33.47,-77.51,-77.51,962.24,0.00,0.00,0.00,0.00
  -  เฟรนช์เกียนา,37.99,52.28,52.28,49.40,-9.84,37.60,37.60,-5.51,0.00,0.00,0.00,0.00
  -  สวาซิแลนด์,66.28,42.86,42.86,48.37,-24.58,-35.34,-35.34,12.86,0.00,0.00,0.00,0.00
  -  ปาเลสไตน์,92.32,123.73,123.73,47.35,31.56,34.03,34.03,-61.73,0.00,0.00,0.00,0.00
