ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2556,2557,2557,2558,2556,2557,2557,2558,2556,2557,2557,2558
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  สหรัฐอเมริกา,"694,328.17","767,832.40","767,832.40","811,346.29",-1.36,10.59,10.59,5.67,10.05,10.50,10.50,11.23
  -  จีน,"824,672.21","806,418.43","806,418.43","800,893.89",-0.62,-2.21,-2.21,-0.69,11.94,11.03,11.03,11.08
  -  ญี่ปุ่น,"671,669.75","697,589.59","697,589.59","675,543.23",-7.28,3.86,3.86,-3.16,9.72,9.54,9.54,9.35
  -  ฮ่องกง,"399,508.61","405,266.40","405,266.40","399,805.40",-1.35,1.44,1.44,-1.35,5.78,5.54,5.54,5.53
  -  มาเลเซีย,"393,568.53","410,241.50","410,241.50","342,825.73",2.58,4.24,4.24,-16.43,5.70,5.61,5.61,4.74
  -  ออสเตรเลีย,"312,643.05","298,867.73","298,867.73","329,786.04",3.59,-4.41,-4.41,10.35,4.52,4.09,4.09,4.56
  -  เวียดนาม,"217,546.25","253,260.62","253,260.62","301,182.03",8.62,16.42,16.42,18.92,3.15,3.46,3.46,4.17
  -  สิงคโปร์,"339,781.76","335,486.98","335,486.98","294,436.14",1.54,-1.26,-1.26,-12.24,4.92,4.59,4.59,4.07
  -  อินโดนีเซีย,"327,430.22","305,520.11","305,520.11","263,512.55",-5.44,-6.69,-6.69,-13.75,4.74,4.18,4.18,3.65
  -  ฟิลิปปินส์,"152,480.36","188,409.81","188,409.81","202,813.50",1.56,23.56,23.56,7.64,2.21,2.58,2.58,2.81
  -  อินเดีย,"156,653.05","180,241.28","180,241.28","178,023.61",-7.32,15.06,15.06,-1.23,2.27,2.47,2.47,2.46
  -  กัมพูชา,"128,631.15","145,486.68","145,486.68","167,048.28",10.15,13.10,13.10,14.82,1.86,1.99,1.99,2.31
  -  เยอรมนี,"123,140.62","145,634.98","145,634.98","144,587.10",10.50,18.27,18.27,-0.72,1.78,1.99,1.99,2.00
  -  เนเธอร์แลนด์,"134,123.41","148,189.27","148,189.27","144,121.16",3.97,10.49,10.49,-2.75,1.94,2.03,2.03,1.99
  -  ลาว,"113,542.08","129,666.32","129,666.32","142,909.28",2.47,14.20,14.20,10.21,1.64,1.77,1.77,1.98
  -  เมียนม่า,"114,520.62","136,270.14","136,270.14","140,687.33",18.65,18.99,18.99,3.24,1.66,1.86,1.86,1.95
  -  เกาหลีใต้,"138,292.87","145,242.02","145,242.02","138,216.06",-6.33,5.02,5.02,-4.84,2.00,1.99,1.99,1.91
  -  สหราชอาณาจักร,"114,695.73","128,804.50","128,804.50","128,543.55",-2.33,12.30,12.30,-0.20,1.66,1.76,1.76,1.78
  -  ไต้หวัน,"101,962.34","128,984.64","128,984.64","118,877.88",-3.46,26.50,26.50,-7.84,1.48,1.76,1.76,1.65
  -  สหรัฐอาหรับเอมิเรตส์,"93,107.02","104,383.72","104,383.72","103,544.22",5.01,12.11,12.11,-0.80,1.35,1.43,1.43,1.43
  -  ซาอุดีอาระเบีย,"90,321.81","100,034.86","100,034.86","99,253.12",4.32,10.75,10.75,-0.78,1.31,1.37,1.37,1.37
  -  เม็กซิโก,"56,139.43","64,128.85","64,128.85","90,890.44",8.39,14.23,14.23,41.73,0.81,0.88,0.88,1.26
  -  สวิตเซอร์แลนด์,"45,248.30","59,052.76","59,052.76","81,215.88",-71.38,30.51,30.51,37.53,0.65,0.81,0.81,1.12
  -  แอฟริกาใต้,"78,762.08","75,517.05","75,517.05","67,703.90",-10.23,-4.12,-4.12,-10.35,1.14,1.03,1.03,0.94
  -  ฝรั่งเศส,"50,394.97","52,922.16","52,922.16","53,919.54",0.83,5.01,5.01,1.88,0.73,0.72,0.72,0.75
  -  เบลเยียม,"50,064.85","53,810.57","53,810.57","52,096.06",-7.00,7.48,7.48,-3.19,0.72,0.74,0.74,0.72
  -  บราซิล,"68,029.61","62,218.82","62,218.82","51,466.23",-1.37,-8.54,-8.54,-17.28,0.98,0.85,0.85,0.71
  -  แคนาดา,"44,751.12","47,442.23","47,442.23","46,024.18",-8.47,6.01,6.01,-2.99,0.65,0.65,0.65,0.64
  -  อิตาลี,"43,729.63","48,667.69","48,667.69","44,774.69",-0.30,11.29,11.29,-8.00,0.63,0.67,0.67,0.62
  -  นิวซีแลนด์,"35,088.23","39,761.17","39,761.17","44,460.18",10.62,13.32,13.32,11.82,0.51,0.54,0.54,0.62
  -  อียิปต์,"27,544.21","34,785.72","34,785.72","34,118.50",-7.50,26.29,26.29,-1.92,0.40,0.48,0.48,0.47
  -  ตุรกี,"33,730.79","34,982.04","34,982.04","32,984.21",0.64,3.71,3.71,-5.71,0.49,0.48,0.48,0.46
  -  ปากีสถาน,"28,365.44","28,109.82","28,109.82","30,713.58",4.58,-0.90,-0.90,9.26,0.41,0.38,0.38,0.43
  -  บังกลาเทศ,"25,568.57","27,763.99","27,763.99","28,919.18",8.31,8.59,8.59,4.16,0.37,0.38,0.38,0.40
