ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
  -  สเปน,"24,357.07","25,186.61","25,186.61","28,072.26",-2.25,3.41,3.41,11.46,0.35,0.34,0.34,0.39
  -  สาธารณรัฐเช็ก,"21,898.33","24,642.05","24,642.05","25,372.17",-7.12,12.53,12.53,2.96,0.32,0.34,0.34,0.35
  -  รัสเซีย,"35,160.59","38,739.00","38,739.00","24,107.30",0.40,10.18,10.18,-37.77,0.51,0.53,0.53,0.33
  -  อิสราเอล,"20,695.81","24,457.42","24,457.42","23,866.77",-8.08,18.18,18.18,-2.42,0.30,0.33,0.33,0.33
  -  อาร์เจนตินา,"31,692.97","22,525.42","22,525.42","22,723.69",8.15,-28.93,-28.93,0.88,0.46,0.31,0.31,0.31
  -  โอมาน,"22,572.97","21,123.90","21,123.90","20,898.85",0.72,-6.42,-6.42,-1.07,0.33,0.29,0.29,0.29
  -  ชิลี,"18,742.21","20,675.06","20,675.06","20,560.84",-3.48,10.31,10.31,-0.55,0.27,0.28,0.28,0.28
  -  ไนจีเรีย,"12,492.81","26,841.63","26,841.63","18,989.09",-56.58,114.86,114.86,-29.26,0.18,0.37,0.37,0.26
  -  ไอร์แลนด์,"12,851.26","14,285.53","14,285.53","16,772.12",21.24,11.16,11.16,17.41,0.19,0.20,0.20,0.23
  -  สวีเดน,"16,002.87","17,634.34","17,634.34","15,957.78",-10.08,10.19,10.19,-9.51,0.23,0.24,0.24,0.22
  -  เปรู,"14,818.05","15,028.50","15,028.50","15,574.81",27.34,1.42,1.42,3.64,0.21,0.21,0.21,0.22
  -  ฮังการี,"13,290.24","15,849.98","15,849.98","15,365.97",12.77,19.26,19.26,-3.05,0.19,0.22,0.22,0.21
  -  เดนมาร์ก,"12,776.49","14,098.81","14,098.81","14,977.33",-9.20,10.35,10.35,6.23,0.18,0.19,0.19,0.21
  -  ศรีลังกา,"12,800.58","14,538.15","14,538.15","14,641.07",-8.69,13.57,13.57,0.71,0.19,0.20,0.20,0.20
  -  เขตต่อเนื่องราชอาณาจักร,"20,504.71","15,513.79","15,513.79","13,978.48",9.85,-24.34,-24.34,-9.90,0.30,0.21,0.21,0.19
  -  คูเวต,"12,660.87","14,750.88","14,750.88","13,474.38",-1.18,16.51,16.51,-8.65,0.18,0.20,0.20,0.19
  -  โปแลนด์,"17,963.37","14,161.11","14,161.11","13,146.70",10.50,-21.17,-21.17,-7.16,0.26,0.19,0.19,0.18
  -  กาตาร์,"11,426.10","14,077.61","14,077.61","11,931.77",4.92,23.21,23.21,-15.24,0.17,0.19,0.19,0.17
  -  เบนิน,"15,103.15","16,314.58","16,314.58","10,734.51",129.27,8.02,8.02,-34.20,0.22,0.22,0.22,0.15
  -  ซูดาน,"5,305.97","5,153.70","5,153.70","9,569.65",147.28,-2.87,-2.87,85.68,0.08,0.07,0.07,0.13
  -  ปานามา,"7,219.16","8,516.51","8,516.51","8,504.09",-2.36,17.97,17.97,-0.15,0.10,0.12,0.12,0.12
  -  โกตดิวัวร์,"7,859.98","10,960.16","10,960.16","8,263.85",-11.82,39.44,39.44,-24.60,0.11,0.15,0.15,0.11
  -  ออสเตรีย,"6,731.95","7,195.99","7,195.99","7,807.43",-4.75,6.89,6.89,8.50,0.10,0.10,0.10,0.11
  -  เลบานอน,"6,522.74","6,773.34","6,773.34","7,738.56",7.56,3.84,3.84,14.25,0.09,0.09,0.09,0.11
  -  โคลัมเบีย,"7,560.74","8,001.49","8,001.49","7,626.33",-19.65,5.83,5.83,-4.69,0.11,0.11,0.11,0.11
  -  ฟินแลนด์,"10,007.24","10,115.94","10,115.94","7,519.77",-18.56,1.09,1.09,-25.66,0.14,0.14,0.14,0.10
  -  นอกเขตต่อเนื่องราชอาณาจักร,378.36,"3,289.71","3,289.71","7,466.45",,769.47,769.47,126.96,0.01,0.04,0.04,0.10
  -  บาห์เรน,"6,667.30","7,731.73","7,731.73","7,408.95",32.29,15.96,15.96,-4.17,0.10,0.11,0.11,0.10
  -  จอร์แดน,"7,957.13","9,345.73","9,345.73","7,336.46",2.49,17.45,17.45,-21.50,0.12,0.13,0.13,0.10
  -  อิหร่าน,"10,060.69","10,357.00","10,357.00","7,301.70",-37.54,2.95,2.95,-29.50,0.15,0.14,0.14,0.10
  -  เอกวาดอร์,"8,401.49","11,374.49","11,374.49","6,830.05",-22.14,35.39,35.39,-39.95,0.12,0.16,0.16,0.09
  -  นอร์เวย์,"5,846.09","12,397.57","12,397.57","6,374.34",-60.10,112.07,112.07,-48.58,0.08,0.17,0.17,0.09
  -  กานา,"9,162.14","9,382.99","9,382.99","6,353.93",-16.90,2.41,2.41,-32.28,0.13,0.13,0.13,0.09
  -  อิรัก,"22,266.08","10,865.82","10,865.82","6,198.89",-21.96,-51.20,-51.20,-42.95,0.32,0.15,0.15,0.09
  -  อังโกลา,"6,981.38","9,073.19","9,073.19","6,137.99",11.04,29.96,29.96,-32.35,0.10,0.12,0.12,0.08
  -  โมซัมบิก,"4,530.02","6,404.26","6,404.26","6,054.37",-10.18,41.37,41.37,-5.46,0.07,0.09,0.09,0.08
  -  แคเมอรูน,"4,852.87","7,274.10","7,274.10","5,977.18",-8.65,49.89,49.89,-17.83,0.07,0.10,0.10,0.08
  -  เยเมน,"8,363.64","8,700.80","8,700.80","5,832.52",4.49,4.03,4.03,-32.97,0.12,0.12,0.12,0.08
  -  เคนยา,"6,308.70","6,422.52","6,422.52","5,276.32",9.70,1.80,1.80,-17.85,0.09,0.09,0.09,0.07
  -  ลิกเตนสไตน์,"3,745.32","5,153.31","5,153.31","4,964.03",-25.18,37.59,37.59,-3.67,0.05,0.07,0.07,0.07
  -  คอสตาริกา,"3,888.32","4,007.36","4,007.36","4,939.57",-6.13,3.06,3.06,23.26,0.06,0.05,0.05,0.07
  -  กัวเตมาลา,"3,778.28","4,410.95","4,410.95","4,903.60",-0.87,16.74,16.74,11.17,0.05,0.06,0.06,0.07
  -  โปรตุเกส,"4,381.37","4,803.54","4,803.54","4,849.86",24.72,9.64,9.64,0.96,0.06,0.07,0.07,0.07
  -  สโลวัก,"4,982.25","5,313.46","5,313.46","4,739.33",15.23,6.65,6.65,-10.81,0.07,0.07,0.07,0.07
  -  ปาปัวนิวกินี,"5,428.14","4,107.55","4,107.55","4,711.70",-32.42,-24.33,-24.33,14.71,0.08,0.06,0.06,0.07
  -  เซเนกัล,"4,611.20","5,364.89","5,364.89","4,596.46",42.65,16.34,16.34,-14.32,0.07,0.07,0.07,0.06
  -  โตโก,"3,505.28","5,603.86","5,603.86","4,545.58",-0.39,59.87,59.87,-18.88,0.05,0.08,0.08,0.06
  -  ตรินิแดดและโตเบโก,"3,741.23","4,312.44","4,312.44","4,427.25",25.45,15.27,15.27,2.66,0.05,0.06,0.06,0.06
  -  โรมาเนีย,"4,022.34","4,311.46","4,311.46","4,286.97",13.14,7.19,7.19,-0.57,0.06,0.06,0.06,0.06
  -  แอลจีเรีย,"9,849.88","8,303.85","8,303.85","4,266.14",31.64,-15.70,-15.70,-48.62,0.14,0.11,0.11,0.06
  -  กรีซ,"3,838.49","4,223.06","4,223.06","4,098.67",-0.07,10.02,10.02,-2.95,0.06,0.06,0.06,0.06
  -  ตูนีเซีย,"3,579.34","4,343.64","4,343.64","3,700.21",-14.66,21.35,21.35,-14.81,0.05,0.06,0.06,0.05
  -  บรูไน,"5,019.80","4,585.18","4,585.18","3,568.11",-14.84,-8.66,-8.66,-22.18,0.07,0.06,0.06,0.05
  -  ลิเบีย,"12,331.23","7,321.53","7,321.53","3,554.39",14.03,-40.63,-40.63,-51.45,0.18,0.10,0.10,0.05
  -  แทนซาเนีย,"3,910.60","4,639.81","4,639.81","3,542.54",26.11,18.65,18.65,-23.65,0.06,0.06,0.06,0.05
  -  สาธารณรัฐโดมินิกัน,"2,110.24","3,107.02","3,107.02","3,469.00",-27.80,47.24,47.24,11.65,0.03,0.04,0.04,0.05
  -  นิการากัว,"2,055.86","2,334.11","2,334.11","3,364.62",10.56,13.53,13.53,44.15,0.03,0.03,0.03,0.05
  -  โมร็อกโก,"4,497.06","3,579.53","3,579.53","3,263.80",-4.51,-20.40,-20.40,-8.82,0.07,0.05,0.05,0.05
  -  ฮอนดูรัส,"2,545.61","2,462.62","2,462.62","2,921.13",-20.45,-3.26,-3.26,18.62,0.04,0.03,0.03,0.04
  -  มัลดีฟส์,"2,428.33","2,744.46","2,744.46","2,758.10",7.84,13.02,13.02,0.50,0.04,0.04,0.04,0.04
  -  มอริเชียส,"2,807.33","3,066.67","3,066.67","2,712.47",1.97,9.24,9.24,-11.55,0.04,0.04,0.04,0.04
  -  คองโก,"3,446.08","2,588.46","2,588.46","2,526.98",16.36,-24.89,-24.89,-2.38,0.05,0.04,0.04,0.03
  -  เกาหลีเหนือ,"3,013.78","3,450.55","3,450.55","2,523.86",144.13,14.49,14.49,-26.86,0.04,0.05,0.05,0.03
  -  กาบอง,"1,633.44","1,398.49","1,398.49","2,073.26",37.55,-14.38,-14.38,48.25,0.02,0.02,0.02,0.03
  -  สโลวีเนีย,"1,281.72","1,914.50","1,914.50","1,984.35",12.98,49.37,49.37,3.65,0.02,0.03,0.03,0.03
  -  โบลิเวีย,"1,646.84","2,312.75","2,312.75","1,981.00",59.90,40.44,40.44,-14.34,0.02,0.03,0.03,0.03
  -  นิวแคลีโดเนีย,"2,082.53","1,816.62","1,816.62","1,873.11",7.13,-12.77,-12.77,3.11,0.03,0.02,0.02,0.03
  -  ฟิจิ,"2,041.09","1,851.62","1,851.62","1,846.59",20.73,-9.28,-9.28,-0.27,0.03,0.03,0.03,0.03
  -  เอลซัลวาดอร์,"1,866.56","1,657.96","1,657.96","1,830.63",19.46,-11.18,-11.18,10.41,0.03,0.02,0.02,0.03
  -  เนปาล,"1,682.30","1,862.42","1,862.42","1,827.49",-14.02,10.71,10.71,-1.88,0.02,0.03,0.03,0.03
  -  ประเทศอื่น,"1,258.38","2,026.95","2,026.95","1,773.29",-55.33,61.08,61.08,-12.51,0.02,0.03,0.03,0.02
  -  เอสโตเนีย,"2,278.65","2,624.82","2,624.82","1,739.77",0.29,15.19,15.19,-33.72,0.03,0.04,0.04,0.02
  -  เอธิโอเปีย,"1,730.23","1,843.09","1,843.09","1,689.91",-13.01,6.52,6.52,-8.31,0.03,0.03,0.03,0.02
  -  ยูเครน,"3,786.57","2,603.94","2,603.94","1,646.98",-6.29,-31.23,-31.23,-36.75,0.05,0.04,0.04,0.02
  -  จาเมกา,"1,184.56","1,241.45","1,241.45","1,620.06",-6.77,4.80,4.80,30.50,0.02,0.02,0.02,0.02
  -  ซีเรีย,"1,774.11","2,541.95","2,541.95","1,521.76",-63.05,43.28,43.28,-40.13,0.03,0.03,0.03,0.02
  -  อุรุกวัย,"1,709.95","1,672.85","1,672.85","1,422.54",-40.81,-2.17,-2.17,-14.96,0.02,0.02,0.02,0.02
  -  เวเนซุเอลา,"4,511.11","2,108.17","2,108.17","1,312.19",-24.71,-53.27,-53.27,-37.76,0.07,0.03,0.03,0.02
  -  ลัตเวีย,944.64,"1,199.10","1,199.10","1,257.47",-17.43,26.94,26.94,4.87,0.01,0.02,0.02,0.02
  -  บัลแกเรีย,908.42,"1,129.10","1,129.10","1,252.67",-13.92,24.29,24.29,10.94,0.01,0.02,0.02,0.02
  -  เปอร์โตริโก,"1,719.12","2,448.54","2,448.54","1,232.46",81.96,42.43,42.43,-49.67,0.02,0.03,0.03,0.02
  -  คาซัคสถาน,"1,786.66","1,874.85","1,874.85","1,222.19",13.57,4.94,4.94,-34.81,0.03,0.03,0.03,0.02
  -  ปารากวัย,"2,067.26","1,083.13","1,083.13","1,175.88",1.94,-47.61,-47.61,8.56,0.03,0.01,0.01,0.02
  -  ไนเจอร์,"1,648.98","1,205.83","1,205.83","1,167.74",32.51,-26.87,-26.87,-3.16,0.02,0.02,0.02,0.02
  -  มาดากัสการ์,"1,517.25","1,888.29","1,888.29","1,163.07",-11.93,24.45,24.45,-38.41,0.02,0.03,0.03,0.02
  -  จิบูตี,"2,082.72","1,819.07","1,819.07","1,122.78",149.49,-12.66,-12.66,-38.28,0.03,0.02,0.02,0.02
  -  อัฟกานิสถาน,"5,478.09","1,513.19","1,513.19",981.51,23.58,-72.38,-72.38,-35.14,0.08,0.02,0.02,0.01
  -  แกมเบีย,701.56,"1,018.58","1,018.58",954.55,25.01,45.19,45.19,-6.29,0.01,0.01,0.01,0.01
  -  ลิทัวเนีย,"1,208.65","1,752.08","1,752.08",858.75,-61.22,44.96,44.96,-50.99,0.02,0.02,0.02,0.01
  -  มาเก๊า,701.77,681.89,681.89,825.26,37.59,-2.83,-2.83,21.03,0.01,0.01,0.01,0.01
  -  จอร์เจีย,"1,214.45","1,146.13","1,146.13",778.07,7.33,-5.63,-5.63,-32.11,0.02,0.02,0.02,0.01
  -  เซียร์ราลีโอน,335.88,724.56,724.56,768.88,1.36,115.72,115.72,6.12,0.00,0.01,0.01,0.01
  -  โครเอเชีย,973.40,"1,003.59","1,003.59",768.66,-14.09,3.10,3.10,-23.41,0.01,0.01,0.01,0.01
  -  ไซปรัส,840.34,884.70,884.70,753.47,-17.85,5.28,5.28,-14.83,0.01,0.01,0.01,0.01
  -  กินี,464.20,"2,045.24","2,045.24",749.03,-25.45,340.59,340.59,-63.38,0.01,0.03,0.03,0.01
  -  เรอูนียง,"1,021.09",774.91,774.91,739.89,-22.76,-24.11,-24.11,-4.52,0.01,0.01,0.01,0.01
  -  เฟรนช์โปลีนีเซีย,734.20,718.77,718.77,687.31,-1.48,-2.10,-2.10,-4.38,0.01,0.01,0.01,0.01
  -  มอลตา,584.25,621.53,621.53,652.29,-26.16,6.38,6.38,4.95,0.01,0.01,0.01,0.01
  -  ยูกันดา,530.03,740.52,740.52,595.24,17.81,39.71,39.71,-19.62,0.01,0.01,0.01,0.01
  -  โซมาเลีย,738.47,753.42,753.42,590.28,150.39,2.03,2.03,-21.65,0.01,0.01,0.01,0.01
  -  ซูรินาเม,748.02,698.72,698.72,578.37,-2.80,-6.59,-6.59,-17.22,0.01,0.01,0.01,0.01
  -  ซามัวตะวันตก,363.27,321.92,321.92,557.18,-0.23,-11.38,-11.38,73.08,0.01,0.00,0.00,0.01
  -  ติมัวร์เลสเต้,144.69,"1,305.29","1,305.29",542.47,,802.15,802.15,-58.44,0.00,0.02,0.02,0.01
  -  มอริเตเนีย,998.33,"1,095.46","1,095.46",494.59,-2.45,9.73,9.73,-54.85,0.01,0.01,0.01,0.01
  -  เฮติ,391.86,585.04,585.04,492.90,-3.43,49.30,49.30,-15.75,0.01,0.01,0.01,0.01
  -  แซมเบีย,325.31,512.62,512.62,475.96,-7.54,57.58,57.58,-7.15,0.00,0.01,0.01,0.01
  -  มายอต,443.49,496.80,496.80,464.03,31.70,12.02,12.02,-6.60,0.01,0.01,0.01,0.01
  -  อาเซอร์ไบจาน,383.57,771.59,771.59,452.02,4.92,101.16,101.16,-41.42,0.01,0.01,0.01,0.01
  -  บาร์เบโดส,310.92,423.93,423.93,451.73,-2.22,36.35,36.35,6.56,0.00,0.01,0.01,0.01
  -  หมู่เกาะเคปเวิร์ด,343.16,273.67,273.67,444.01,51.50,-20.25,-20.25,62.24,0.00,0.00,0.00,0.01
  -  มองโกเลีย,458.78,408.24,408.24,425.95,12.35,-11.02,-11.02,4.34,0.01,0.01,0.01,0.01
  -  โซโลมอน,350.09,304.00,304.00,404.87,-4.65,-13.16,-13.16,33.18,0.01,0.00,0.00,0.01
  -  บูร์กินา ฟาโซ,563.59,262.43,262.43,396.71,38.68,-53.44,-53.44,51.17,0.01,0.00,0.00,0.01
  -  ภูฎาน,772.85,129.15,129.15,394.12,64.68,-83.29,-83.29,205.16,0.01,0.00,0.00,0.01
  -  ติมัวร์ตะวันออก,243.99,815.50,815.50,370.32,-50.41,234.24,234.24,-54.59,0.00,0.01,0.01,0.01
  -  โดมินิกา,41.36,57.52,57.52,369.69,-6.90,39.06,39.06,542.72,0.00,0.00,0.00,0.01
  -  วานูอาตู,332.09,330.05,330.05,365.36,-7.25,-0.61,-0.61,10.70,0.00,0.00,0.00,0.01
  -  เซอร์เบีย,217.06,264.20,264.20,340.18,-9.22,21.72,21.72,28.76,0.00,0.00,0.00,0.00
  -  กวม,321.63,301.13,301.13,323.46,-75.90,-6.37,-6.37,7.42,0.00,0.00,0.00,0.00
  -  อุซเบกิสถาน,614.59,457.31,457.31,301.68,154.04,-25.59,-25.59,-34.03,0.01,0.01,0.01,0.00
"  -  CONGO, THE DEMOCRATIC REPUBLIC",83.56,250.85,250.85,298.85,,200.21,200.21,19.13,0.00,0.00,0.00,0.00
  -  เนเธอร์แลนด์แอนทิลลีส,225.38,259.79,259.79,269.58,-20.62,15.27,15.27,3.77,0.00,0.00,0.00,0.00
  -  อิเควทอเรียลกินี,187.18,301.36,301.36,254.77,34.72,61.00,61.00,-15.46,0.00,0.00,0.00,0.00
  -  ไลบีเรีย,264.85,204.81,204.81,248.96,-32.52,-22.67,-22.67,21.56,0.00,0.00,0.00,0.00
  -  เซเชลส์,246.34,368.05,368.05,245.05,-18.34,49.41,49.41,-33.42,0.00,0.01,0.01,0.00
  -  ลักเซมเบิร์ก,195.53,237.90,237.90,242.75,-20.15,21.67,21.67,2.04,0.00,0.00,0.00,0.00
  -  แอลเบเนีย,320.81,271.47,271.47,228.40,117.16,-15.38,-15.38,-15.86,0.00,0.00,0.00,0.00
  -  เอริเทรีย,245.87,428.82,428.82,225.22,-36.50,74.40,74.40,-47.48,0.00,0.01,0.01,0.00
  -  เติร์กเมนิสถาน,224.35,252.38,252.38,224.84,-10.63,12.49,12.49,-10.91,0.00,0.00,0.00,0.00
  -  กายอานา,278.26,200.95,200.95,222.49,2.46,-27.78,-27.78,10.72,0.00,0.00,0.00,0.00
  -  อเมริกันซามัวร์,57.81,97.99,97.99,204.94,178.90,69.51,69.51,109.14,0.00,0.00,0.00,0.00
  -  ไอซ์แลนด์,193.60,211.50,211.50,201.57,-11.37,9.25,9.25,-4.70,0.00,0.00,0.00,0.00
  -  คิวบา,68.36,158.04,158.04,194.15,28.24,131.18,131.18,22.85,0.00,0.00,0.00,0.00
  -  ซิมบับเว,158.18,238.53,238.53,194.08,-57.80,50.80,50.80,-18.63,0.00,0.00,0.00,0.00
  -  รวันดา,118.95,281.21,281.21,192.77,14.62,136.41,136.41,-31.45,0.00,0.00,0.00,0.00
  -  เซนต์ลูเซีย,132.47,133.09,133.09,185.40,-17.35,0.47,0.47,39.30,0.00,0.00,0.00,0.00
  -  บาฮามาส,148.24,145.76,145.76,179.49,7.05,-1.67,-1.67,23.14,0.00,0.00,0.00,0.00
  -  บอสเนียและเฮอร์เซโกวีนา,112.72,205.70,205.70,168.21,-10.31,82.49,82.49,-18.22,0.00,0.00,0.00,0.00
  -  มาลี,190.07,118.66,118.66,165.27,2.70,-37.57,-37.57,39.28,0.00,0.00,0.00,0.00
  -  มาร์ตินีก,137.58,144.75,144.75,161.83,-22.03,5.21,5.21,11.80,0.00,0.00,0.00,0.00
  -  กวาเดอลูป,115.03,158.23,158.23,158.14,-39.30,37.56,37.56,-0.06,0.00,0.00,0.00,0.00
  -  อรูบา,117.40,154.94,154.94,149.73,5.31,31.97,31.97,-3.36,0.00,0.00,0.00,0.00
  -  มาซิโดเนีย,113.05,152.54,152.54,149.45,-8.65,34.93,34.93,-2.02,0.00,0.00,0.00,0.00
  -  เซอร์เบีย & มอนเตเนโกร,269.98,110.60,110.60,145.98,148.63,-59.03,-59.03,31.99,0.00,0.00,0.00,0.00
  -  แอนติกัวและบาร์บูดา,49.07,132.71,132.71,145.78,77.74,170.46,170.46,9.85,0.00,0.00,0.00,0.00
  -  กินี-บิสเซา,10.89,41.97,41.97,135.92,-63.26,285.52,285.52,223.88,0.00,0.00,0.00,0.00
  -  เบลารุส,886.55,582.25,582.25,125.74,-48.45,-34.32,-34.32,-78.40,0.01,0.01,0.01,0.00
  -  สวาซิแลนด์,402.14,391.04,391.04,125.14,472.15,-2.76,-2.76,-68.00,0.01,0.01,0.01,0.00
  -  เบลิซ,92.79,93.11,93.11,124.64,-34.75,0.35,0.35,33.86,0.00,0.00,0.00,0.00
  -  เกรเนดา,54.19,78.43,78.43,100.68,-8.79,44.73,44.73,28.37,0.00,0.00,0.00,0.00
  -  นามิเบีย,332.43,215.51,215.51,100.20,53.93,-35.17,-35.17,-53.50,0.00,0.00,0.00,0.00
  -  เบอร์มิวดา,45.83,53.82,53.82,99.81,-10.14,17.43,17.43,85.45,0.00,0.00,0.00,0.00
  -  SOUTH SUDAN,14.87,35.84,35.84,97.06,238.63,141.02,141.02,170.85,0.00,0.00,0.00,0.00
  -  ไมโครนีเซีย,98.66,99.91,99.91,91.81,-10.49,1.27,1.27,-8.10,0.00,0.00,0.00,0.00
  -  ชาด,29.13,83.88,83.88,80.45,-16.22,187.95,187.95,-4.09,0.00,0.00,0.00,0.00
  -  เซนต์คิตส์และเนวิส,37.69,69.66,69.66,73.03,-1.39,84.79,84.79,4.84,0.00,0.00,0.00,0.00
  -  ตองกา,49.63,63.54,63.54,72.59,-20.45,28.02,28.02,14.24,0.00,0.00,0.00,0.00
  -  มอนเตเนโกร,64.07,76.34,76.34,71.82,-58.81,19.15,19.15,-5.93,0.00,0.00,0.00,0.00
  -  โมนาโก,86.30,112.02,112.02,70.98,-20.91,29.80,29.80,-36.64,0.00,0.00,0.00,0.00
  -  หมู่เกาะดุก,49.02,51.00,51.00,67.21,16.33,4.03,4.03,31.79,0.00,0.00,0.00,0.00
  -  หมู่เกาะเคย์แมน,27.19,31.22,31.22,66.79,-7.17,14.83,14.83,113.93,0.00,0.00,0.00,0.00
  -  มาลาวี,88.40,176.92,176.92,65.96,23.48,100.13,100.13,-62.72,0.00,0.00,0.00,0.00
  -  หมู่เกาะเวอร์จิน (อังกฤษ),109.39,152.60,152.60,62.60,-24.86,39.50,39.50,-58.98,0.00,0.00,0.00,0.00
  -  CURACAO,29.76,74.33,74.33,62.00,,149.75,149.75,-16.59,0.00,0.00,0.00,0.00
  -  คิริบาส,94.67,131.80,131.80,58.78,13.43,39.23,39.23,-55.40,0.00,0.00,0.00,0.00
  -  คอโมรอส,24.81,53.59,53.59,50.82,-74.32,115.97,115.97,-5.16,0.00,0.00,0.00,0.00
